#separator:tab
#html:true
#columns:JP	OptionA	OptionB	Answer	Why	Tip	Audio	Tags
#notetype:Contrast
#deck:Japanese Grammar::02 - N4 Grammar::Contrast
ドア___。	は閉まった	を閉めた	が閉まった	が marks intransitive; を for transitive	Intransitive: closed by itself; Transitive: someone closed	[sound:a82f0db87e23.mp3]	module:02-n4 jlpt:n4 point:transitive-intransitive complexity:intro frequency:top1k
窓___。	は開いた	を開けた	が開いた	が for intransitive; を for transitive	Intransitive: opened by itself; Transitive: someone opened	[sound:7e82e2be53bd.mp3]	module:02-n4 jlpt:n4 point:transitive-intransitive complexity:intro frequency:top1k
本___。	は落ちた	を落とした	が落ちた	が for intransitive; を for transitive	Intransitive: fell down; Transitive: someone dropped	[sound:0bb62925d0e5.mp3]	module:02-n4 jlpt:n4 point:transitive-intransitive complexity:intro frequency:top1k
火___。	は消えた	を消した	が消えた	が for intransitive; を for transitive	Intransitive: went out; Transitive: someone extinguished	[sound:2191aa5ed638.mp3]	module:02-n4 jlpt:n4 point:transitive-intransitive complexity:intro frequency:top5k
会議___。	は始まった	を始めた	が始まった	が for intransitive; を for transitive	Intransitive: started; Transitive: someone started	[sound:aa523b1a86f0.mp3]	module:02-n4 jlpt:n4 point:transitive-intransitive complexity:intro frequency:top5k
人___。	は集まった	を集めた	が集まった	が for intransitive gathering; を for gathering people	Intransitive: gathered; Transitive: someone gathered	[sound:4ec50023e606.mp3]	module:02-n4 jlpt:n4 point:transitive-intransitive complexity:intro frequency:top1k
値段___。	は下がった	を下げた	が下がった	が for intransitive; を for transitive	Intransitive: dropped; Transitive: someone lowered	[sound:24399821f1ba.mp3]	module:02-n4 jlpt:n4 point:transitive-intransitive complexity:intro frequency:top5k
状況___。	は変わった	を変えた	が変わった	が for intransitive change; を for someone changing	Intransitive: changed; Transitive: someone changed	[sound:5b32cf67d9a5.mp3]	module:02-n4 jlpt:n4 point:transitive-intransitive complexity:intro frequency:top10k
売上___。	は増えた	を増やした	が増えた	が for intransitive increase; を for transitive	Intransitive: increased; Transitive: someone increased	[sound:e2ac4f5a4a4a.mp3]	module:02-n4 jlpt:n4 point:transitive-intransitive complexity:intro frequency:low
子ども___。	は育った	を育てた	が育った	が for intransitive growth; を for parenting	Intransitive: grew up; Transitive: someone raised	[sound:8ac72d9ad7dc.mp3]	module:02-n4 jlpt:n4 point:transitive-intransitive complexity:intro frequency:top5k
音___。	は高くなった	を高くした	が高くなった	が for intransitive change; を for making it louder	Intransitive: became louder; Transitive: someone made louder	[sound:9a0134c8d6da.mp3]	module:02-n4 jlpt:n4 point:transitive-intransitive complexity:intro frequency:top5k
試験___。	は終わった	を終えた	が終わった	が for intransitive; を for transitive	Intransitive: ended; Transitive: someone finished	[sound:4c7bc15a22f1.mp3]	module:02-n4 jlpt:n4 point:transitive-intransitive complexity:intro frequency:top5k
機械___。	は動いた	を動かした	が動いた	が for intransitive; を for transitive	Intransitive: operated; Transitive: someone operated	[sound:85c470d1e808.mp3]	module:02-n4 jlpt:n4 point:transitive-intransitive complexity:intro frequency:top10k
日程___。	は決まった	を決めた	が決まった	が for intransitive decision; を for someone deciding	Intransitive: was decided; Transitive: someone decided	[sound:80f01aebddd3.mp3]	module:02-n4 jlpt:n4 point:transitive-intransitive complexity:intro frequency:low
雨___。	は止んだ	を止めた	が止んだ	が for intransitive; を for transitive	Intransitive: stopped; Transitive: someone stopped	[sound:7c98bb8b5eb4.mp3]	module:02-n4 jlpt:n4 point:transitive-intransitive complexity:intro frequency:top1k
気温___。	は上がった	を上げた	が上がった	が for intransitive rise; を for making it rise	Intransitive: rose; Transitive: someone raised	[sound:e18858b71c16.mp3]	module:02-n4 jlpt:n4 point:transitive-intransitive complexity:intro frequency:top10k
猫___。	は見つかった	を見つけた	が見つかった	が for intransitive finding; を for someone finding	Intransitive: was found; Transitive: someone found	[sound:980a7998fd9a.mp3]	module:02-n4 jlpt:n4 point:transitive-intransitive complexity:intro frequency:top1k
葉___。	は落ちた	を落とした	が落ちた	が for intransitive; を for transitive	Intransitive: fell; Transitive: someone dropped	[sound:05738ba1008f.mp3]	module:02-n4 jlpt:n4 point:transitive-intransitive complexity:intro frequency:top5k
車___。	は止まった	を止めた	が止まった	が for intransitive stopping; を for someone stopping	Intransitive: stopped; Transitive: someone stopped	[sound:a37d858e6305.mp3]	module:02-n4 jlpt:n4 point:transitive-intransitive complexity:intro frequency:top1k
映画___。	は始まった	を始めた	が始まった	が for intransitive start; を for someone starting	Intransitive: started; Transitive: someone started	[sound:07888841f640.mp3]	module:02-n4 jlpt:n4 point:transitive-intransitive complexity:intro frequency:top1k
ボールが壁___。	をつけた	がついた	がついた	が marks intransitive subject; を for transitive object	stick/attach	[sound:0271e774aadd.mp3]	module:02-n4 jlpt:n4 register:neutral point:transitive-intransitive pos:verb complexity:intro confusable-with:をつけた frequency:top10k
明かり___。	を消した	が消えた	が消えた	が marks intransitive subject; を for transitive object	disappear/extinguish	[sound:5296b1b51ece.mp3]	module:02-n4 jlpt:n4 register:neutral point:transitive-intransitive pos:verb complexity:intro confusable-with:を消した frequency:top10k
栄養___。	を含めた	が含まれた	が含まれた	が marks intransitive subject; を for transitive object	contain/include	[sound:ea5ef774402d.mp3]	module:02-n4 jlpt:n4 register:neutral point:transitive-intransitive pos:verb complexity:intro confusable-with:を含めた frequency:top10k
悪魔___。	を化かした	が化けた	が化けた	が marks intransitive subject; を for transitive object	transform/deceive	[sound:4bf9691d294e.mp3]	module:02-n4 jlpt:n4 register:neutral point:transitive-intransitive pos:verb complexity:intro confusable-with:を化かした frequency:top10k
人___。	を助けた	が助かった	が助かった	が marks intransitive subject; を for transitive object	be saved/help	[sound:fe7d2d3bfeae.mp3]	module:02-n4 jlpt:n4 register:neutral point:transitive-intransitive pos:verb complexity:intro confusable-with:を助けた frequency:top1k
