#separator:tab
#html:true
#columns:Text	Reading	Hint	Audio	Tags
#notetype:Cloze
#deck:Japanese Grammar::04 - N2 Grammar::Cloze
#
この課題は完成 {{c1::せざるを得ない}}。	このかだいはかんせい {{c1::せざるをえない}}。	Must complete this task — No alternative	[sound:fdd7e5e640a8.mp3]	module:04-n2 jlpt:n2 point:formal-modality complexity:intro frequency:top10k source:shin-kanzen
政府は対策を取ら {{c1::ざるを得ない}}。	せいふはたいさくをとら {{c1::ざるをえない}}。	Government must take measures — Forced action	[sound:ff9b4b05d421.mp3]	module:04-n2 jlpt:n2 point:formal-modality complexity:intro frequency:low source:shin-kanzen
今は待つ {{c1::よりほかない}}。	いまはまつ {{c1::よりほかない}}。	Can only wait now — Sole option	[sound:6ee3d06cacce.mp3]	module:04-n2 jlpt:n2 point:formal-modality complexity:intro frequency:top1k source:shin-kanzen
毎日勉強 {{c1::しなければならない}}。	まいにちべんきょう {{c1::しなければならない}}。	Must study daily — Obligation	[sound:032a242ad03e.mp3]	module:04-n2 jlpt:n2 point:formal-modality complexity:intro frequency:top1k source:shin-kanzen
時間に遅れては {{c1::ならない}}。	じかんにおくれては {{c1::ならない}}。	Must not be late — Prohibition	[sound:957636a448a3.mp3]	module:04-n2 jlpt:n2 point:formal-modality complexity:intro frequency:top10k source:shin-kanzen
その約束は守ら {{c1::なければならない}}。	そのやくそくはまもら {{c1::なければならない}}。	Must keep that promise — Commitment	[sound:dc68dd780593.mp3]	module:04-n2 jlpt:n2 point:formal-modality complexity:intro frequency:top5k source:shin-kanzen
こうするしか {{c1::ない}}。	こうするしか {{c1::ない}}。	Only way is to do it this way — No alternatives	[sound:209748c79372.mp3]	module:04-n2 jlpt:n2 point:formal-modality complexity:intro source:shin-kanzen
行く {{c1::しかない}}。	いく {{c1::しかない}}。	Only choice is to go — Sole option	[sound:52f31ba13d2f.mp3]	module:04-n2 jlpt:n2 point:formal-modality complexity:intro frequency:top1k source:shin-kanzen
彼は来ないわけに {{c1::はいかない}}。	かれはこないわけに {{c1::はいかない}}。	He cannot not come — Social obligation	[sound:b08bee2a35bd.mp3]	module:04-n2 jlpt:n2 point:formal-modality complexity:intro frequency:top10k source:shin-kanzen
この会議に出席しないわけに {{c1::はいかない}}。	このかいぎにしゅっせきしないわけに {{c1::はいかない}}。	Cannot skip this meeting — Mandatory	[sound:c68211c1eb00.mp3]	module:04-n2 jlpt:n2 point:formal-modality complexity:standard frequency:top5k source:shin-kanzen
