#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::04 - N2 Grammar::Recognition
#
雨の中ではないうちに、帰った。	あめのなかではないうちに、かえった。	I went home before it got worse.						[sound:a3a3694e0116.mp3]	module:04-n2 jlpt:n2 point:temporal-na-uchini
彼が来ないうちに、準備を終わらせた。	かれがこないうちに、じゅんびをおわらせた。	I finished prep before he arrived.						[sound:e5dddcea2815.mp3]	module:04-n2 jlpt:n2 point:temporal-na-uchini
忘れないうちに、メモした。	わすれないうちに、めもした。	I noted it before I forgot.						[sound:f2da93568248.mp3]	module:04-n2 jlpt:n2 point:temporal-na-uchini
安いうちに、買っておいた。	やすいうちに、かっておいた。	I bought it while it was cheap.						[sound:f959d2a75afb.mp3]	module:04-n2 jlpt:n2 point:temporal-na-uchini
気が変わらないうちに、決めよう。	きがかわらないうちに、きめよう。	Let's decide before I change my mind.						[sound:ecebf2828474.mp3]	module:04-n2 jlpt:n2 point:temporal-na-uchini
彼女がいるうちに、感謝しよう。	かのじょがいるうちに、かんしゃしよう。	Let's thank her while she's here.						[sound:5fb7845abcf8.mp3]	module:04-n2 jlpt:n2 point:temporal-na-uchini
若いうちに、冒険をしたい。	わかいうちに、ぼうけんをしたい。	I want to take risks while young.						[sound:63b1becd26aa.mp3]	module:04-n2 jlpt:n2 point:temporal-na-uchini
勉強つつある状況だ。	べんきょうつつあるじょうきょうだ。	It's a situation where learning continues.						[sound:d723bfc85230.mp3]	module:04-n2 jlpt:n2 point:temporal-na-uchini
進みつつも、進みきれていない。	すすみつつも、すすみきれていない。	Even while progressing, it's not complete.						[sound:e3a6648a28e4.mp3]	module:04-n2 jlpt:n2 point:temporal-na-uchini
雨が降りつつも、外出した。	あめがおりつつも、がいしゅつした。	Although it was raining, I went out.						[sound:2951ba8bd66f.mp3]	module:04-n2 jlpt:n2 point:temporal-na-uchini
仕事をしつつ、趣味も続ける。	しごとをしつつ、しゅみもつづける。	I continue my hobbies while working.						[sound:5160a01411d8.mp3]	module:04-n2 jlpt:n2 point:temporal-na-uchini
知りつつも、言わなかった。	しりつつも、いわなかった。	Although I knew, I didn't say it.						[sound:56611b7b01ba.mp3]	module:04-n2 jlpt:n2 point:temporal-na-uchini
反対しつつも、従った。	はんたいしつつも、したがった。	Although I objected, I obeyed.						[sound:46243fed0c81.mp3]	module:04-n2 jlpt:n2 point:temporal-na-uchini
走りつつ、息をしている。	はしりつつ、いきをしている。	Breathing while running.						[sound:2be6b00647f4.mp3]	module:04-n2 jlpt:n2 point:temporal-na-uchini
増えつつも、足りない。	ふえつつも、たりない。	Even while increasing, it's insufficient.						[sound:03f14588e70f.mp3]	module:04-n2 jlpt:n2 point:temporal-na-uchini
変わりつつある状況。	かわりつつあるじょうきょう。	A situation that is changing.						[sound:1f1e3840963a.mp3]	module:04-n2 jlpt:n2 point:temporal-na-uchini
終わりつつある。	おわりつつある。	It is ending.						[sound:27195570f538.mp3]	module:04-n2 jlpt:n2 point:temporal-na-uchini
忘れられないうちに、話す。	わすれられないうちに、はなす。	Speak while I still remember.						[sound:e9cf972cb12f.mp3]	module:04-n2 jlpt:n2 point:temporal-na-uchini
元気なうちに、旅行に行く。	げんきなうちに、りょこうにいく。	Go on a trip while healthy.						[sound:0c36347a8a77.mp3]	module:04-n2 jlpt:n2 point:temporal-na-uchini
時間があるうちに、終わらせる。	じかんがあるうちに、おわらせる。	Finish it while there's time.						[sound:79948fdd4c53.mp3]	module:04-n2 jlpt:n2 point:temporal-na-uchini
新しいうちに、使いたい。	あたらしいうちに、つかいたい。	Use it while it's new.						[sound:2ca0f6b84c2d.mp3]	module:04-n2 jlpt:n2 point:temporal-na-uchini
盛りの頃、人気があった。	もりのごろ、にんきがあった。	It was popular in its heyday.						[sound:0cd31e44ccd2.mp3]	module:04-n2 jlpt:n2 point:temporal-na-uchini
今のうちに、勉強する。	いまのうちに、べんきょうする。	Study while I have the chance.						[sound:f47bb6644691.mp3]	module:04-n2 jlpt:n2 point:temporal-na-uchini
生きているうちに、達成したい。	いきているうちに、たっせいしたい。	I want to achieve it while alive.						[sound:8286981246b2.mp3]	module:04-n2 jlpt:n2 point:temporal-na-uchini
晴れているうちに、洗濯しよう。	はれているうちに、せんたくしよう。	Let's do laundry while it's sunny.						[sound:f728d88b32ee.mp3]	module:04-n2 jlpt:n2 point:temporal-na-uchini
