#separator:tab
#html:true
#columns:JP	OptionA	OptionB	Answer	Why	Tip	Audio	Tags
#notetype:Contrast
#deck:Japanese Grammar::05 - N1 Grammar::Contrast

才能___、努力が大切。	はもとより	にしてからが	もさることながら	もさることながら = while important, more so is	While talent matters, effort more important	[sound:e5b61721e71b.mp3]	module:05-n1 jlpt:n1 register:literary point:もさることながら pos:expr frequency:top10k source:shin-kanzen complexity:intro
経験___、知識も重要。	はもとより	にしてからが	もさることながら	もさることながら = that aside, moreover	That aside, knowledge also important	[sound:9379020d5d71.mp3]	module:05-n1 jlpt:n1 register:literary point:もさることながら pos:expr frequency:top10k source:shin-kanzen complexity:intro
成功___、失敗も学べる。	もさることながら	にしてからが	はもとより	はもとより = needless to say/not to mention	Needless to say success, failure teaches too	[sound:5f4efad6fe4d.mp3]	module:05-n1 jlpt:n1 register:literary point:もさることながら pos:expr frequency:top10k source:shin-kanzen complexity:intro
親身___、専門家も動いた。	もさることながら	にしてからが	はもとより	はもとより = obviously/of course	Of course family, even experts mobilized	[sound:d98e1366be0a.mp3]	module:05-n1 jlpt:n1 register:literary point:もさることながら pos:expr frequency:top10k complexity:standard source:shin-kanzen
問題___、深刻だ。	はもとより	もさることながら	にしてからが	にしてからが = now about/as for	Now the problem itself is serious	[sound:46c1ff3f7e6a.mp3]	module:05-n1 jlpt:n1 register:literary point:もさることながら pos:expr frequency:top10k complexity:intro source:shin-kanzen
結果___、想定外だった。	はもとより	もさることながら	にしてからが	にしてからが = as for/speaking of	As for result, it was unexpected	[sound:6baa1279d4bd.mp3]	module:05-n1 jlpt:n1 register:literary point:もさることながら pos:expr frequency:top10k source:shin-kanzen complexity:intro
豊かさ___、幸せも大切。	はもとより	にしてからが	もさることながら	もさることながら = and beyond/further	And beyond wealth, happiness important	[sound:56d8d2ff0c41.mp3]	module:05-n1 jlpt:n1 register:literary point:もさることながら pos:expr frequency:top10k source:shin-kanzen complexity:intro
効果___、副作用も考慮する。	もさることながら	にしてからが	はもとより	はもとより = as to/as for (both)	As to effect, also consider side effects	[sound:4ad447e1f036.mp3]	module:05-n1 jlpt:n1 register:literary point:もさることながら pos:expr frequency:low complexity:standard source:shin-kanzen
困難___、避けられない。	はもとより	もさることながら	にしてからが	にしてからが = now/so then	The difficulty itself is unavoidable	[sound:b0853277589b.mp3]	module:05-n1 jlpt:n1 register:literary point:もさることながら pos:expr frequency:top10k source:shin-kanzen complexity:intro
責任___、権力も伴う。	はもとより	にしてからが	もさることながら	もさることながら = beyond/moreover	Beyond responsibility, power follows	[sound:defa8833f499.mp3]	module:05-n1 jlpt:n1 register:literary point:もさることながら pos:expr frequency:low source:shin-kanzen complexity:intro
