#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::13 - L1 Interference::Recognition

毎日勉強します	まいにちべんきょうします	I study every day	L1-interference (pronouns)	毎日勉強します	I study every day	Subject clear from context	毎日私は勉強します vs 毎日勉強します	[sound:9dac0a26de22.mp3]	module:13-l1 point:l1-pronoun-overuse frequency:top1k complexity:intro confusable-with:毎日私は勉強します source:curated-jpgram
昨日、映画を見ました	きのう、えいがをみました	Yesterday I watched a movie	L1-interference (pronouns)	昨日、映画を見ました	Yesterday I watched a movie	Subject clear from past tense	昨日、私は映画を見ました vs 昨日、映画を見ました	[sound:2df298dbadac.mp3]	module:13-l1 point:l1-pronoun-overuse frequency:top1k complexity:intro confusable-with:昨日-私は映画を見ました source:curated-jpgram
何をしていますか	なにをしていますか	What are you doing?	L1-interference (pronouns)	何をしていますか	What are you doing?	You clear from question	何をあなたは vs 何をしていますか	[sound:7ab7e91215a6.mp3]	module:13-l1 point:l1-pronoun-overuse frequency:top1k complexity:intro confusable-with:何をあなたは source:curated-jpgram
田中です	たなかです	I am Tanaka	L1-interference (pronouns)	田中です	I am Tanaka	Subject obvious from context	私は田中です vs 田中です	[sound:7a182bb0336c.mp3]	module:13-l1 point:l1-pronoun-overuse frequency:top10k complexity:intro confusable-with:私は田中です source:curated-jpgram
好きです	すきです	I like it	L1-interference (pronouns)	好きです	I like it	Subject/object clear from situation	私は好きです vs 好きです	[sound:fdab6232a1c4.mp3]	module:13-l1 point:l1-pronoun-overuse frequency:top1k complexity:intro confusable-with:私は好きです source:curated-jpgram
困っています	こまっています	I am troubled	L1-interference (pronouns)	困っています	I am troubled	First person obvious	私は困っています vs 困っています	[sound:9fc71e8d5be9.mp3]	module:13-l1 point:l1-pronoun-overuse complexity:intro confusable-with:私は困っています source:curated-jpgram
終わりました	おわりました	The work finished	L1-interference (pronouns)	終わりました	The work finished	Object obvious from context	仕事は終わりました vs 終わりました	[sound:1d744827684a.mp3]	module:13-l1 point:l1-pronoun-overuse frequency:top5k complexity:intro confusable-with:仕事は終わりました source:curated-jpgram
飲みました	のみました	I drank the coffee	L1-interference (pronouns)	飲みました	I drank the coffee	Object clear from context	コーヒーを飲みました vs 飲みました	[sound:a3201605c82c.mp3]	module:13-l1 point:l1-pronoun-overuse complexity:intro confusable-with:コーヒーを飲みました source:curated-jpgram
どこに住んでいますか	どこにすんでいますか	Where do you live?	L1-interference (pronouns)	どこに住んでいますか	Where do you live?	You clear from question	あなたはどこに住んでいますか vs どこに住んでいますか	[sound:b57ae1e919b0.mp3]	module:13-l1 point:l1-pronoun-overuse frequency:top10k complexity:intro confusable-with:あなたはどこに住んでいますか source:curated-jpgram
明日、来てください	あした、きてください	Please come tomorrow	L1-interference (pronouns)	明日、来てください	Please come tomorrow	You obvious from command	あなたは明日、来てください vs 明日、来てください	[sound:bd4b4260ab38.mp3]	module:13-l1 point:l1-pronoun-overuse frequency:top10k complexity:intro confusable-with:あなたは明日-来てください source:curated-jpgram
何か言いたいことがあります	なにかいいたいことがあります	Do you have something to say?	L1-interference (pronouns)	何か言いたいことがあります	Do you have something to say?	You obvious from question	あなたは何か言いたいことがあります vs 何か言いたいことがあります	[sound:5e598abe7a4a.mp3]	module:13-l1 point:l1-pronoun-overuse frequency:top10k complexity:standard confusable-with:あなたは何か言いたいことがあります source:curated-jpgram
大丈夫ですか	だいじょうぶですか	Are you okay?	L1-interference (pronouns)	大丈夫ですか	Are you okay?	You clear from concern question	あなたは大丈夫ですか vs 大丈夫ですか	[sound:e0f9ccbfacec.mp3]	module:13-l1 point:l1-pronoun-overuse frequency:top1k complexity:intro confusable-with:あなたは大丈夫ですか source:curated-jpgram
忙しいです	いそがしいです	I am busy	L1-interference (pronouns)	忙しいです	I am busy	First person obvious from situation	私は忙しいです vs 忙しいです	[sound:7e81117b021a.mp3]	module:13-l1 point:l1-pronoun-overuse frequency:top1k complexity:intro confusable-with:私は忙しいです source:curated-jpgram
