#separator:tab
#html:true
#columns:JP	OptionA	OptionB	Answer	Why	Tip	Audio	Tags
#notetype:Contrast
#deck:Japanese Grammar::04 - N2 Grammar::Contrast
#
この事実を___、受け入れなければならない。	ずにはおかない	ないではいられない	ずにはおかない	ずにはおかない = obligation forced by circumstance; ないではいられない = involuntary emotion	ずにはおかない for external obligation	[sound:5528c24a8d13.mp3]	module:04-n2 jlpt:n2 point:formal-stiff-contrast point:iru-eru-stiff
涙が___。	ずにはおかない出る	ないではいられない出る	ないではいられない出る	ないではいられない = involuntary; ずにはおかない = external duty	ないではいられない for involuntary emotion	[sound:fa14989c7b43.mp3]	module:04-n2 jlpt:n2 point:formal-stiff-contrast point:iru-eru-stiff
選択肢がないから、その方法を___。	ずにはおかない使う	ざるを得ない使う	ざるを得ない使う	ざるを得ない = no choice but; ずにはおかない = forced obligation	ざるを得ない for no-choice situations	[sound:0a7edb860324.mp3]	module:04-n2 jlpt:n2 point:formal-stiff-contrast point:iru-eru-stiff
真実を隠し___、良心が苦しむ。	ずにはおかない	ないではいられない	ないではいられない	ないではいられない = emotional response; ずにはおかない = external action	ないではいられない for conscience	[sound:bafa1a230aa9.mp3]	module:04-n2 jlpt:n2 point:formal-stiff-contrast point:iru-eru-stiff
困難に直面して___。	ずにはおかない進む	ざるを得ない進む	ざるを得ない進む	ざるを得ない = necessity; ずにはおかない = duty-based obligation	ざるを得ない = necessity without choice	[sound:ad7ada9cd70b.mp3]	module:04-n2 jlpt:n2 point:formal-stiff-contrast point:iru-eru-stiff
危機___、冷静さが必要だ。	にあっては	においては	(either)	Both work; にあっては more vivid; においては more formal	Both acceptable	[sound:cf2809fa12c2.mp3]	module:04-n2 jlpt:n2 point:formal-stiff-contrast point:iru-eru-stiff
この状況___、判断が難しい。	にあって	において	にあって	にあって is more dramatic; においては is formal/official	にあって more dynamic	[sound:12a106eabfc1.mp3]	module:04-n2 jlpt:n2 point:formal-stiff-contrast point:iru-eru-stiff
現代社会___、情報リテラシーが必須だ。	にあっては	においては	においては	においては = in/within; にあっては = in the midst of	においては more formal/institutional	[sound:e67c16cba129.mp3]	module:04-n2 jlpt:n2 point:formal-stiff-contrast point:iru-eru-stiff
競争社会___、努力が求められる。	にあって	において	において	において is standard formal; にあっては is more emphatic	において standard in formal writing	[sound:dc1cbf8f6716.mp3]	module:04-n2 jlpt:n2 point:formal-stiff-contrast point:iru-eru-stiff
戦争の時代___、多くの人が苦しんだ。	にあって	においては	にあっては	にあっては emphasizes the vivid context; においては is neutral formal	にあっては more vivid	[sound:ef469f730f42.mp3]	module:04-n2 jlpt:n2 point:formal-stiff-contrast point:iru-eru-stiff
会議で___、慎重な発言が必要だ。	にあたって	にあって	にあたって	にあたって = upon happening; にあって = in the context of	にあたって for occasions	[sound:4254d48cccb6.mp3]	module:04-n2 jlpt:n2 point:formal-stiff-contrast point:iru-eru-stiff
新職務に___、経験が活きる。	あたる際	あたって	あたって	あたって = upon taking on; あたる際 = at the occasion of	あたって is the standard form	[sound:a5afa8d7da04.mp3]	module:04-n2 jlpt:n2 point:formal-stiff-contrast point:iru-eru-stiff
誇ることなく___。	てはばからない表現する	てやまない表現する	てやまない表現する	てやまない = continuous without end; てはばからない = without hesitation	てやまない emphasizes persistence	[sound:e516dce94b53.mp3]	module:04-n2 jlpt:n2 point:formal-stiff-contrast point:iru-eru-stiff
困難に立ち向かう___。	ことをためらわない	ことがあってはならない	ことをためらわない	ためらわない = no hesitation; あってはならない = should not happen	ためらわない = willingness	[sound:94e64bb92cb6.mp3]	module:04-n2 jlpt:n2 point:formal-stiff-contrast point:iru-eru-stiff
感謝し___。	てはばからない続ける	てやまない続ける	てやまない続ける	てやまない = endless; てはばからない = without shame/hesitation	てやまない emphasizes endlessness	[sound:4afb5b837566.mp3]	module:04-n2 jlpt:n2 point:formal-stiff-contrast point:iru-eru-stiff
悲しさを___、表情に出してしまった。	ずにはおかない隠す	ないではいられない隠す	ないではいられない隠す	ないではいられない = can't suppress; ずにはおかない = won't avoid	ないではいられない for emotions	[sound:a740276e9fc3.mp3]	module:04-n2 jlpt:n2 point:formal-stiff-contrast point:iru-eru-stiff
逃げ___、責任から。	ずにはおかない避ける	ざるを得ない避ける	ずにはおかない避ける	ずにはおかない = will not avoid; ざるを得ない = forced to	ずにはおかない for will not	[sound:f465f6c8f8c7.mp3]	module:04-n2 jlpt:n2 point:formal-stiff-contrast point:iru-eru-stiff
結婚するに___、親の同意が重要だ。	あたっては	あって	あたっては	あたっては = upon such event; あって = in circumstances of	あたっては emphasizes occasion	[sound:e84ca73798d8.mp3]	module:04-n2 jlpt:n2 point:formal-stiff-contrast point:iru-eru-stiff
現在___、課題は山積みだ。	にあっては	においては	においては	においては = in the present; にあっては = in the midst of present	においては for formal statement	[sound:b6867c42c16c.mp3]	module:04-n2 jlpt:n2 point:formal-stiff-contrast point:iru-eru-stiff
意見を述べ___。	ることを厭わない	ることをためらわない	ることをためらわない	Both work; ためらわない emphasizes no hesitation	ためらわない more common	[sound:ef99207a334e.mp3]	module:04-n2 jlpt:n2 point:formal-stiff-contrast point:iru-eru-stiff
笑わ___。	ずにはおかない得ない	ないではいられない	ないではいられない	ないではいられない = involuntary response; ずにはおかない = unavoidable action	ないではいられない for involuntary	[sound:d2b8d5b2b2ab.mp3]	module:04-n2 jlpt:n2 point:formal-stiff-contrast point:iru-eru-stiff
困難___、冷静さが求められる。	にあて	にあって	にあって	にあって correct; にあて incomplete	にあって complete form	[sound:2511edea63f2.mp3]	module:04-n2 jlpt:n2 point:formal-stiff-contrast point:iru-eru-stiff
この重要な決定___、十分な検討が必要だ。	にあたっては	においては	にあたっては	にあたっては emphasizes the occasion; においては is standard	にあたっては emphatic	[sound:41423837cfaf.mp3]	module:04-n2 jlpt:n2 point:formal-stiff-contrast point:iru-eru-stiff
技術が進化するに___、産業も変わる。	つれて	あたって	つれて	つれて = proportionally; あたって = upon such event	つれて for gradual change	[sound:107428497d1e.mp3]	module:04-n2 jlpt:n2 point:formal-stiff-contrast point:iru-eru-stiff
プレッシャーの中で___。	てはばからない決断する	てやまない決断する	てはばからない決断する	てはばからない = without hesitation; てやまない = without ceasing	てはばからない for courage	[sound:fcb3df435c02.mp3]	module:04-n2 jlpt:n2 point:formal-stiff-contrast point:iru-eru-stiff
