#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#deck:Japanese Grammar::02 - N4 Grammar::Production

The door opens.	ドアが開く。	どあがひらく。	ドアが開く。	intransitive: door is subject	[sound:49276ea08fc4.mp3]	module:02-n4 jlpt:n4 register:neutral point:transitive-intransitive pos:expr complexity:standard source:shin-kanzen frequency:top1k complexity:intro
I open the door.	ドアを開ける。	どあをひらける。	ドアを開ける。	transitive: I am agent	[sound:147af2399824.mp3]	module:02-n4 jlpt:n4 register:neutral point:transitive-intransitive pos:expr complexity:standard source:shin-kanzen frequency:top1k complexity:intro
The window closes.	窓が閉まる。	まどがしまる。	窓が閉まる。	intransitive: window closes by itself	[sound:76a8082565a7.mp3]	module:02-n4 jlpt:n4 register:neutral point:transitive-intransitive pos:expr complexity:standard source:shin-kanzen frequency:top1k complexity:intro
He closes the window.	窓を閉める。	まどをしめる。	窓を閉める。	transitive: he is agent	[sound:f11c4a6c90c6.mp3]	module:02-n4 jlpt:n4 register:neutral point:transitive-intransitive pos:expr complexity:standard source:shin-kanzen frequency:top1k complexity:intro
The light turns on.	ライトが付く。	らいとがつく。	ライトが付く。	intransitive: light becomes on	[sound:9963168e8be4.mp3]	module:02-n4 jlpt:n4 register:neutral point:transitive-intransitive pos:expr complexity:standard source:shin-kanzen frequency:top10k complexity:intro
She turns on the light.	ライトを付ける。	らいとをつける。	ライトを付ける。	transitive: she controls light	[sound:a841c5c1653e.mp3]	module:02-n4 jlpt:n4 register:neutral point:transitive-intransitive pos:expr complexity:standard source:shin-kanzen frequency:top10k complexity:intro
The water boils.	水が沸く。	みずがわく。	水が沸く。	intransitive: water reaches boiling point	[sound:dab2af76464b.mp3]	module:02-n4 jlpt:n4 register:neutral point:transitive-intransitive pos:expr complexity:standard source:shin-kanzen frequency:top5k complexity:intro
I boil the water.	水を沸かす。	みずをわかす。	水を沸かす。	transitive: I apply heat	[sound:fc5b04621d50.mp3]	module:02-n4 jlpt:n4 register:neutral point:transitive-intransitive pos:expr complexity:standard source:shin-kanzen frequency:top5k complexity:intro
The bread bakes.	パンが焼ける。	ぱんがやける。	パンが焼ける。	intransitive: bread cooks from heat	[sound:fa788960b732.mp3]	module:02-n4 jlpt:n4 register:neutral point:transitive-intransitive pos:expr complexity:standard source:shin-kanzen frequency:top5k complexity:intro
The chef bakes the bread.	シェフがパンを焼く。	しぇふがぱんをやく。	シェフがパンを焼く。	transitive: chef is agent	[sound:f286da5e5509.mp3]	module:02-n4 jlpt:n4 register:neutral point:transitive-intransitive pos:expr complexity:standard source:shin-kanzen frequency:top5k complexity:intro
The rope breaks.	ロープが切れる。	ろーぷがきれる。	ロープが切れる。	intransitive: rope snaps	[sound:ca2f32f67976.mp3]	module:02-n4 jlpt:n4 register:neutral point:transitive-intransitive pos:expr complexity:standard source:shin-kanzen frequency:low complexity:intro
I cut the rope.	ロープを切る。	ろーぷをきる。	ロープを切る。	transitive: I use scissors	[sound:4f8ca117ef6d.mp3]	module:02-n4 jlpt:n4 register:neutral point:transitive-intransitive pos:expr complexity:standard source:shin-kanzen frequency:low complexity:intro
The flower blooms.	花が咲く。	はながさく。	花が咲く。	intransitive: flower opens naturally	[sound:dc382c7daa5e.mp3]	module:02-n4 jlpt:n4 register:neutral point:transitive-intransitive pos:expr complexity:standard source:shin-kanzen frequency:top1k complexity:intro
The gardener plants flowers.	庭師が花を植える。	にわしがはなをうえる。	庭師が花を植える。	transitive: planting action	[sound:ce587c31bd13.mp3]	module:02-n4 jlpt:n4 register:neutral point:transitive-intransitive pos:expr complexity:advanced source:shin-kanzen frequency:top5k complexity:intro
The ice melts.	氷が溶ける。	こおりがとける。	氷が溶ける。	intransitive: ice thaws	[sound:da3139146350.mp3]	module:02-n4 jlpt:n4 register:neutral point:transitive-intransitive pos:expr complexity:standard source:shin-kanzen frequency:top10k complexity:intro
The sun melts the ice.	太陽が氷を溶かす。	たいようがこおりをとかす。	太陽が氷を溶かす。	transitive: sun causes melting	[sound:f87432f3f1e2.mp3]	module:02-n4 jlpt:n4 register:neutral point:transitive-intransitive pos:expr complexity:standard source:shin-kanzen frequency:low complexity:intro
Smoke rises.	煙が立つ。	けむりがたつ。	煙が立つ。	intransitive: smoke ascends	[sound:2a1e16592559.mp3]	module:02-n4 jlpt:n4 register:neutral point:transitive-intransitive pos:expr complexity:intro source:shin-kanzen frequency:top10k
The bonfire rises smoke.	焚き火が煙を立てる。	たきひがけむりをたてる。	焚き火が煙を立てる。	transitive: fire creates smoke	[sound:3a593f5455b3.mp3]	module:02-n4 jlpt:n4 register:neutral point:transitive-intransitive pos:expr complexity:standard source:shin-kanzen frequency:top10k complexity:intro
The rule is established.	ルールが決まる。	るーるがきまる。	ルールが決まる。	intransitive: decision is made	[sound:2102e5ab5c52.mp3]	module:02-n4 jlpt:n4 register:neutral point:transitive-intransitive pos:expr complexity:standard source:shin-kanzen frequency:top10k complexity:intro
We decide the rule.	ルールを決める。	るーるをきめる。	ルールを決める。	transitive: we make decision	[sound:a49df2005b4a.mp3]	module:02-n4 jlpt:n4 register:neutral point:transitive-intransitive pos:expr complexity:standard source:shin-kanzen frequency:top10k complexity:intro
