#separator:tab
#html:true
#columns:JP	OptionA	OptionB	Answer	Why	Tip	Audio	Tags
#notetype:Contrast
#deck:Japanese Grammar::05 - N1 Grammar::Contrast
#
彼の優雅さは芸術の極みだ。	きわみ	いたり	きわみ	pinnacle vs formal regret	〜の極み emphasizes ultimate form	[sound:9f8d8aa5753b.mp3]	module:05-n1 jlpt:n1 point:n1-emphasis
不注意の至りです。	いたり	きわみ	いたり	formal regret vs extreme form	〜の至り is apologetic	[sound:c9b8b7762f78.mp3]	module:05-n1 jlpt:n1 point:n1-emphasis
その態度は失礼きわまりない。	きわまりない	の極み	きわまりない	suffix form vs noun form	〜きわまりない is a suffix	[sound:bdc917c87e85.mp3]	module:05-n1 jlpt:n1 point:n1-emphasis
彼の言い分にも一理ある。	にも一理ある	に足る	にも一理ある	partial validity vs merit	〜にも一理ある means some truth	[sound:ef95463a59bf.mp3]	module:05-n1 jlpt:n1 point:n1-emphasis
話は簡潔なほどいい。	ほど	だけ	ほど	degree comparison vs measure	〜ほど shows extent	[sound:4e87b2951cd7.mp3]	module:05-n1 jlpt:n1 point:n1-emphasis
彼のような人は稀だ。	稀	滅多に	稀	rare vs seldom	〜稀 is more formal	[sound:bb0706fb7699.mp3]	module:05-n1 jlpt:n1 point:n1-emphasis
限りない可能性がある。	限りない	限界のない	限りない	infinite vs boundless	〜限りない emphasizes endless	[sound:870b5dc662b0.mp3]	module:05-n1 jlpt:n1 point:n1-emphasis
予想以上に素晴らしい。	以上に	以上の	以上に	exceeding vs beyond	〜以上に is degree	[sound:09a5534b36f4.mp3]	module:05-n1 jlpt:n1 point:n1-emphasis
その美しさは言葉に尽くし難い。	尽くし難い	尽くせない	尽くし難い	difficult to express vs impossible	〜難い is harder to express	[sound:ace6c5f09e22.mp3]	module:05-n1 jlpt:n1 point:n1-emphasis
彼の知識は推して知るべし。	推して知るべし	言わずと知れた	推して知るべし	inferred vs obvious	〜推して知るべし requires inference	[sound:cbe3976270af.mp3]	module:05-n1 jlpt:n1 point:n1-emphasis
その行動は褒める他ない。	褒める他ない	讃える他ない	褒める他ない	praise necessity vs only option	〜褒める他ない is praise	[sound:033af55510c6.mp3]	module:05-n1 jlpt:n1 point:n1-emphasis
その実力は疑いの余地がない。	疑いの余地がない	疑いようがない	疑いの余地がない	no doubt vs obvious	〜疑いの余地がない is formal	[sound:d304a0fcf209.mp3]	module:05-n1 jlpt:n1 point:n1-emphasis
天才とまでは言わないが。	とまでは言わないが	とは言わないまでも	とまでは言わないが	emphatic negation vs concession	〜とまでは言わないが is more emphatic	[sound:7bec1a6be0de.mp3]	module:05-n1 jlpt:n1 point:n1-emphasis
完璧とは言わないまでも。	とは言わないまでも	とまでは言わないが	とは言わないまでも	concession vs emphatic	〜とは言わないまでも is softer	[sound:6661434b37e5.mp3]	module:05-n1 jlpt:n1 point:n1-emphasis
良くてたまらない。	てたまらない	たらない	てたまらない	pleasure vs irritation	〜てたまらない emphasizes positive	[sound:bfe01075a797.mp3]	module:05-n1 jlpt:n1 point:n1-emphasis
傲慢さには腹が立ってたらない。	たらない	てたまらない	たらない	irritation vs pleasure	〜たらない shows extreme irritation	[sound:23a24e15b3dd.mp3]	module:05-n1 jlpt:n1 point:n1-emphasis
文句ばかりだ。	ばかりだ	ばかりに	ばかりだ	exclusive action vs cause	〜ばかりだ describes repeated action	[sound:008fa3b25a22.mp3]	module:05-n1 jlpt:n1 point:n1-emphasis
運の悪さばかりのせいだ。	ばかりに	ばかりだ	ばかりに	exclusive cause vs action	〜ばかりに limits the cause	[sound:9317dae04a47.mp3]	module:05-n1 jlpt:n1 point:n1-emphasis
失敗があればこそ成長できる。	ばこそ	からこそ	ばこそ	conditional vs perfect causation	〜ばこそ is conditional	[sound:0f06e8e0d422.mp3]	module:05-n1 jlpt:n1 point:n1-emphasis
努力したからこそ成功した。	からこそ	ばこそ	からこそ	perfect causation vs conditional	〜からこそ is from past	[sound:9e9a04e33a83.mp3]	module:05-n1 jlpt:n1 point:n1-emphasis
そこまでのことではない。	ほどの...ではない	どころではない	ほどの...ではない	extent vs negation	〜ほどの...ではない minimizes	[sound:768c9ef5c5c4.mp3]	module:05-n1 jlpt:n1 point:n1-emphasis
優雅どころか完璧だ。	どころか	ほどの	どころか	escalation vs comparison	〜どころか is stronger contrast	[sound:28d4a7ca0324.mp3]	module:05-n1 jlpt:n1 point:n1-emphasis
想像にかたくない。	にかたくない	やすい	にかたくない	formal vs easy suffix	〜にかたくない is formal	[sound:be3008df4f34.mp3]	module:05-n1 jlpt:n1 point:n1-emphasis
失敗は避けがたくない。	がたくない	ができない	がたくない	inevitability vs impossibility	〜がたくない means harder to avoid	[sound:b115596ef5e5.mp3]	module:05-n1 jlpt:n1 point:n1-emphasis
そんなことは言うに忍びない。	に忍びない	ようがない	に忍びない	emotional reluctance vs impossibility	〜に忍びない shows reluctance	[sound:15892b8ef375.mp3]	module:05-n1 jlpt:n1 point:n1-emphasis
彼を責めるに忍びない。	に忍びない	に堪えない	に忍びない	reluctance vs emotional impact	〜に忍びない is reluctance	[sound:542b9c4fdc0b.mp3]	module:05-n1 jlpt:n1 point:n1-emphasis
涙が出るほど心を打たれた。	に堪える	に堪えない	に堪える	moving impact vs unbearable	〜に堪える shows impact	[sound:bc95204d9162.mp3]	module:05-n1 jlpt:n1 point:n1-emphasis
そんな失礼には堪えられない。	に堪えない	に足らない	に堪えない	intolerable vs insufficient	〜に堪えない shows intolerance	[sound:722678e63577.mp3]	module:05-n1 jlpt:n1 point:n1-emphasis
その成績は合格に足る。	に足る	に足らない	に足る	sufficiency vs inadequacy	〜に足る means worthy	[sound:3b07e6bc9204.mp3]	module:05-n1 jlpt:n1 point:n1-emphasis
その努力は報酬に足らない。	に足らない	に足る	に足らない	inadequacy vs sufficiency	〜に足らない means not enough	[sound:938cb401cb60.mp3]	module:05-n1 jlpt:n1 point:n1-emphasis
