#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::05 - N1 Grammar::Recognition

彼は何ともやら、不安そうに見えた。	かれはなんともやら、ふあんそうにみえた。	He seemed anxious in some indescribable way.	Vague characterization	N / V-plain + とやら (hearsay; so I hear; I am told — literary)	やら: literary uncertainty particle — 'I wonder what/how'; open-ended wondering	Undefined anxiety	～という感じで (like)	[sound:d0a135e03ec3.mp3]	module:05-n1 jlpt:n1 point:とばかり complexity:standard frequency:low source:dictionary-of-jp-grammar
母の声と見えて、彼は立ち上がった。	ははのこえとみえて、かれはたちあがった。	What seemed mother voice made him stand.	Sensory interpretation	～と見えて	と見えて: appearance-based causation — 'appeared to be X' led directly to Y	Mother voice	～ように見えて (seemed)	[sound:c4a3654b575d.mp3]	module:05-n1 jlpt:n1 point:とばかり complexity:standard frequency:top5k source:dictionary-of-jp-grammar
もう一度だけ、と言わんばかりに懇願した。	もういちどだけ、といわんばかりにこんがんした。	He pleaded as if saying just once more.	Action suggesting words	と言わんばかりに	と言わんばかりに: embodied implication — body/action says X without speaking it	Silent plea	かのように (as if)	[sound:776e3c878f66.mp3]	module:05-n1 jlpt:n1 point:とばかり complexity:standard frequency:top5k source:dictionary-of-jp-grammar
小説として扱われるべき作品だ。	しょうせつとしてあつかわれるべきさくひんだ。	It is a work should be treated as novel.	Genre classification	～として	として: role framing — X categorized as Y; functional or honorary identification	Genre status	～という (called)	[sound:14a687c025c6.mp3]	module:05-n1 jlpt:n1 point:とばかり complexity:standard frequency:top10k source:dictionary-of-jp-grammar
喜びとともに、不安も訪れた。	よろこびとともに、ふあんもおとずれた。	Along with joy came anxiety.	Paired emotions	～とともに	とともに: simultaneous co-occurrence — joy and anxiety arrive in the same moment	Dual emotion	～と一緒に (with)	[sound:afa76542359a.mp3]	module:05-n1 jlpt:n1 point:とばかり complexity:standard frequency:top10k source:dictionary-of-jp-grammar
うまくいくとばかり思っていたが、現実は違った。	うまくいくとばかりおもっていたが、げんじつはちがった。	He thought it would work, but reality differed.	Naive assumption	とばかり	とばかり: overconfident presumption — acted as IF success were certain beforehand	Failed expectation	～だと思いきや (thought)	[sound:9ea525fd76e6.mp3]	module:05-n1 jlpt:n1 point:とばかり complexity:standard frequency:top10k source:dictionary-of-jp-grammar
まるで別の人間のように、彼は変わっていた。	まるでべつのにんげんのように、かれはかわっていた。	Like a different person, he had changed.	Simile	まるで～のように	のように: literary simile — 'like X'; resemblance stated as elegant comparison	Person change	～そのものだ (very)	[sound:185667b36e8d.mp3]	module:05-n1 jlpt:n1 point:とばかり complexity:standard frequency:top10k source:dictionary-of-jp-grammar
静寂の中で、彼女の心臓の音が聞こえるとやら。	せいじゃくのなかで、かのじょのしんぞうのおとがきこえるとやら。	In silence, one might hear her heartbeat.	Uncertain perception	N / V-plain + とやら (hearsay; so I hear; I am told — literary)	とやら: distanced hearsay framing — 'something called X'; speaker disclaims certainty	Heartbeat perception	～と思った (thought)	[sound:b3e282ee48b6.mp3]	module:05-n1 jlpt:n1 point:とばかり complexity:standard frequency:top10k source:dictionary-of-jp-grammar
その瞬間、彼女は天使のように輝いて見えた。	そのしゅんかん、かのじょはてんしのようにかがやいてみえた。	At that moment, she seemed to shine like an angel.	Angelic appearance	～のように	のように: appearance simile — 'looked like X'; softened visual metaphor	Angel-like	～ように見えた (appeared)	[sound:65a81f91ed4d.mp3]	module:05-n1 jlpt:n1 point:とばかり complexity:standard frequency:low source:dictionary-of-jp-grammar
彼は怒りを露わにすることなく、ただ沈黙を保った。	かれはいかりをつゆわにすることなく、ただちんもくをたもった。	He maintained silence without showing anger.	Negating action	～ことなく	ことなく: maintained state without doing — sustained silence; X never occurred	Silent anger	せず (without)	[sound:968410ad7260.mp3]	module:05-n1 jlpt:n1 point:とばかり complexity:standard frequency:low source:dictionary-of-jp-grammar
