#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#deck:Japanese Grammar::02 - N4 Grammar::Production

I am studying now.	今勉強している。	いまべんきょうしている。	I am studying now.	ongoing action with ている	[sound:5f97894443ce.mp3]	module:02-n4 jlpt:n4 register:neutral point:te-aux-family pos:expr complexity:standard source:shin-kanzen
The window is open.	窓が開いてある。	まどがひらいてある。	The window is open.	state resultant with てある	[sound:ad50d2467b99.mp3]	module:02-n4 jlpt:n4 register:neutral point:te-aux-family pos:expr complexity:standard source:shin-kanzen
Let me prepare beforehand.	前もって準備しておこう。	まえもってじゅんびしておこう。	Let me prepare beforehand.	preparatory action with ておく	[sound:615cceed3b86.mp3]	module:02-n4 jlpt:n4 register:neutral point:te-aux-family pos:expr complexity:standard source:shin-kanzen
I accidentally broke the vase.	花瓶をうっかり壊してしまった。	かびんをうっかりこわしてしまった。	I accidentally broke the vase.	regrettable completion with てしまう	[sound:73c832d6f4e4.mp3]	module:02-n4 jlpt:n4 register:neutral point:te-aux-family pos:expr complexity:advanced source:shin-kanzen
Let me try eating this.	これを食べてみましょう。	これをたべてみましょう。	Let me try eating this.	attempt action with てみる	[sound:d8c1b7571e49.mp3]	module:02-n4 jlpt:n4 register:neutral point:te-aux-family pos:expr complexity:standard source:shin-kanzen
The rain is coming closer.	雨がこちらに来ている。	あめがこちらにきている。	The rain is coming closer.	progressive approach	[sound:d0ad654a3caa.mp3]	module:02-n4 jlpt:n4 register:neutral point:te-aux-family pos:expr complexity:standard source:shin-kanzen
I finished the homework.	宿題を終わらせてしまった。	しゅくだいをおわらせてしまった。	I finished the homework.	regrettable completion	[sound:c458ba158832.mp3]	module:02-n4 jlpt:n4 register:neutral point:te-aux-family pos:expr complexity:standard source:shin-kanzen
The luggage is packed.	荷物が詰め込んである。	にもつがつめこんである。	The luggage is packed.	state resultant packing	[sound:5525ca801a52.mp3]	module:02-n4 jlpt:n4 register:neutral point:te-aux-family pos:expr complexity:standard source:shin-kanzen
She keeps smiling.	彼女は笑い続けている。	かのじょはわらいつづけている。	She keeps smiling.	continuous action	[sound:9c3ff5028726.mp3]	module:02-n4 jlpt:n4 register:neutral point:te-aux-family pos:expr complexity:standard source:shin-kanzen
I'll send the email later.	後でメールを送っておきます。	あとでめーるをおくっておきます。	I'll send the email later.	preparatory action	[sound:6b19dabce704.mp3]	module:02-n4 jlpt:n4 register:neutral point:te-aux-family pos:expr complexity:standard source:shin-kanzen
Let me check the address again.	住所をもう一度確認してみます。	じゅうしょをもういちどかくにんしてみます。	Let me check the address again.	attempt verification	[sound:5a5f15ea9c92.mp3]	module:02-n4 jlpt:n4 register:neutral point:te-aux-family pos:expr complexity:advanced source:shin-kanzen
The situation is getting worse.	状況が悪くなっていく。	じょうきょうがわるくなっていく。	The situation is getting worse.	progressive deterioration	[sound:fcb429203ac4.mp3]	module:02-n4 jlpt:n4 register:neutral point:te-aux-family pos:expr complexity:advanced source:shin-kanzen
I have finished all work.	すべての仕事を済ませてしまった。	すべてのしごとをすませてしまった。	I have finished all work.	complete ending	[sound:456245057921.mp3]	module:02-n4 jlpt:n4 register:neutral point:te-aux-family pos:expr complexity:standard source:shin-kanzen
The book is stacked on the shelf.	本が棚に積んであります。	ほんがたなにつんであります。	The book is stacked on the shelf.	arranged state	[sound:f676aed54f1d.mp3]	module:02-n4 jlpt:n4 register:neutral point:te-aux-family pos:expr complexity:advanced source:shin-kanzen
Do you want to try skiing?	スキーをしてみたいですか。	すきーをしてみたいですか。	Do you want to try skiing?	desire to attempt	[sound:e8cfbb789b53.mp3]	module:02-n4 jlpt:n4 register:neutral point:te-aux-family pos:expr complexity:standard source:shin-kanzen
The snow is piling up.	雪が積もっていく。	ゆきがつもっていく。	The snow is piling up.	progressive accumulation	[sound:80dd5770d458.mp3]	module:02-n4 jlpt:n4 register:neutral point:te-aux-family pos:expr complexity:standard source:shin-kanzen
I have been working here for 5 years.	ここで5年働いている。	ここで5ねんはたらいている。	I have been working here for 5 years.	continuing state	[sound:0ba4bfd20581.mp3]	module:02-n4 jlpt:n4 register:neutral point:te-aux-family pos:expr complexity:advanced source:shin-kanzen
Let me reserve the tickets now.	チケットを今から予約しておきます。	ちけっとをいまからよやくしておきます。	Let me reserve the tickets now.	advance preparation	[sound:4417e41d9ceb.mp3]	module:02-n4 jlpt:n4 register:neutral point:te-aux-family pos:expr complexity:advanced source:shin-kanzen
The flowers have bloomed.	花が咲いてしまった。	はながさいてしまった。	The flowers have bloomed.	unexpected completion	[sound:357f7eab6501.mp3]	module:02-n4 jlpt:n4 register:neutral point:te-aux-family pos:expr complexity:standard source:shin-kanzen
I am watching the sunset.	夕日を眺めている。	ゆうひをながめている。	I am watching the sunset.	ongoing observation	[sound:c5b738533ca5.mp3]	module:02-n4 jlpt:n4 register:neutral point:te-aux-family pos:expr complexity:standard source:shin-kanzen
