#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#
#deck:Japanese Grammar (Strict)::05 - N1 Grammar::Production

The large-scale reform implemented in the previous fiscal year produced results.	past modification	さくねんどにじっししただいきぼなかいかくがせいかをだした。	昨年度に実施した大規模な改革が成果を出した。	Big modifier chain	[sound:d68939a3a780.mp3]	module:05-n1 jlpt:n1 point:という complexity:standard frequency:low source:shin-kanzen
Finally, a solution was found to the complex problem studied for many years.	extended modification	ながねんにわたってけんきゅうしてきたふくざつなもんだいについにかいけつさくがみつかった。	長年にわたって研究してきた複雑な問題についに解決策が見つかった。	Long chain modifier	[sound:50cae0535d31.mp3]	module:05-n1 jlpt:n1 point:という complexity:advanced frequency:top10k source:shin-kanzen
The policy that the people have long desired finally came true.	participial modification	こくみんがつよくのぞんできたせいさくがようやくじつげんした。	国民が強く望んできた政策がようやく実現した。	Popular desire	[sound:727768e920e1.mp3]	module:05-n1 jlpt:n1 point:という complexity:standard frequency:low source:shin-kanzen
The concept described in that literature is important.	nominalization	そのぶんけんにおいてろんじゅされたところのがいねんがじゅうようである。	その文献において論述されたところの概念が重要である。	Described concept	[sound:faa1677672e0.mp3]	module:05-n1 jlpt:n1 point:という complexity:advanced frequency:low source:shin-kanzen
We need to improve what he pointed out.	object scope	かれがしてきしたところをかいぜんするひつようがある。	彼が指摘したところを改善する必要がある。	What he pointed out	[sound:47c65392781c.mp3]	module:05-n1 jlpt:n1 point:という complexity:standard frequency:low source:shin-kanzen
We execute based on the policy stated by the president.	nominalization	しゃちょうのべたところのほうしんにもとづいてじっこうする。	社長の述べたところの方針に基づいて実行する。	President's policy	[sound:f9621cc4b98f.mp3]	module:05-n1 jlpt:n1 point:という complexity:standard frequency:low source:shin-kanzen
A response to that situation is required.	manner specification	そのじょうきょうをしたたいおうがもとめられている。	その状況をした対応が求められている。	Response to situation	[sound:cb608833c185.mp3]	module:05-n1 jlpt:n1 point:という complexity:standard frequency:low source:shin-kanzen
It is content that can only be understood with expert knowledge.	condition+manner	せんもんてきちしきにしてはじめてりかいできるないようである。	専門的知識にして初めて理解できる内容である。	Only with expertise	[sound:044e299e26d6.mp3]	module:05-n1 jlpt:n1 point:という complexity:standard frequency:top10k source:shin-kanzen
It is a judgment only possible with high morality.	condition	たかいどうとくしんにしてかのうなはんだんである。	高い道徳心にして可能な判断である。	With high morality	[sound:ed8f82baf8ac.mp3]	module:05-n1 jlpt:n1 point:という complexity:standard frequency:top10k source:shin-kanzen
It is a work based on deep thought that many empathize with.	basis specification	おおくのじんじんがきょうかんしたふかいしそうとしたちょさくである。	多くの人々が共感した深い思想とした著作である。	Deep thought work	[sound:270e78af0281.mp3]	module:05-n1 jlpt:n1 point:という complexity:standard frequency:low source:shin-kanzen
Excellent researchers gathered from around the world cooperate.	relative clause	せかいじゅうからあつまったゆうしゅなけんきゅうしゃがきょうりょくする。	世界中から集まった優秀な研究者が協力する。	Gathered researchers	[sound:2fe7537cfb9c.mp3]	module:05-n1 jlpt:n1 point:という complexity:standard frequency:top10k source:shin-kanzen
A new business program promoted by the government was launched.	relative clause	せいふがすいしんするしんきじぎょうプログラムがかいしされた。	政府が推進する新規事業プログラムが開始された。	Government program	[sound:e26e48216110.mp3]	module:05-n1 jlpt:n1 point:という complexity:standard frequency:low source:shin-kanzen
We address the many problems that occurred within that organization.	relative clause	そのそしきないでおきたおおくのもんだいにたいおうする。	その組織内で起きた多くの問題に対応する。	Organization problems	[sound:04267d0bb071.mp3]	module:05-n1 jlpt:n1 point:という complexity:standard frequency:low source:shin-kanzen
The conclusion stated by the author at the end is important.	〜ところの	ちょしゃがさいごにべたところのけつろんはじゅうようだ。	著者が最後に述べたところの結論は重要だ。	Author's conclusion	[sound:1445ea247f81.mp3]	module:05-n1 jlpt:n1 point:という complexity:standard frequency:top10k source:shin-kanzen
We carefully consider what the expert pointed out.	〜ところを	せんもんかがしてきしたところをじゅうぶんにけんとうする。	専門家が指摘したところを十分に検討する。	Expert's points	[sound:2090c2ad5717.mp3]	module:05-n1 jlpt:n1 point:という complexity:standard frequency:low source:shin-kanzen
Only with the new strategy were we able to succeed.	〜にして	あたらしいせんりゃくにしてはじめてせいこうできた。	新しい戦略にして初めて成功できた。	With new strategy	[sound:cf05c74226c6.mp3]	module:05-n1 jlpt:n1 point:という complexity:standard frequency:top10k source:shin-kanzen
Only with strong will were we able to accomplish it.	〜にして	つよいいしにしてなしとげることができた。	強い意志にして為し遂げることができた。	With strong will	[sound:abb6bb0aaaa7.mp3]	module:05-n1 jlpt:n1 point:という complexity:standard frequency:low source:shin-kanzen
It is a new analysis method based on that theory.	〜とした	そのりろんをきそとしたあたらしいぶんせきほうほうである。	その理論を基礎とした新しい分析方法である。	New method	[sound:f0da92c13033.mp3]	module:05-n1 jlpt:n1 point:という complexity:standard frequency:low source:shin-kanzen
Multi-faceted examination from multiple perspectives is necessary.	〜からした	ふくすうのかんてんからしただかくてきなけんとうがひつようだ。	複数の観点からした多角的な検討が必要だ。	Multi-perspective	[sound:c51a030d3fcf.mp3]	module:05-n1 jlpt:n1 point:という complexity:standard frequency:low source:shin-kanzen
A major project prepared over several years began moving.	relative clause	すうねんかけてじゅんびしたおおきなプロジェクトがうごきはじめた。	数年かけて準備した大きなプロジェクトが動き始めた。	Major project	[sound:3a8f5f7a12d3.mp3]	module:05-n1 jlpt:n1 point:という complexity:standard frequency:low source:shin-kanzen
It is a system built based on international standards.	relative clause	こくさいてきなきじゅんにもとづいてこうちくされたシステムである。	国際的な基準に基づいて構築されたシステムである。	International system	[sound:f7c4784569f1.mp3]	module:05-n1 jlpt:n1 point:という complexity:standard frequency:low source:shin-kanzen
