#separator:tab
#html:true
#columns:Text	Reading	Hint	Audio	Tags
#notetype:Cloze
#deck:Japanese Grammar::04 - N2 Grammar::Cloze
#
彼は部屋を出たかと思うと、{{c1::すぐに}}戻ってきた。	かれはへやをでたかとおもうと、{{c1::すぐに}}もどってきた。	immediately	[sound:c9b5ad1d5e22.mp3]	
雨が降りかけたかと思うと、{{c1::いきなり}}止んだ。	あめがおりかけたかとおもうと、{{c1::いきなり}}やんだ。	suddenly	[sound:abbe1f28f139.mp3]	
母が帰ってきたかと思ったら、{{c1::また}}出かけた。	ははがかえってきたかとおもったら、{{c1::また}}でかけた。	again	[sound:75db442d1557.mp3]	
仕事が終わったかと思ったら、{{c1::新しい}}案件が来た。	しごとがおわったかとおもったら、{{c1::あたらしい}}あんけんがきた。	new	[sound:01b469c6aa46.mp3]	
先生が入ってきたやいなや、{{c1::皆}}が静かになった。	せんせいがいっってきたやいなや、{{c1::みな}}がしずかになった。	everyone	[sound:c269077c684b.mp3]	
信号が青になったやいなや、{{c1::車}}は走り出した。	しんごうがあおになったやいなや、{{c1::くるま}}ははしりだした。	car	[sound:0b1e10fc8fda.mp3]	
彼が口を開いたがはやいか、{{c1::皆}}が笑った。	かれがくちをひらいたがはやいか、{{c1::みな}}がわらった。	everyone	[sound:156a64c7c251.mp3]	
試験が始まったがはやいか、{{c1::解けない}}問題が出た。	しけんがはじまったがはやいか、{{c1::とけない}}もんだいがでた。	unsolvable	[sound:73d836c1aebe.mp3]	
雪が降り始めたとたんに、{{c1::辺り}}は白くなった。	ゆきがおりはじめたとたんに、{{c1::あたり}}はしろくなった。	surroundings	[sound:9ced8cbcf65a.mp3]	
彼女が入ってきたとたん、{{c1::彼}}は赤くなった。	かのじょがいっってきたとたん、{{c1::かれ}}はあかくなった。	he	[sound:541934f0e39f.mp3]	
子どもが泣き始めたとたんに、{{c1::親}}も焦った。	こどもがなきはじめたとたんに、{{c1::おや}}もあせった。	parent	[sound:025ed62ea013.mp3]	
荷物が届き次第、{{c1::開けて}}ください。	にもつがとどきしだい、{{c1::ひらけて}}ください。	open	[sound:6904938958d9.mp3]	
試験の結果次第で、{{c1::進路}}が決まる。	しけんのけっかしだいで、{{c1::しんろ}}がきまる。	career	[sound:67957a16c17e.mp3]	
会議が終わり次第、{{c1::報告書}}を出します。	かいぎがおわりしだい、{{c1::ほうこくしょ}}をだします。	report	[sound:55198daf421e.mp3]	
予算次第で、{{c1::プロジェクト}}が進められる。	よさんしだいで、ぷろじぇくとが{{c1::すすめられる}}。	proceed	[sound:53a96f5b5b05.mp3]	
働きながら{{c1::大学}}に通っている。	はたらきながら{{c1::だいがく}}にとおっている。	university	[sound:5f3ebbf27dec.mp3]	
子どもを見守りながら、{{c1::食事}}を作った。	こどもをみまもりながら、{{c1::しょくじ}}をつくった。	meal	[sound:df85ace08b5e.mp3]	
痛みを感じながらも、{{c1::走り続けた}}。	いたみをかんじながらも、{{c1::はしりつづけた}}。	kept running	[sound:096ca9c6f2c6.mp3]	
季節が変わりながら、{{c1::同じ}}仕事をしている。	きせつがかわりながら、{{c1::おなじ}}しごとをしている。	same	[sound:9eef295e1739.mp3]	
歌いながら{{c1::歩く}}。	うたいながら{{c1::あるく}}。	walk	[sound:507731b8073c.mp3]	
手を洗いながら{{c1::話す}}。	てをあらいながら{{c1::はなす}}。	speak	[sound:6585afb255c3.mp3]	
彼は笑いながら{{c1::話し始めた}}。	かれはわらいながら{{c1::はなしはじめた}}。	began speaking	[sound:a2277458c49f.mp3]	
本を読みながら、{{c1::コーヒー}}を飲んだ。	ほんをよみながら、{{c1::こーひー}}をのんだ。	coffee	[sound:4f60d71f0210.mp3]	
窓の外を見ながら、{{c1::考えていた}}。	まどのそとをみながら、{{c1::かんがえていた}}。	was thinking	[sound:d1ccad9bbf0e.mp3]	
曲を聞きながら、{{c1::運動}}する。	きょくをききながら、{{c1::うんどう}}する。	exercise	[sound:95d4b6fe53f0.mp3]	
テレビを見ながら、{{c1::食事}}をする。	てれびをみながら、{{c1::しょくじ}}をする。	meal	[sound:de7880cee56e.mp3]	
友達と話しながら、{{c1::歩いていった}}。	ともだちとはなしながら、{{c1::あるいていった}}。	walked	[sound:78e1f087d382.mp3]	
雨の中を傘を差しながら、{{c1::進んだ}}。	あめのなかをかさをさしながら、{{c1::すすんだ}}。	proceeded	[sound:db4f6503a0ab.mp3]	
旅行中、楽しみながら、{{c1::学んだ}}。	りょこうちゅう、たのしみながら、{{c1::まなんだ}}。	learned	[sound:1a488ea6fe8a.mp3]	
仕事をしながら、{{c1::音楽}}を聞く。	しごとをしながら、{{c1::おんがく}}をきく。	music	[sound:0baba093a98c.mp3]	
運転しながら、{{c1::電話}}で話す。	うんてんしながら、{{c1::でんわ}}ではなす。	phone	[sound:15028a65e464.mp3]	
勉強しながら、{{c1::スナック}}を食べた。	べんきょうしながら、すなっくを{{c1::たべた}}。	ate	[sound:84e4a829ecc6.mp3]	
走りながら、{{c1::息}}をしている。	はしりながら、{{c1::いき}}をしている。	breath	[sound:5cbc322c441c.mp3]	
演技しながら、{{c1::涙}}を流した。	えんぎしながら、{{c1::なみだ}}をながした。	tears	[sound:b79585fc0502.mp3]	
指摘されながらも、{{c1::意見}}を曲げなかった。	してきされながらも、{{c1::いけん}}をまげなかった。	opinion	[sound:fc2e682e9be9.mp3]	
