#separator:tab
#html:true
#columns:JP	OptionA	OptionB	Answer	Why	Tip	Audio	Tags
#notetype:Contrast
#deck:Japanese Grammar::04 - N2 Grammar::Contrast
#
卒業にあたって、先生から最後のメッセージを受けた。	に際して	に先立って	にあたって	にあたって = upon event/occasion	Upon graduation, received final message	[sound:841267375d95.mp3]	module:04-n2 jlpt:n2 register:formal point:formal-attendant pos:expr frequency:top5k complexity:standard
新年にあたって、目標を立てた。	に際して	に先立って	にあたって	にあたって = at the time of (milestone)	At the New Year, set goals	[sound:3dcde9815694.mp3]	module:04-n2 jlpt:n2 register:formal point:formal-attendant pos:expr frequency:top10k complexity:standard
契約に際して、重要な点を説明する。	にあたって	に先立って	に際して	に際して = when/at the time of (formal)	When contracting, explain key points	[sound:1f7dea36f1fb.mp3]	module:04-n2 jlpt:n2 register:formal point:formal-attendant pos:expr frequency:top10k complexity:standard
結婚に際して、親の承認が必要だった。	にあたって	に先立って	に際して	に際して = at the occasion of (formal)	Upon marriage, parental approval needed	[sound:0b45b7b2253e.mp3]	module:04-n2 jlpt:n2 register:formal point:formal-attendant pos:expr frequency:top10k complexity:standard
引っ越しに先立って、掃除をする。	にあたって	に際して	に先立って	に先立って = before/prior to (preparation)	Prior to moving, clean house	[sound:201856361e25.mp3]	module:04-n2 jlpt:n2 register:formal point:formal-attendant pos:expr frequency:low complexity:standard
会議に先立って、資料を配布した。	にあたって	に際して	に先立って	に先立って = in advance of	Before meeting, distributed materials	[sound:26b2822c3d93.mp3]	module:04-n2 jlpt:n2 register:formal point:formal-attendant pos:expr frequency:low complexity:standard
発表にあたって、スライドを用意する。	に際して	に先立って	にあたって	にあたって = in the course of	For presentation, prepare slides	[sound:8746a6755a78.mp3]	module:04-n2 jlpt:n2 register:formal point:formal-attendant pos:expr frequency:low complexity:standard
問題が発生に際して、すぐ対応する。	にあたって	に先立って	に際して	に際して = when/at the moment of	When problem arises, respond quickly	[sound:eb2411f04dc9.mp3]	module:04-n2 jlpt:n2 register:formal point:formal-attendant pos:expr frequency:low complexity:standard
試験に先立って、予習が大切だ。	にあたって	に際して	に先立って	に先立って = preparatory to	Study needed before exam	[sound:2921e57eeb28.mp3]	module:04-n2 jlpt:n2 register:formal point:formal-attendant pos:expr frequency:top5k complexity:standard
演説に際して、聴衆の反応は驚きだった。	にあたって	に先立って	に際して	に際して = at the time of (formal)	During speech, audience reaction surprised	[sound:ef9f71a0a64b.mp3]	module:04-n2 jlpt:n2 register:formal point:formal-attendant pos:expr frequency:low complexity:standard
