#separator:tab
#html:true
#columns:JP	OptionA	OptionB	Answer	Why	Tip	Audio	Tags
#notetype:Contrast
#
#deck:Japanese Grammar (Strict)::05 - N1 Grammar::Contrast

彼の優雅さは芸術の極みだ。	きわみ	いたり	きわみ	pinnacle vs formal regret	〜の極み emphasizes ultimate form	[sound:9f8d8aa5753b.mp3]	module:05-n1 jlpt:n1 point:の極み complexity:standard confusable-with:いたり frequency:top10k source:shin-kanzen
不注意の至りです。	いたり	きわみ	いたり	formal regret vs extreme form	〜の至り is apologetic	[sound:c9b8b7762f78.mp3]	module:05-n1 jlpt:n1 point:の極み complexity:intro confusable-with:きわみ frequency:top10k source:shin-kanzen
その態度は失礼きわまりない。	きわまりない	の極み	きわまりない	suffix form vs noun form	〜きわまりない is a suffix	[sound:bdc917c87e85.mp3]	module:05-n1 jlpt:n1 point:の極み complexity:standard confusable-with:の極み frequency:top10k source:shin-kanzen
彼の言い分にも一理ある。	にも一理ある	に足る	にも一理ある	partial validity vs merit	〜にも一理ある means some truth	[sound:ef95463a59bf.mp3]	module:05-n1 jlpt:n1 point:の極み complexity:intro confusable-with:に足る frequency:top10k source:shin-kanzen
話は簡潔なほどいい。	ほど	だけ	ほど	degree comparison vs measure	〜ほど shows extent	[sound:4e87b2951cd7.mp3]	module:05-n1 jlpt:n1 point:の極み complexity:intro confusable-with:だけ frequency:low source:shin-kanzen
彼のような人は稀だ。	稀	滅多に	稀	rare vs seldom	〜稀 is more formal	[sound:bb0706fb7699.mp3]	module:05-n1 jlpt:n1 point:の極み complexity:intro confusable-with:滅多に frequency:low source:shin-kanzen
限りない可能性がある。	限りない	限界のない	限りない	infinite vs boundless	〜限りない emphasizes endless	[sound:870b5dc662b0.mp3]	module:05-n1 jlpt:n1 point:の極み complexity:intro confusable-with:限界のない frequency:low source:shin-kanzen
予想以上に素晴らしい。	以上に	以上の	以上に	exceeding vs beyond	〜以上に is degree	[sound:09a5534b36f4.mp3]	module:05-n1 jlpt:n1 point:の極み complexity:intro confusable-with:以上の frequency:top10k source:shin-kanzen
その美しさは言葉に尽くし難い。	尽くし難い	尽くせない	尽くし難い	difficult to express vs impossible	〜難い is harder to express	[sound:ace6c5f09e22.mp3]	module:05-n1 jlpt:n1 point:の極み complexity:standard confusable-with:尽くせない frequency:low source:shin-kanzen
彼の知識は推して知るべし。	推して知るべし	言わずと知れた	推して知るべし	inferred vs obvious	〜推して知るべし requires inference	[sound:cbe3976270af.mp3]	module:05-n1 jlpt:n1 point:の極み complexity:standard confusable-with:言わずと知れた frequency:top10k source:shin-kanzen
その行動は褒める他ない。	褒める他ない	讃える他ない	褒める他ない	praise necessity vs only option	〜褒める他ない is praise	[sound:033af55510c6.mp3]	module:05-n1 jlpt:n1 point:の極み complexity:intro confusable-with:讃える他ない frequency:top10k source:shin-kanzen
その実力は疑いの余地がない。	疑いの余地がない	疑いようがない	疑いの余地がない	no doubt vs obvious	〜疑いの余地がない is formal	[sound:d304a0fcf209.mp3]	module:05-n1 jlpt:n1 point:の極み complexity:standard confusable-with:疑いようがない frequency:low source:shin-kanzen
天才とまでは言わないが。	とまでは言わないが	とは言わないまでも	とまでは言わないが	emphatic negation vs concession	〜とまでは言わないが is more emphatic	[sound:7bec1a6be0de.mp3]	module:05-n1 jlpt:n1 point:の極み complexity:intro confusable-with:とは言わないまでも frequency:low source:shin-kanzen
