#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#deck:Japanese Grammar::04 - N2::Production
#
This assignment must be completed (no alternative).	ざるを得ない	このかだいはかんせいせざるをえない。	この課題は完成せざるを得ない。	Forced action with no alternative	[sound:8ed984d8dc14.mp3]	module:04-n2 jlpt:n2 point:formal-modality point:formal-modality-have-to complexity:standard frequency:top10k source:shin-kanzen
She couldn't help but come.	ざるを得ない	かのじょはどうしてもこざるをえなかった。	彼女はどうしても来ざるを得なかった。	Unavoidable action	[sound:4db30b075dc3.mp3]	module:04-n2 jlpt:n2 point:formal-modality point:formal-modality-have-to complexity:standard frequency:top10k source:shin-kanzen
The government had no choice but to take measures.	ざるを得ない	せいふはたいさくをとらざるをえない。	政府は対策を取らざるを得ない。	Unavoidable policy	[sound:c3848e6ce808.mp3]	module:04-n2 jlpt:n2 point:formal-modality point:formal-modality-have-to complexity:standard frequency:low source:shin-kanzen
One cannot help but say such things.	ざるを得ない	そんなことはいわざるをえない。	そんなことは言わざるを得ない。	Forced utterance	[sound:34388e3dc771.mp3]	module:04-n2 jlpt:n2 point:formal-modality point:formal-modality-have-to complexity:standard source:shin-kanzen
Under these conditions, one must proceed.	ざるを得ない	このじょうけんかではすすまざるをえない。	この条件下では進まざるを得ない。	Unavoidable advancement	[sound:2a8ddb9d4a23.mp3]	module:04-n2 jlpt:n2 point:formal-modality point:formal-modality-have-to complexity:standard frequency:top10k source:shin-kanzen
One cannot but acknowledge the facts.	ざるを得ない	じじつをみとめざるをえない。	事実を認めざるを得ない。	Forced recognition	[sound:b61a754b28dc.mp3]	module:04-n2 jlpt:n2 point:formal-modality point:formal-modality-have-to complexity:intro frequency:top10k source:shin-kanzen
One had to respond to that proposal.	ざるを得ない	そのていあんにおうじざるをえない。	その提案に応じざるを得ない。	Unavoidable reply	[sound:4e882cef98e0.mp3]	module:04-n2 jlpt:n2 point:formal-modality point:formal-modality-have-to complexity:standard frequency:top10k source:shin-kanzen
Right now there is nothing to do but wait.	よりほかない	いまはまつよりほかない。	今は待つよりほかない。	Only option left	[sound:abf1c04c41aa.mp3]	module:04-n2 jlpt:n2 point:formal-modality point:formal-modality-have-to complexity:intro frequency:top1k source:shin-kanzen
There is no choice but to go down this path.	よりほかない	このみちをいくよりほかはない。	この道を行くよりほかはない。	Single option	[sound:d94bceeb8a18.mp3]	module:04-n2 jlpt:n2 point:formal-modality point:formal-modality-have-to complexity:standard frequency:top1k source:shin-kanzen
Since there's no other way, this is the only choice.	よりほかない	ほかにほうほうはないので、これをするよりほかない。	他に方法はないので、これをするよりほかない。	Last resort	[sound:83107fc27129.mp3]	module:04-n2 jlpt:n2 point:formal-modality point:formal-modality-have-to complexity:standard frequency:top10k source:shin-kanzen
