#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#
#deck:Japanese Grammar (Strict)::03 - N3 Grammar::Recognition

彼が遅れたわけだ。	かれがおくれたわけだ。	That's why / no wonder he was late.	N3 inference	V(past) + わけだ	Express logical consequence; 'it follows that'	Explaining why something happened	はずだ (prediction)	[sound:4a2885520770.mp3]	module:03-n3 jlpt:n3 point:わけだ complexity:intro frequency:top10k source:shin-kanzen
努力すれば報われるわけだ。		It stands to reason that if you try hard...	Conditional consequence	V(cond) + わけだ	Logical if-then in plain assertion	Given condition, natural outcome	だからだ (because)	[sound:d078af5c8db7.mp3]	module:03-n3 jlpt:n3 point:わけだ complexity:intro frequency:top10k source:shin-kanzen
こんなに難しいわけだ。	こんなにむずかしいわけだ。	So that's why it's so difficult.	Explanatory	い + わけだ	Explain observed difficulty	Ah, that explains it!	だからだ	[sound:0826d21c8c31.mp3]	module:03-n3 jlpt:n3 point:わけだ complexity:intro frequency:top1k source:shin-kanzen
子供だったわけだ。	こどもだったわけだ。	So he was a child back then.	State explanation	N/Adj(past) + わけだ	Explain past state	Recollecting why something was true	ものだ (used to be)	[sound:65377bad6ce3.mp3]	module:03-n3 jlpt:n3 point:わけだ complexity:intro frequency:top1k source:shin-kanzen
雨が降るわけだ。	あめがふるわけだ。	So it's raining (logical consequence).	Asserting reason	V(pres) + わけだ	Assert logical inevitability	Of course it's happening	ものだ	[sound:c7edbb4b8153.mp3]	module:03-n3 jlpt:n3 point:わけだ complexity:intro frequency:top1k source:shin-kanzen
給料が上がるわけだ。	きゅうりょうがあがるわけだ。	It makes sense that salaries are rising.	Natural outcome	V(pres) + わけだ	Explain why sth is inevitable	Naturally, the outcome is X	ものだ	[sound:ed96e0c2dd25.mp3]	module:03-n3 jlpt:n3 point:わけだ complexity:intro frequency:top10k source:shin-kanzen
重いわけだ。	おもいわけだ。	So that's why it's heavy.	Adjectival inference	い + わけだ	Explain why adj applies	Explaining an observation	ものだ	[sound:c4d7bae99981.mp3]	module:03-n3 jlpt:n3 point:わけだ complexity:intro frequency:top1k source:shin-kanzen
完璧なわけだ。	かんぺきなわけだ。	That's why it's perfect.	Explaining quality	な + わけだ	Logical reason for state	Explaining why something has quality	ものだ	[sound:372e32e0c921.mp3]	module:03-n3 jlpt:n3 point:わけだ complexity:intro source:shin-kanzen
失敗したわけではない。	しっぱいしたわけではない。	It's not that [I] failed.	Negating assumption	V(past) + わけではない	Deny causal link; 'it's not that'	Refuting inference	のではない (different reason)	[sound:f7b57afd1d76.mp3]	module:03-n3 jlpt:n3 point:わけだ complexity:intro frequency:top5k source:shin-kanzen
私のせいではない、というわけだ。	わたしのせいではない、というわけだ。	In other words, it's not my fault.	Clarifying negation	というわけだ	Negate via restatement	Paraphrasing denial	のではない	[sound:ebd6436b1567.mp3]	module:03-n3 jlpt:n3 point:わけだ complexity:standard frequency:top1k source:shin-kanzen
