#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#
#deck:Japanese Grammar (Strict)::05 - N1 Grammar::Production

As soon as we heard his words, everyone applauded.	immediacy	かれのことばをきくがはやいか、みながはくしゅした。	彼の言葉を聞くが早いか、皆が拍手した。	As soon as	[sound:272a521fd5aa.mp3]	module:05-n1 jlpt:n1 point:べく complexity:standard frequency:top10k source:shin-kanzen
No sooner had the door opened than the child jumped out.	immediacy	ドアがひらくがはやいか、こどもがとびだした。	ドアが開くが早いか、子供が飛び出した。	The moment	[sound:edc769989bcf.mp3]	module:05-n1 jlpt:n1 point:べく complexity:standard frequency:top10k source:shin-kanzen
The moment the meeting ended, he left.	immediacy	かいぎがおわるがはやいか、かれはたちさった。	会議が終わるが早いか、彼は立ち去った。	As soon as	[sound:e385148af199.mp3]	module:05-n1 jlpt:n1 point:べく complexity:standard frequency:top5k source:shin-kanzen
Scarcely had the order been given when soldiers acted.	immediacy	めいれいをくださんきや、へいしたちはこうどうした。	命令を下さんきや、兵士たちは行動した。	Before/scarcely	[sound:45e4c1c0e1dd.mp3]	module:05-n1 jlpt:n1 point:べく complexity:standard frequency:low source:shin-kanzen
He said something-or-other about that story and got angry.	dismissal	かれはそのはなしのなんのといって、おこった。	彼はその話のなんのと言って、怒った。	Something-or-other	[sound:6c6acba046cf.mp3]	module:05-n1 jlpt:n1 point:べく complexity:standard frequency:top5k source:shin-kanzen
Details don't matter. The point-or-other put concisely.	dismissal	しょうさいはどうでもよい。ようてんのなんのといってかんけつにする。	詳細はどうでもよい。要点のなんのと言って簡潔にする。	The point being	[sound:a1ca20d6ac5e.mp3]	module:05-n1 jlpt:n1 point:べく complexity:standard frequency:low source:shin-kanzen
I thought he would succeed, but he failed.	contrast	せいこうするとおもいきや、しっぱいした。	成功すると思いきや、失敗した。	I thought/expected but	[sound:f2ee328252b5.mp3]	module:05-n1 jlpt:n1 point:べく complexity:standard frequency:top10k source:shin-kanzen
I expected him to come, but he didn't come at all.	contrast	かれがくるとおもいきや、まったくこなかった。	彼が来ると思いきや、全く来なかった。	I thought but	[sound:7d4b11dfa4b1.mp3]	module:05-n1 jlpt:n1 point:べく complexity:standard frequency:top10k source:shin-kanzen
I thought it was simple, but it was actually difficult.	contrast	かんたんだとおもいきや、じつはむずかしかった。	簡単だと思いきや、実は難しかった。	I thought but	[sound:e20f20bc8329.mp3]	module:05-n1 jlpt:n1 point:べく complexity:standard frequency:top10k source:shin-kanzen
A person who appeared to be a scholar showed up.	inference	そのがくしゃとおぼしきじんぶつがあらわれた。	その学者とおぼしき人物が現れた。	Appears to be	[sound:7a3956573c75.mp3]	module:05-n1 jlpt:n1 point:べく complexity:standard frequency:top10k source:shin-kanzen
