#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#deck:Japanese Grammar::02 - N4 Grammar::Production
#
Speaking of sushi, that shop is the best.	すしなら、あの店が一番です。	すしなら、あのみせがいちばんです。	すしなら、あの店が一番です。	given-topic condition	[sound:49552a38333b.mp3]	module:02-n4 jlpt:n4 register:neutral point:conditional-nara pos:expr frequency:top1k complexity:standard
If it comes to reading, I prefer novels.	読書なら、小説が好きです。	どくしょなら、しょうせつがすきです。	読書なら、小説が好きです。	given-topic condition	[sound:d852be881fa7.mp3]	module:02-n4 jlpt:n4 register:neutral point:conditional-nara pos:expr frequency:top10k complexity:intro
As for sports, soccer is the most popular.	スポーツなら、サッカーが一番人気です。	すぽーつなら、さっかーがいちばんにんきです。	スポーツなら、サッカーが一番人気です。	given-topic condition	[sound:3cc0441b83ab.mp3]	module:02-n4 jlpt:n4 register:neutral point:conditional-nara pos:expr frequency:top10k complexity:standard
If you're talking about Japanese food, tempura is excellent.	和食なら、天ぷらが素晴らしいです。	わしょくなら、てんぷらがすばらしいです。	和食なら、天ぷらが素晴らしいです。	given-topic condition	[sound:72adba861109.mp3]	module:02-n4 jlpt:n4 register:neutral point:conditional-nara pos:expr frequency:low complexity:standard
Speaking of movies, action films are entertaining.	映画なら、アクション映画が面白いです。	えいがなら、あくしょんえいががおもしろいです。	映画なら、アクション映画が面白いです。	given-topic condition	[sound:247899bf1908.mp3]	module:02-n4 jlpt:n4 register:neutral point:conditional-nara pos:expr frequency:top1k complexity:standard
If it's about music, classical is calming.	音楽なら、クラシックが落ち着きます。	おんがくなら、くらしっくがおちつきます。	音楽なら、クラシックが落ち着きます。	given-topic condition	[sound:7ba149354b73.mp3]	module:02-n4 jlpt:n4 register:neutral point:conditional-nara pos:expr frequency:low complexity:standard
As for animals, cats are cute.	動物なら、猫がかわいいです。	どうぶつなら、ねこがかわいいです。	動物なら、猫がかわいいです。	given-topic condition	[sound:f1023a055902.mp3]	module:02-n4 jlpt:n4 register:neutral point:conditional-nara pos:expr frequency:top1k complexity:standard
Speaking of flowers, roses are beautiful.	花なら、バラが綺麗です。	はななら、ばらがきれいです。	花なら、バラが綺麗です。	given-topic condition	[sound:e3c52551a83a.mp3]	module:02-n4 jlpt:n4 register:neutral point:conditional-nara pos:expr frequency:top1k complexity:intro
If you're asking about vegetables, carrots are nutritious.	野菜なら、にんじんが栄養があります。	やさいなら、にんじんがえいようがあります。	野菜なら、にんじんが栄養があります。	given-topic condition	[sound:db6a678276be.mp3]	module:02-n4 jlpt:n4 register:neutral point:conditional-nara pos:expr frequency:top10k complexity:standard
As for drinks, tea is the healthiest.	飲み物なら、お茶が一番健康的です。	のみものなら、おちゃがいちばんけんこうてきです。	飲み物なら、お茶が一番健康的です。	given-topic condition	[sound:f8eee979d853.mp3]	module:02-n4 jlpt:n4 register:neutral point:conditional-nara pos:expr frequency:top10k complexity:standard
