#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#
#deck:Japanese Grammar (Strict)::05 - N1 Grammar::Recognition

その成功は彼の人生の集大成である。	そのせいこうはかれのじんせいのしゅうたいせいである。	That success is the culmination of his life's work.	集大成	noun + 集大成	culmination	life's work	achievement	[sound:2b00a8c68890.mp3]	module:05-n1 jlpt:n1 point:てやまない complexity:standard frequency:top10k source:shin-kanzen
究極の選択を迫られている。	きゅうきょくのせんたくをせまられている。	I'm forced to make an ultimate choice.	究極の	究極の + noun	final choice	ultimate	decision	[sound:4f4d71de4afd.mp3]	module:05-n1 jlpt:n1 point:てやまない complexity:standard frequency:low source:shin-kanzen
彼の忍耐は限界に達した。	かれのにんたいはげんかいにたっした。	His patience has reached its limit.	限界に達する	noun + 限界に達する	breaking point	at the limit	tolerance	[sound:a55609170845.mp3]	module:05-n1 jlpt:n1 point:てやまない complexity:intro frequency:top10k source:shin-kanzen
そんなことは言わずもがなだ。	そんなことはいわずもがなだ。	That goes without saying.	言わずもがな	V + 言わずもがな	obvious	needless to say	understanding	[sound:78efba907397.mp3]	module:05-n1 jlpt:n1 point:てやまない complexity:standard source:shin-kanzen
彼が来るなんて、さもありなん。	かれがくるなんて、さもありなん。	Of course he'd come; that's just like him.	さもありなん	Fixed expression / idiomatic set phrase	expected	as expected	character	[sound:63d96422d3ac.mp3]	module:05-n1 jlpt:n1 point:てやまない complexity:standard frequency:top5k source:shin-kanzen
その話は言わぬが花だ。	そのはなしはいわぬがはなだ。	It's best left unsaid.	言わぬが花	Fixed expression / idiomatic set phrase	discretion	better unsaid	wisdom	[sound:7b40881f9538.mp3]	module:05-n1 jlpt:n1 point:てやまない complexity:intro frequency:top1k source:shin-kanzen
彼の行動は無責任の何ものでもない。	かれのこうどうはむせきにんのなんものでもない。	His behavior is nothing but irresponsible.	〜の何ものでもない	noun + の何ものでもない	strong assertion	nothing but	criticism	[sound:b953864c30af.mp3]	module:05-n1 jlpt:n1 point:てやまない complexity:standard frequency:top10k source:shin-kanzen
これは嘘以外の何物でもない。	これはうそいがいのなんぶつでもない。	This is nothing but a lie.	〜以外の何物でもない	noun + 以外の何物でもない	complete assertion	nothing but	falsehood	[sound:08e3e19b950c.mp3]	module:05-n1 jlpt:n1 point:てやまない complexity:standard frequency:top5k source:shin-kanzen
彼の才能は比類なきものだ。	かれのさいのうはひるいなきものだ。	His talent is incomparable.	比類なき	比類なき + noun	unmatched	unparalleled	ability	[sound:4a7bfdf18cce.mp3]	module:05-n1 jlpt:n1 point:てやまない complexity:standard frequency:low source:shin-kanzen
この状況は前代未聞である。	このじょうきょうはぜんだいみもんである。	This situation is unprecedented.	前代未聞	前代未聞 + である	unprecedented	never heard of	novelty	[sound:d079786c8b63.mp3]	module:05-n1 jlpt:n1 point:てやまない complexity:standard frequency:top10k source:shin-kanzen
その存在は何ともいえぬ美しさ。	そのそんざいはなんともいえぬうつくしさ。	Its existence has an indescribable beauty.	何ともいえぬ	何ともいえぬ	indescribable	beyond words	beauty	[sound:c769a5c280ce.mp3]	module:05-n1 jlpt:n1 point:てやまない complexity:standard frequency:low source:shin-kanzen
その結果は何をか言わんや。	そのけっかはなをかいわんや。	What more need be said about the result.	何をか言わんや	何をか言わんや	rhetorical	need I say	result	[sound:cdc03f3c45d1.mp3]	module:05-n1 jlpt:n1 point:てやまない complexity:standard frequency:top10k source:shin-kanzen
彼の才能は比肩すべき者がない。	かれのさいのうはひけんすべきものがない。	His talent has no equal.	比肩すべき	比肩すべき	incomparable	unrivaled	talent	[sound:b06f9a7777bf.mp3]	module:05-n1 jlpt:n1 point:てやまない complexity:standard frequency:top10k source:shin-kanzen
その成功は喜びに堪えない。	そのせいこうはよろこびにたえない。	I can't contain my joy at the success.	堪えない	堪えない	overwhelming	unbearable	joy	[sound:691c3f9d8ed3.mp3]	module:05-n1 jlpt:n1 point:てやまない complexity:standard frequency:top10k source:shin-kanzen
話の種になるほどの逸話。	はなしのたねになるほどのいつわ。	It's such a remarkable anecdote it becomes talk of the town.	話の種になる	話の種になる	noteworthy	topic of discussion	anecdote	[sound:0c06e7e61fd0.mp3]	module:05-n1 jlpt:n1 point:てやまない complexity:intro frequency:top10k source:shin-kanzen
世間の評判は上々だ。	せけんのひょうばんはじょうじょうだ。	The public reputation is excellent.	上々だ	上々だ	excellent	top-notch	reputation	[sound:638fb3352bee.mp3]	module:05-n1 jlpt:n1 point:てやまない complexity:intro frequency:top10k source:shin-kanzen
その美は世に稀なり。	そのびはよにまれなり。	Such beauty is rare in this world.	世に稀	世に稀	rare	seldom seen	beauty	[sound:be4c0b1afbca.mp3]	module:05-n1 jlpt:n1 point:てやまない complexity:intro frequency:low source:shin-kanzen
彼は時代の寵児である。	かれはじだいのちょうじである。	He is the darling of the age.	寵児	寵児	favorite	beloved	status	[sound:1bfba7d50e4b.mp3]	module:05-n1 jlpt:n1 point:てやまない complexity:intro frequency:top5k source:shin-kanzen
その実績は歴史に名を刻む。	そのじっせきはれきしになをきざむ。	His achievements will go down in history.	歴史に名を刻む	歴史に名を刻む	historical significance	immortal fame	achievement	[sound:3c6d318e14ff.mp3]	module:05-n1 jlpt:n1 point:てやまない complexity:standard frequency:low source:shin-kanzen
彼の才能は世が認めるところ。	かれのさいのうはよがみとめるところ。	His talent is acknowledged by society.	世が認める	世が認める	public recognition	widely recognized	talent	[sound:1490a842e265.mp3]	module:05-n1 jlpt:n1 point:てやまない complexity:standard frequency:top10k source:shin-kanzen
その美しさは容易ならぬ。	そのうつくしさはようがならぬ。	That beauty is no ordinary thing.	容易ならぬ	容易ならぬ	remarkable	extraordinary	beauty	[sound:18495fdc4b6c.mp3]	module:05-n1 jlpt:n1 point:てやまない complexity:intro frequency:low source:shin-kanzen
彼は不世出の天才である。	かれはふせいしゅつのてんさいである。	He is a rare genius who comes once in an age.	不世出の	不世出の	once-in-an-age	rare genius	talent	[sound:a5fd84ff1ef3.mp3]	module:05-n1 jlpt:n1 point:てやまない complexity:intro frequency:low source:shin-kanzen
その成果は目を見張るほどだ。	そのせいかはめをみはるほどだ。	The result is striking and remarkable.	目を見張る	目を見張る	striking	eye-catching	achievement	[sound:e3d6a669e1af.mp3]	module:05-n1 jlpt:n1 point:てやまない complexity:standard frequency:low source:shin-kanzen
彼の努力ぶりは賞賛に値する。	かれのどりょくぶりはしょうさんにあたいする。	His effort is worthy of praise.	賞賛に値する	賞賛に値する	praiseworthy	merits praise	effort	[sound:26e4a028c7f2.mp3]	module:05-n1 jlpt:n1 point:てやまない complexity:standard frequency:low source:shin-kanzen
その知見は業界を揺さぶった。	そのちけんはぎょうかいをゆさぶった。	His insight shook the industry.	業界を揺さぶる	業界を揺さぶる	industry-shaking	impactful	knowledge	[sound:0a488496112a.mp3]	module:05-n1 jlpt:n1 point:てやまない complexity:standard source:shin-kanzen
彼の成功は奇跡的だ。	かれのせいこうはきせきてきだ。	His success is miraculous.	奇跡的	奇跡的	miraculous	extraordinary	success	[sound:a361c867c809.mp3]	module:05-n1 jlpt:n1 point:てやまない complexity:intro frequency:top10k source:shin-kanzen
その結果は予想を遥かに超えた。	そのけっかはよそうをはるかにこえた。	The result far exceeded expectations.	予想を超える	予想を超える	exceeds expectations	surpasses	outcome	[sound:53b2dac52177.mp3]	module:05-n1 jlpt:n1 point:てやまない complexity:standard frequency:low source:shin-kanzen
彼の実力は比べ物にならない。	かれのじつりょくはくらべものにならない。	His ability is incomparable.	比べ物にならない	比べ物にならない	incomparable	unmatched	ability	[sound:62e24fe52ad2.mp3]	module:05-n1 jlpt:n1 point:てやまない complexity:standard frequency:top10k source:shin-kanzen
その姿は人間国宝級である。	そのすがたはにんげんこくほうきゅうである。	He is a national treasure-caliber figure.	国宝級	国宝級	national treasure level	priceless	status	[sound:890c38e59db3.mp3]	module:05-n1 jlpt:n1 point:てやまない complexity:standard frequency:top10k source:shin-kanzen
彼の言葉は心に深く刻まれた。	かれのことばはこころにふかくきざまれた。	His words were deeply imprinted on my heart.	心に刻まれる	心に刻まれる	deeply moving	unforgettable	speech	[sound:8dc2d2486fc2.mp3]	module:05-n1 jlpt:n1 point:てやまない complexity:standard frequency:top5k source:shin-kanzen
