#separator:tab
#html:true
#columns:JP	OptionA	OptionB	Answer	Why	Tip	Audio	Tags
#notetype:Contrast
#deck:Japanese Grammar::07 - Casual::Contrast
#
毎日___ている。	〜てる	〜ている	〜ている	〜てる is the casual contracted form.	Common in natural spoken Japanese.	[sound:39ee2e1d87dd.mp3]	module:07-casual point:casual complexity:intro confusable-with:てる frequency:top1k
今、メール___。	送ってる	送っている	送ってる	〜てる is the natural casual form in conversation.	Shorter and more conversational.	[sound:c52bb8fe897a.mp3]	module:07-casual point:casual complexity:intro confusable-with:送っている frequency:top1k
勉強___。	しなきゃ	しなければ	しなきゃ	〜なきゃ is casual; 〜なければ is formal.	Casual speech strongly prefers the contraction.	[sound:8e26c7ca1c7f.mp3]	module:07-casual point:casual complexity:intro confusable-with:しなければ frequency:top1k
終わら___。	なくちゃ	なくては	なくちゃ	Both express obligation; 〜なくちゃ is more casual.	Natural in everyday conversation.	[sound:5c287c25c261.mp3]	module:07-casual point:casual complexity:intro confusable-with:なくては
来るだろ？	だろ	でしょ	だろ	〜だろ is masculine/casual; 〜でしょ is polite.	Rougher tone with men; soft with women.	[sound:b91c6972ddca.mp3]	module:07-casual point:casual complexity:intro confusable-with:でしょ frequency:top1k
来るでしょ？	でしょ	だろ	でしょ	〜でしょ is polite/inclusive; 〜だろ is rough.	Includes the listener in speculation.	[sound:ec61de50cf14.mp3]	module:07-casual point:casual complexity:intro confusable-with:だろ frequency:top1k
それ、違う___。	じゃん	じゃない	じゃん	〜じゃん is casual contradiction.	Informal way to challenge statements.	[sound:bc347dacc4b9.mp3]	module:07-casual point:casual complexity:intro confusable-with:じゃない frequency:top1k
違いますか？	じゃない	じゃん	じゃない	Formal negation form.	Standard negation form.	[sound:e54c53abb20a.mp3]	module:07-casual point:casual complexity:intro confusable-with:じゃん frequency:top10k
来たん___。	だ	です	だ	〜んだ is casual explanation.	Natural in conversation.	[sound:06ce9562c268.mp3]	module:07-casual point:casual complexity:intro confusable-with:です frequency:top10k
来た___。	のだ	んだ	んだ	〜んだ is casual; 〜のだ is more emphatic.	Contracted form is more natural.	[sound:06ce9562c268.mp3]	module:07-casual point:casual complexity:intro confusable-with:のだ frequency:top10k
