#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar (Strict)::02 - N4 Grammar::Recognition

先生がいらっしゃる	せんせいがいらっしゃる	The teacher is present (honorific).	お/ご-V-になる	お/ご + V-stem + になる (honorific presence)	respect form			[sound:84347a4c5950.mp3]	module:02-n4 jlpt:n4 point:ございます complexity:intro frequency:top1k source:shin-kanzen
社長がお越しになった	しゃちょうがおこしになった	The president came (honorific).	お-来る-になる	お + 来る → お越しになる (honorific arrival)	respect form			[sound:9655325c8530.mp3]	module:02-n4 jlpt:n4 point:ございます complexity:intro frequency:top5k source:shin-kanzen
先生がご説明になる	せんせいがごせつめいになる	The teacher explains (honorific).	ご-説明-になる	ご + V-stem + になる (honorific explanation)	respect form			[sound:880454acea40.mp3]	module:02-n4 jlpt:n4 point:ございます complexity:intro frequency:top5k source:shin-kanzen
父がお読みになっている	ちちがおよみになっている	Father is reading (honorific).	お-読む-になる	お + V-stem + になる (honorific reading)	respect form			[sound:51f6430c3cdc.mp3]	module:02-n4 jlpt:n4 point:ございます complexity:intro frequency:top10k source:shin-kanzen
課長がご出席になりました	かちょうがごしゅっせきになりました	The section chief attended (honorific).	ご-出席-になる	ご + N + になる (honorific attendance)	respect form			[sound:362be865db30.mp3]	module:02-n4 jlpt:n4 point:ございます complexity:standard frequency:top5k source:shin-kanzen
お医者さんがお作りになったお薬	おいしゃさんがおつくりになったおくすり	Medicine made by the doctor (honorific).	お-作る-になる	お + V-stem + になる (honorific creation)	respect form			[sound:5948138d481f.mp3]	module:02-n4 jlpt:n4 point:ございます complexity:standard frequency:low source:shin-kanzen
これはお預けします	これはおあずけします	I will keep this for you (humble).	お-預ける-する	お + V-stem + する (humble safekeeping)	humble form			[sound:2b40de123915.mp3]	module:02-n4 jlpt:n4 point:ございます complexity:intro source:shin-kanzen
お忙しいところお越しいただき	おいそがしいところおこしいただき	Thank you for coming despite your busy schedule.	お-忙しい-いただく	お + い-adj + ところ + いただく	gratitude			[sound:a85770972a59.mp3]	module:02-n4 jlpt:n4 point:ございます complexity:standard frequency:top1k source:shin-kanzen
お持ちします	おもちします	I will carry it (humble).	お-持つ-する	お + V-stem + する (humble assistance)	humble form			[sound:df99adf14da2.mp3]	module:02-n4 jlpt:n4 point:ございます complexity:intro source:shin-kanzen
お時間をいただけますでしょうか	おじかんをいただけますでしょうか	Could I take some of your time? (humble request).	-いただけますか	お + N + いただけますか (humble time request)	polite question			[sound:d7f3a4c64925.mp3]	module:02-n4 jlpt:n4 point:ございます complexity:standard frequency:top1k source:shin-kanzen
このような機会をいただきありがとうございます。	このようなきかいをいただきありがとうございます	Thank you for this opportunity (humble gratitude).	-いただく	humble gratitude / opportunity	appreciation			[sound:3b71cd4d9816.mp3]	module:02-n4 jlpt:n4 point:ございます complexity:standard frequency:top5k source:shin-kanzen
私はリーダーでございます	わたしはリーダーでございます	I am the leader (formal/polite).	でございます	formal politeness / identification	formal statement			[sound:5b09d264f2d4.mp3]	module:02-n4 jlpt:n4 point:ございます complexity:standard frequency:top1k source:shin-kanzen
こちらでございます	こちらでございます	It is this way (formal/polite).	でございます	formal politeness / direction	formal politeness			[sound:e0471574b02c.mp3]	module:02-n4 jlpt:n4 point:ございます complexity:intro source:shin-kanzen
本日はお越しいただきありがとうございます。	ほんじつはおこしいただきありがとうございます	Thank you for coming today (formal).	ございます	ありがとうございます (formal gratitude expression)	formal thanks			[sound:fed8332b9ebf.mp3]	module:02-n4 jlpt:n4 point:ございます complexity:standard frequency:top5k source:shin-kanzen
恐れ入りますがご協力ください	おそれいりますがごきょうりょくください	I'm sorry to trouble you, but please cooperate (formal).	ございます	ございます + ように (formal polite request)	polite request			[sound:18e3ed17e7aa.mp3]	module:02-n4 jlpt:n4 point:ございます complexity:standard frequency:low source:shin-kanzen
