#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::05 - N1 Grammar::Recognition
そんなことはしまい。	そんなことはしまい。	まい: Negative volitional	まい	Negative volitional	Will not; refuses to	Won't do that	意思的否定。	[sound:3b49a7fb7572.mp3]	module:05-n1 jlpt:n1 point:negation-stiff
彼はもう来まい。	かれはもうきまい。	まい: Negative volitional	まい	Negative volitional	Will not; refuses to	Won't come again	推測的否定。	[sound:9f0c1f8e659e.mp3]	module:05-n1 jlpt:n1 point:negation-stiff
失敗するまいと努力した。	しっぱいするまいとどりょくした。	まい: Negative volitional	まい	Negative volitional	Will not; refuses to	Tried not to fail	否定意志。	[sound:5778d7f233d6.mp3]	module:05-n1 jlpt:n1 point:negation-stiff
そんなはずはあるまい。	そんなはずはあるまい。	まい: Negative volitional	まい	Negative volitional	Will not; refuses to	Can't possibly be	可能性否定。	[sound:6cc6f441e685.mp3]	module:05-n1 jlpt:n1 point:negation-stiff
行かないわけにはいくまい。	いかないわけにはいくまい。	まい: Negative volitional	まい	Negative volitional	Will not; refuses to	Can't avoid going	否定不可能。	[sound:0b68281c6342.mp3]	module:05-n1 jlpt:n1 point:negation-stiff
二度とそんなことはするまい。	にどとそんなことはするまい。	まい: Negative volitional	まい	Negative volitional	Will not; refuses to	Never do that again	反復否定。	[sound:0fc60c8fd846.mp3]	module:05-n1 jlpt:n1 point:negation-stiff
彼は黙っていようまい。	かれはだまっていようまい。	まい: Negative volitional	まい	Negative volitional	Will not; refuses to	He won't stay silent	沈黙否定。	[sound:1dce64172032.mp3]	module:05-n1 jlpt:n1 point:negation-stiff
本当にそうではあるまいか。	ほんとうにそうではあるまいか。	まいか: Questioning negation	まいか	Questioning negation	Isn't it the case that	Isn't it true	反問形。	[sound:a8a41b7c01a6.mp3]	module:05-n1 jlpt:n1 point:negation-stiff
彼もそう思うまいか。	かれもそうおもうまいか。	まいか: Questioning negation	まいか	Questioning negation	Isn't it the case that	Doesn't he think same	同意確認。	[sound:a7fedbd8ba22.mp3]	module:05-n1 jlpt:n1 point:negation-stiff
言うまじき言葉を話した。	いうまじきことばをはなした。	まじき: Forbidden/unthinkable	まじき	Forbidden/unthinkable	Must not; unthinkable	Spoke forbidden words	禁止的表現。	[sound:945f2d6ba061.mp3]	module:05-n1 jlpt:n1 point:negation-stiff
やるまじき行為。	やるまじきこうい。	まじき: Forbidden/unthinkable	まじき	Forbidden/unthinkable	Must not; unthinkable	Act that must not be done	倫理的禁止。	[sound:accc619695c5.mp3]	module:05-n1 jlpt:n1 point:negation-stiff
これをしなくてはならぬ。	これをしなくてはならぬ。	ぬ: Must classical	ぬ	Must classical	Classical must-form	Must do this	古典的義務。	[sound:0f9e75e1ca62.mp3]	module:05-n1 jlpt:n1 point:negation-stiff
行かねばならぬ。	いかねばならぬ。	ぬ: Must classical	ぬ	Must classical	Classical must-form	Must go	強制的義務。	[sound:e04a21277eef.mp3]	module:05-n1 jlpt:n1 point:negation-stiff
言うべき言葉もないぬ。	いうべきことばもないぬ。	ぬ: Have not	ぬ	Have not	Classical negation	Have no words	無言状態。	[sound:5b9ae43f243c.mp3]	module:05-n1 jlpt:n1 point:negation-stiff
それが本当でなくてなんだろう。	それがほんとうでなくてなんだろう。	でなくてなんだろう: What else	でなくてなんだろう	What else	Emphasizes only option	What else could it be	唯一の選択肢。	[sound:1c765dcd42ad.mp3]	module:05-n1 jlpt:n1 point:negation-stiff
これが答えでなくてなんだろうか。	これがこたえでなくてなんだろうか。	でなくてなんだろう: What else	でなくてなんだろう	What else	Emphasizes only option	What else as answer	必然的答え。	[sound:4ff73b21e53f.mp3]	module:05-n1 jlpt:n1 point:negation-stiff
逃げようがあるまい。	にげようがあるまい。	ようがあるまい: No way to	ようがあるまい	No way to	No way to; impossible	No way to escape	不可能性。	[sound:a98adf87f406.mp3]	module:05-n1 jlpt:n1 point:negation-stiff
対抗のしようがあるまい。	たいこうのしようがあるまい。	ようがあるまい: No way to	ようがあるまい	No way to	No way to; impossible	No way to resist	抵抗不可能。	[sound:9a93297f415d.mp3]	module:05-n1 jlpt:n1 point:negation-stiff
否定しようがあるまい。	ひていしようがあるまい。	ようがあるまい: No way to	ようがあるまい	No way to	No way to; impossible	Can't deny it	否定不能。	[sound:7c1dd05357bd.mp3]	module:05-n1 jlpt:n1 point:negation-stiff
返すべき言葉もない。	かえすべきことばもない。	ぬ: Must classical	ぬ	Must classical	Classical must-form	No words to return	返答不能。	[sound:ecca2eae26a1.mp3]	module:05-n1 jlpt:n1 point:negation-stiff
知らぬが仏。	しらぬがほとけ。	ぬ: Have not	ぬ	Have not	Classical negation	Blessed be ignorance	無知の幸福。	[sound:1a86c28e8cb2.mp3]	module:05-n1 jlpt:n1 point:negation-stiff
彼を信じるまじき理由がある。	かれをしんじるまじきりゆうがある。	まじき: Forbidden/unthinkable	まじき	Forbidden/unthinkable	Must not; unthinkable	Has reason not to trust him	信頼否定。	[sound:ce8fd8d0829c.mp3]	module:05-n1 jlpt:n1 point:negation-stiff
来るはずがあるまい。	くるはずがあるまい。	まい: Negative volitional	まい	Negative volitional	Will not; refuses to	Can't possibly come	来訪不可能。	[sound:de9be4813733.mp3]	module:05-n1 jlpt:n1 point:negation-stiff
それ以外でなくてなんだろう。	それいがいでなくてなんだろう。	でなくてなんだろう: What else	でなくてなんだろう	What else	Emphasizes only option	What else could it be	唯一性強調。	[sound:8d7e0e255b95.mp3]	module:05-n1 jlpt:n1 point:negation-stiff
彼が犯人でなくてなんだろう。	かれがはんにんでなくてなんだろう。	でなくてなんだろう: What else	でなくてなんだろう	What else	Emphasizes only option	Who else could be guilty	犯人特定。	[sound:63a8c649a185.mp3]	module:05-n1 jlpt:n1 point:negation-stiff
彼に勝つようがあるまい。	かれにかつようがあるまい。	ようがあるまい: No way to	ようがあるまい	No way to	No way to; impossible	No way to defeat him	勝利不可能。	[sound:2db41a6c2fae.mp3]	module:05-n1 jlpt:n1 point:negation-stiff
その法律に従うべき。	そのほうりつにしたがうべき。	ぬ: Must classical	ぬ	Must classical	Classical must-form	Must follow that law	法的義務。	[sound:537012d8e0a2.mp3]	module:05-n1 jlpt:n1 point:negation-stiff
忘れるべき人ではない。	わすれるべきにんではない。	ぬ: Must classical	ぬ	Must classical	Classical must-form	Not to be forgotten	記憶的義務。	[sound:42f018b972f8.mp3]	module:05-n1 jlpt:n1 point:negation-stiff
助けなくてはならぬ。	たすけなくてはならぬ。	ぬ: Must classical	ぬ	Must classical	Classical must-form	Must help	支援的義務。	[sound:f07cef8bc6c3.mp3]	module:05-n1 jlpt:n1 point:negation-stiff
彼は断るまい。	かれはことわるまい。	まい: Negative volitional	まい	Negative volitional	Will not; refuses to	He won't refuse	受諾予想。	[sound:651f535a6352.mp3]	module:05-n1 jlpt:n1 point:negation-stiff
そんなことがあるまいか。	そんなことがあるまいか。	まいか: Questioning negation	まいか	Questioning negation	Isn't it the case that	Could that happen	可能性反問。	[sound:ee7d7b06c333.mp3]	module:05-n1 jlpt:n1 point:negation-stiff
彼の申し出を受けまじき理由がある。	かのもうしでをうけまじきりゆうがある。	まじき: Forbidden/unthinkable	まじき	Forbidden/unthinkable	Must not; unthinkable	Reason not to accept offer	受諾否定。	[sound:7dd982a9735c.mp3]	module:05-n1 jlpt:n1 point:negation-stiff
それを認めるようがあるまい。	それをみとめるようがあるまい。	ようがあるまい: No way to	ようがあるまい	No way to	No way to; impossible	Can't acknowledge it	認容不能。	[sound:587c8732e8d2.mp3]	module:05-n1 jlpt:n1 point:negation-stiff
その話は信じるまい。	そのはなしはしんじるまい。	まい: Negative volitional	まい	Negative volitional	Will not; refuses to	Won't believe that story	不信。	[sound:e2c32e2f6bf7.mp3]	module:05-n1 jlpt:n1 point:negation-stiff
何をするでなくてなんだろう。	なにをするでなくてなんだろう。	でなくてなんだろう: What else	でなくてなんだろう	What else	Emphasizes only option	What else to do	選択肢単一。	[sound:2cf1d3fd9025.mp3]	module:05-n1 jlpt:n1 point:negation-stiff
