#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#deck:Japanese Grammar::02 - N4 Grammar::Production
#
When spring comes, cherry blossoms bloom.	春になると、桜が咲きます。	はるになると、さくらがさきます。	春になると、桜が咲きます。	automatic consequence	[sound:e97713fb15d6.mp3]	module:02-n4 jlpt:n4 register:neutral point:conditional-to pos:expr frequency:top10k complexity:intro source:shin-kanzen
When you heat water, it boils.	水を熱すると、沸きます。	みずをあつすると、わきます。	水を熱すると、沸きます。	automatic consequence	[sound:c54249ff74b6.mp3]	module:02-n4 jlpt:n4 register:neutral point:conditional-to pos:expr frequency:low complexity:intro source:shin-kanzen
When the sun rises, the world becomes bright.	太陽が昇ると、世界が明るくなります。	たいようがのぼると、せかいがあかるくなります。	太陽が昇ると、世界が明るくなります。	automatic consequence	[sound:6b985ab8d5ba.mp3]	module:02-n4 jlpt:n4 register:neutral point:conditional-to pos:expr frequency:top10k complexity:standard source:shin-kanzen
When the temperature drops, snow falls.	気温が下がると、雪が降ります。	きおんがさがると、ゆきがふります。	気温が下がると、雪が降ります。	automatic consequence	[sound:388ea63a7394.mp3]	module:02-n4 jlpt:n4 register:neutral point:conditional-to pos:expr frequency:top10k complexity:standard source:shin-kanzen
When you exercise, your body gets stronger.	運動すると、体が強くなります。	うんどうすると、からだがつよくなります。	運動すると、体が強くなります。	automatic consequence	[sound:b4440817ad5b.mp3]	module:02-n4 jlpt:n4 register:neutral point:conditional-to pos:expr frequency:low complexity:standard source:shin-kanzen
When you study, you improve.	勉強すると、上手になります。	べんきょうすると、じょうずになります。	勉強すると、上手になります。	automatic consequence	[sound:c84ef75d08bd.mp3]	module:02-n4 jlpt:n4 register:neutral point:conditional-to pos:expr frequency:top1k complexity:standard source:shin-kanzen
When you eat too much, you gain weight.	食べ過ぎると、太ります。	たべすぎると、ふとります。	食べ過ぎると、太ります。	automatic consequence	[sound:2bac407fccf5.mp3]	module:02-n4 jlpt:n4 register:neutral point:conditional-to pos:expr frequency:top5k complexity:intro source:shin-kanzen
When you sleep, fatigue goes away.	寝ると、疲れが取れます。	ねると、つかれがとれます。	寝ると、疲れが取れます。	automatic consequence	[sound:76fd0c92142f.mp3]	module:02-n4 jlpt:n4 register:neutral point:conditional-to pos:expr frequency:top10k complexity:intro source:shin-kanzen
When time passes, things change.	時間が経つと、物が変わります。	じかんがたつと、ものがかわります。	時間が経つと、物が変わります。	automatic consequence	[sound:6242619cd2d0.mp3]	module:02-n4 jlpt:n4 register:neutral point:conditional-to pos:expr frequency:top10k complexity:standard source:shin-kanzen
When you turn the knob, the door opens.	ノブを回すと、ドアが開きます。	のぶをまわすと、どあがひらきます。	ノブを回すと、ドアが開きます。	automatic consequence	[sound:cf93dd17ed8c.mp3]	module:02-n4 jlpt:n4 register:neutral point:conditional-to pos:expr frequency:top1k complexity:standard source:shin-kanzen
