#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#deck:Japanese Grammar::05 - N1 Grammar::Production

If it rains, the event will be postponed.	V-plain + としたら	もしあめだとしたら、いべんとはえんきされる。	もし雨だとしたら、イベントは延期される。	Hypothetical 'supposing/if' — formal speculation about consequences	[sound:c52d5c0745af.mp3]	module:05-n1 jlpt:n1 point:であれ complexity:standard frequency:top10k source:shin-kanzen sense:conditional-alternatives
What if he comes?	V-plain + としたら	かれがきたとしたら、どうしよう。	彼が来たとしたら、どうしよう。	Hypothetical 'supposing/if' — formal speculation about consequences	[sound:c5f6fb374381.mp3]	module:05-n1 jlpt:n1 point:であれ complexity:standard frequency:top10k source:shin-kanzen sense:conditional-alternatives
If prices go up, when might it be?	V-plain + としたら	ねだんがあがるとしたら、いつだろう。	値段が上がるとしたら、いつだろう。	Hypothetical 'supposing/if' — formal speculation about consequences	[sound:b6240aae752b.mp3]	module:05-n1 jlpt:n1 point:であれ complexity:standard frequency:top5k source:shin-kanzen sense:conditional-alternatives
If that's true, it's serious.	V-plain + としたら	そのはなしがほんとうだとしたら、たいへんだ。	その話が本当だとしたら、大変だ。	Hypothetical 'supposing/if' — formal speculation about consequences	[sound:0ded5c59e310.mp3]	module:05-n1 jlpt:n1 point:であれ complexity:standard frequency:top1k source:shin-kanzen sense:conditional-alternatives
If he didn't come, it's unfortunate.	V-plain + としたら	かれがこなかったとしたら、ざんねんだ。	彼が来なかったとしたら、残念だ。	Hypothetical 'supposing/if' — formal speculation about consequences	[sound:687b1bf6409f.mp3]	module:05-n1 jlpt:n1 point:であれ complexity:standard frequency:top10k source:shin-kanzen sense:conditional-alternatives
Supposing he comes, he'll probably be late.	V-plain/N + とすると / とすれば	かれがくるとすると、ちこくするだろう。	彼が来るとすると、遅刻するだろう。	Formal assumption — 'suppose it be/were' — for logical inference	[sound:3924d5975c67.mp3]	module:05-n1 jlpt:n1 point:であれ complexity:standard frequency:top10k source:shin-kanzen sense:conditional-alternatives
Even if salary increases, life becomes easier.	V-plain/N + とすると / とすれば	いくらきゅうりょうがふえるとすると、せいかつはらくになる。	いくら給料が増えるとすると、生活は楽になる。	Formal assumption — 'suppose it be/were' — for logical inference	[sound:8f9817ecde1d.mp3]	module:05-n1 jlpt:n1 point:であれ complexity:standard frequency:top10k source:shin-kanzen sense:conditional-alternatives
If that plan succeeds, big changes occur.	V-plain/N + とすると / とすれば	そのけいかくがせいこうするとすると、おおきなへんかがおきる。	その計画が成功するとすると、大きな変化が起きる。	Formal assumption — 'suppose it be/were' — for logical inference	[sound:49da5a6f6158.mp3]	module:05-n1 jlpt:n1 point:であれ complexity:standard frequency:top10k source:shin-kanzen sense:conditional-alternatives
If it rains tomorrow, what will you do?	V-plain/N + とすると / とすれば	もしあしたあめだとすると、どうしますか。	もし明日雨だとすると、どうしますか。	Formal assumption — 'suppose it be/were' — for logical inference	[sound:509094ed0c3b.mp3]	module:05-n1 jlpt:n1 point:であれ complexity:standard frequency:top1k source:shin-kanzen sense:conditional-alternatives
If he said that, we should believe.	V-plain/N + とすると / とすれば	かれがそういったとすれば、しんじるべきだ。	彼がそう言ったとすれば、信じるべきだ。	Formal assumption — 'suppose it be/were' — for logical inference	[sound:7b34d7a83c23.mp3]	module:05-n1 jlpt:n1 point:であれ complexity:standard frequency:top10k source:shin-kanzen sense:conditional-alternatives
