#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#deck:Japanese Grammar::09 - Sfp Aizuchi::Production
#
Yeah.	うん	うん	うん	basic agreement marker	[sound:22f503aaf294.mp3]	pos:aizuchi register:casual module:09-sfp-aizuchi point:aizuchi-back-channels complexity:intro source:dictionary-of-jp-grammar
Uh-huh, uh-huh.	うん(repeated)	うんうん	うんうん	emphasizes agreement	[sound:065b6aca6216.mp3]	pos:aizuchi register:casual module:09-sfp-aizuchi point:aizuchi-back-channels complexity:intro source:dictionary-of-jp-grammar
Huh? Yeah.	うん(with surprise)	えっ、うん	えっ、うん	acknowledges new info	[sound:c57fc98f9549.mp3]	pos:aizuchi register:casual module:09-sfp-aizuchi point:aizuchi-back-channels complexity:intro source:dictionary-of-jp-grammar
I see.	そう	そう	そう	neutral understanding marker	[sound:dc3739e31237.mp3]	pos:aizuchi register:casual module:09-sfp-aizuchi point:aizuchi-back-channels complexity:intro source:dictionary-of-jp-grammar
Is that so?	そう+か	そうか	そうか	seeking verification	[sound:7a78884e192f.mp3]	pos:aizuchi register:casual module:09-sfp-aizuchi point:aizuchi-back-channels complexity:intro source:dictionary-of-jp-grammar
Is that so? (polite).	そう+です+か	そうですか	そうですか	formal confirmation	[sound:e523d88822b8.mp3]	pos:aizuchi register:polite module:09-sfp-aizuchi point:aizuchi-back-channels complexity:intro source:dictionary-of-jp-grammar
Oh! (with emphasis).	へえー	へえー	へえー	expresses surprise/interest	[sound:3e1b9b439996.mp3]	pos:aizuchi register:casual module:09-sfp-aizuchi point:aizuchi-back-channels complexity:intro source:dictionary-of-jp-grammar
Oh.	へえ	へえ	へえ	light interest marker	[sound:ca903eac7468.mp3]	pos:aizuchi register:casual module:09-sfp-aizuchi point:aizuchi-back-channels complexity:intro source:dictionary-of-jp-grammar
I see! (enlightenment).	なるほど	なるほど	なるほど	indicates realization	[sound:7491436c17a5.mp3]	pos:aizuchi register:casual module:09-sfp-aizuchi point:aizuchi-back-channels complexity:intro source:dictionary-of-jp-grammar
I see, right.	なるほど+ね	なるほどね	なるほどね	combines understanding + agreement	[sound:70a4f1c35642.mp3]	pos:aizuchi register:casual module:09-sfp-aizuchi point:aizuchi-back-channels complexity:intro source:dictionary-of-jp-grammar
That's true.	たしかに	たしかに	たしかに	concurs with fact	[sound:d6478458ca9d.mp3]	pos:aizuchi register:casual module:09-sfp-aizuchi point:aizuchi-back-channels complexity:intro source:dictionary-of-jp-grammar
Really?	本当に	ほんとうに	本当に	questions truth/emphasis	[sound:b8a462411bfe.mp3]	pos:aizuchi register:casual module:09-sfp-aizuchi point:aizuchi-back-channels complexity:intro frequency:top1k source:dictionary-of-jp-grammar
Ah, yes.	ああ	ああ	ああ	marks understanding moment	[sound:43d5711688b8.mp3]	pos:aizuchi register:casual module:09-sfp-aizuchi point:aizuchi-back-channels complexity:intro source:dictionary-of-jp-grammar
Ahhh. (drawn).	あぁ	あぁ	あぁ	extended realization	[sound:4cc3e240a376.mp3]	pos:aizuchi register:casual module:09-sfp-aizuchi point:aizuchi-back-channels complexity:intro source:dictionary-of-jp-grammar
Hmm, hmm. (nodding).	ふむ(repeated)	ふむふむ	ふむふむ	shows ongoing comprehension	[sound:c059d2fead5e.mp3]	pos:aizuchi register:casual module:09-sfp-aizuchi point:aizuchi-back-channels complexity:intro source:dictionary-of-jp-grammar
Hmm.	ふむ	ふむ	ふむ	indicates contemplation	[sound:95c765cab83a.mp3]	pos:aizuchi register:casual module:09-sfp-aizuchi point:aizuchi-back-channels complexity:intro source:dictionary-of-jp-grammar
As expected.	さすが	さすが	さすが	praises expected quality	[sound:69827e21f346.mp3]	pos:aizuchi register:casual module:09-sfp-aizuchi point:aizuchi-back-channels complexity:intro source:dictionary-of-jp-grammar
As expected. (polite+agreement).	さすが+です+ね	さすがですね	さすがですね	formal admiration	[sound:41ee88a9d045.mp3]	pos:aizuchi register:polite module:09-sfp-aizuchi point:aizuchi-back-channels complexity:intro source:dictionary-of-jp-grammar
Right on! (emphatic regional).	ぶちゃん	ぶちゃん	ぶちゃん	emphatic regional agreement	[sound:1cb672f8fd67.mp3]	pos:aizuchi register:casual module:09-sfp-aizuchi point:aizuchi-back-channels complexity:intro source:dictionary-of-jp-grammar
Indeed. (emphatic).	ささと	ささと	ささと	strong concurrence	[sound:fa5043d94689.mp3]	pos:aizuchi register:casual module:09-sfp-aizuchi point:aizuchi-back-channels complexity:intro source:dictionary-of-jp-grammar
So then.	そう+したら	そうしたら	そうしたら	marks consequence/transition	[sound:6a299c28f804.mp3]	pos:aizuchi register:casual module:09-sfp-aizuchi point:aizuchi-back-channels complexity:intro source:dictionary-of-jp-grammar
That means.	という+こと	ということ	ということ	rephrases understanding	[sound:4efbe04128da.mp3]	pos:aizuchi register:casual module:09-sfp-aizuchi point:aizuchi-back-channels complexity:standard source:dictionary-of-jp-grammar
After all, sure enough.	やっぱり	やっぱり	やっぱり	validates prior expectation	[sound:3ed5ff56d10e.mp3]	pos:aizuchi register:casual module:09-sfp-aizuchi point:aizuchi-back-channels complexity:intro source:dictionary-of-jp-grammar
I knew it. (with agreement).	やっぱり+ね	やっぱりね	やっぱりね	emphasizes expected agreement	[sound:c9dafdc65525.mp3]	pos:aizuchi register:casual module:09-sfp-aizuchi point:aizuchi-back-channels complexity:intro source:dictionary-of-jp-grammar
Really? (rising doubt).	本当に+question intonation	ほんとうに?	本当に?	challenges claim	[sound:2b75ddbc7b26.mp3]	pos:aizuchi register:casual module:09-sfp-aizuchi point:aizuchi-back-channels complexity:intro frequency:top1k source:dictionary-of-jp-grammar
No, no, no.	いやいや	いやいや	いやいや	emphatic negation	[sound:c15e53223798.mp3]	pos:aizuchi register:casual module:09-sfp-aizuchi point:aizuchi-back-channels complexity:intro source:dictionary-of-jp-grammar
No.	いや	いや	いや	simple negation	[sound:c9177450298c.mp3]	pos:aizuchi register:casual module:09-sfp-aizuchi point:aizuchi-back-channels complexity:intro source:dictionary-of-jp-grammar
