#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar (Strict)::05 - N1 Grammar::Recognition

社長の判断は妥当なものとするべきだ。	しゃちょうのはんだんはだとうなものとするべきだ。	The company president's judgment should be treated as appropriate.	〜ものとする	formal decision	Rule/formal setup	regulations	assumption	[sound:68291bbfb717.mp3]	module:05-n1 jlpt:n1 point:べくもない complexity:standard frequency:low source:shin-kanzen
研究結果によって、この仮説が正しいものと思われる。	けんきゅうけっかによって、このかせつがただしいものとおもわれる。	Based on research results, this hypothesis appears to be correct.	〜ものと思われる	formal report	Report findings	academic	inference	[sound:14c74a2dbdc9.mp3]	module:05-n1 jlpt:n1 point:べくもない complexity:standard frequency:top10k source:shin-kanzen
データから判断すると、売上が低下しているものと考えられる。	データからはんだんすると、うりあげがていかしているものとかんがえられる。	From the data, it is thought that sales are declining.	〜ものと考えられる	formal analysis	Data analysis	business	inference	[sound:3919d9913dbb.mp3]	module:05-n1 jlpt:n1 point:べくもない complexity:advanced frequency:low source:shin-kanzen
法律では、すべての国民が平等であることになっている。	ほうりつでは、すべてのこくみんがびょうどうであることになっている。	By law, all citizens are equal.	〜ことになっている	regulation	Legal rule	law	regulation	[sound:e2c4dbaccd0d.mp3]	module:05-n1 jlpt:n1 point:べくもない complexity:standard frequency:top10k source:shin-kanzen
このルールは昨年から実施されることになっている。	このルールはさくねんからじっしされることになっている。	This rule is to be implemented from last year.	〜ことになっている	scheduled action	Planned action	implementation	regulation	[sound:55ff1a90d6ca.mp3]	module:05-n1 jlpt:n1 point:べくもない complexity:standard frequency:top10k source:shin-kanzen
この会議は毎月第一金曜日に開くことになっている。	このかいぎはまいつきだいいちきんようびにひらくことになっている。	This meeting is held on the first Friday of every month.	〜ことになっている	recurring event	Schedule	meetings	regulation	[sound:4f80a3626575.mp3]	module:05-n1 jlpt:n1 point:べくもない complexity:standard frequency:top5k source:shin-kanzen
無駄な努力は必要ないまで(のこと)だ。	むだなどりょくはひつようないまで(のこと)だ。	Wasted effort is not even necessary.	〜までのこと	negation	Not even necessary	rejection	negation	[sound:eb41ea36887f.mp3]	module:05-n1 jlpt:n1 point:べくもない complexity:standard frequency:top10k source:shin-kanzen
そこまで気にすることはないまではない。	そこまできにすることはないまではない。	It's not that we don't need to worry that much.	〜まではない	partial negation	Not necessarily	qualification	negation	[sound:de52c9e74c41.mp3]	module:05-n1 jlpt:n1 point:べくもない complexity:standard frequency:top5k source:shin-kanzen
彼の貢献はその程度に過ぎない。	かれのこうけんはそのていどにすぎない。	His contribution is merely at that level (even just/even a little — extent).	〜にすぎない	mere	Only/merely	understatement	minimization	[sound:edce6deb1dae.mp3]	module:05-n1 jlpt:n1 point:べくもない complexity:standard frequency:top10k source:shin-kanzen
単なる推測には及ばない。	たんなるすいそくにはおよばない。	It doesn't reach the level of mere speculation.	〜には及ばない	negation level	Does not reach	qualification	negation	[sound:789e8028b0dd.mp3]	module:05-n1 jlpt:n1 point:べくもない complexity:intro frequency:low source:shin-kanzen
