#separator:tab
#html:true
#columns:JP	OptionA	OptionB	Answer	Why	Tip	Audio	Tags
#notetype:Contrast
#deck:Japanese Grammar::04 - N2 Grammar::Contrast
#
日本___アメリカが協力する。	および	ならびに	および	および = standard formal listing; ならびに = very formal/legal	および slightly more common in documents	[sound:2052394fe22b.mp3]	module:04-n2 jlpt:n2 point:formal-conjunction
男性___女性が対象である。	および	ならびに	および	Both acceptable; および more common in general writing	No strong distinction in meaning	[sound:48d1d523093d.mp3]	module:04-n2 jlpt:n2 point:formal-conjunction
技術___知識が必要。	および	ならびに	および	Both formal; および in general business	ならびに more literary	[sound:2fb3d32bb170.mp3]	module:04-n2 jlpt:n2 point:formal-conjunction
政治___経済の改革。	並びに	および	並びに	並びに (kanji form) = very formal; および = standard	並びに emphasizes equal importance	[sound:1d70c061865f.mp3]	module:04-n2 jlpt:n2 point:formal-conjunction
科学___芸術の発展。	並びに	および	並びに	並びに = dignified listing; および = standard	並びに for cultural/academic contexts	[sound:ae27eaeae8de.mp3]	module:04-n2 jlpt:n2 point:formal-conjunction
賛成___反対の意見。	または	あるいは	または	または = standard alternation; あるいは = more thoughtful	または more common in documents	[sound:06fef9974774.mp3]	module:04-n2 jlpt:n2 point:formal-conjunction
英語___中国語。	または	もしくは	または	または = standard; もしくは = formal/legal	または everyday choice	[sound:bf16ca09ab34.mp3]	module:04-n2 jlpt:n2 point:formal-conjunction
月曜日___火曜日。	または	あるいは	または	または = standard choice; あるいは = speculative	または for factual options	[sound:03c26de7677a.mp3]	module:04-n2 jlpt:n2 point:formal-conjunction
在宅勤務___オフィス勤務。	または	もしくは	または	または = general choice; もしくは = legal/formal	または neutral, もしくは formal	[sound:4b09e701fff2.mp3]	module:04-n2 jlpt:n2 point:formal-conjunction
あるいは___別の方法。	別として	除いて	別として	あるいは means or/perhaps; 別として = besides	Two different constructions	[sound:0bdb94dbf2c0.mp3]	module:04-n2 jlpt:n2 point:formal-conjunction
あるいは___知っているかも。	彼が	彼が本当に	彼が	Simple alternative = あるいは + subject; 本当に adds emphasis	Plain form for alternatives	[sound:cec2b5db93bf.mp3]	module:04-n2 jlpt:n2 point:formal-conjunction
さらに___重要な点。	重要な	もっと重要な	重要な	さらに = moreover; doesn't intensify the adjective itself	さらに = addition/progression	[sound:0e45c58c58f7.mp3]	module:04-n2 jlpt:n2 point:formal-conjunction
しかも___医者だ。	彼は	彼まで	彼は	しかも + subject = moreover; まで = even	Different emphases	[sound:9fd1f76043dc.mp3]	module:04-n2 jlpt:n2 point:formal-conjunction
加えて___支援も。	財政的	経済的	財政的	Both work but context matters; 財政的 = financial	Choose based on meaning needed	[sound:b69334ca5eb3.mp3]	module:04-n2 jlpt:n2 point:formal-conjunction
それゆえに___失敗した。	結果は	結果として	結果は	Consequence marker; both acceptable with different emphasis	として adds more formality	[sound:f5c3eb6a6cdb.mp3]	module:04-n2 jlpt:n2 point:formal-conjunction
したがって___必要である。	対策が	対応が	対策が	Depends on context - both form valid consequences	Choose by logical flow	[sound:e957e6e80b72.mp3]	module:04-n2 jlpt:n2 point:formal-conjunction
ゆえに___行動する。	我々は	私たちは	我々は	ゆえに is formal, so 我々 (formal pronoun) fits better	Formal register coordination	[sound:9d36cd28b855.mp3]	module:04-n2 jlpt:n2 point:formal-conjunction
その証拠に___が高い。	出席率	参加率	出席率	Both work; 出席率 = attendance rate (common)	出席率 more standard evidence	[sound:a2acff5d2144.mp3]	module:04-n2 jlpt:n2 point:formal-conjunction
つまり___ということだ。	予算が足りない	予算不足	予算が足りない	つまり needs full clause for explanation	Clause form needed after つまり	[sound:b5ee05674d1f.mp3]	module:04-n2 jlpt:n2 point:formal-conjunction
言い換えると___が必要。	早急な対応	急速な対応	早急な対応	Both work; 早急 more formal/emphasizes speed	早急 stronger urgency	[sound:88da602312c2.mp3]	module:04-n2 jlpt:n2 point:formal-conjunction
最後に___が最優先。	安全性	安心	安全性	最後に signals conclusion; 安全性 (safety) more formal	安全性 fits conclusion context	[sound:074093d90587.mp3]	module:04-n2 jlpt:n2 point:formal-conjunction
一方、他の___もある。	見方	視点	見方	Both acceptable; 見方 = perspective/viewpoint	見方 more common	[sound:fdcd02e0777f.mp3]	module:04-n2 jlpt:n2 point:formal-conjunction
一方で効率が上がり、一方で___が増える。	負担	手間	負担	Both work; 負担 = burden (formal), 手間 = effort (informal)	負担 matches formal tone	[sound:cb5371d0059e.mp3]	module:04-n2 jlpt:n2 point:formal-conjunction
ただし、___がある。	条件	留意事項	条件	条件 = condition; 留意事項 = note/caution	条件 more direct	[sound:32711717a456.mp3]	module:04-n2 jlpt:n2 point:formal-conjunction
むしろ___である。	反対	その逆	反対	Both work; 反対 = opposition (direct), 逆 = opposite (indirect)	反対 more emphatic	[sound:44fc4bf39ec9.mp3]	module:04-n2 jlpt:n2 point:formal-conjunction
