#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::05 - N1 Grammar::Recognition
#
頑張ったからこそ成功した。	がんばったからこそせいこうした。	Because I worked hard, I succeeded.	からこそ	V-た + からこそ	causation	precisely because	success	[sound:699063377f7f.mp3]	module:05-n1 jlpt:n1 point:n1-extent-degree complexity:standard frequency:top10k source:shin-kanzen
失敗があればこそ成長できる。	しっぱいがあればこそせいちょうできる。	It's through failure that we grow.	ばこそ	noun + ばこそ	lesson learning	only through	growth	[sound:0f06e8e0d422.mp3]	module:05-n1 jlpt:n1 point:n1-extent-degree complexity:standard frequency:top10k source:shin-kanzen
彼は疑問ばかり言っている。	かれはぎもんばかりいっている。	All he does is ask questions.	ばかり	noun + ばかり	exclusive action	nothing but	speech	[sound:0217c37fe5dd.mp3]	module:05-n1 jlpt:n1 point:n1-extent-degree complexity:standard frequency:top10k source:shin-kanzen
時間ばかりが経つ。	じかんばかりがたつ。	Time keeps passing.	ばかり	noun + ばかり	sole progression	only	time	[sound:bd02e9e626b3.mp3]	module:05-n1 jlpt:n1 point:n1-extent-degree complexity:intro frequency:top10k source:shin-kanzen
有名な店だけのことはある。	ゆうめいなみせだけのことはある。	It's as good as the famous restaurant's reputation suggests.	だけのことはある	noun + だけのことはある	worthiness	lives up to	reputation	[sound:ea16156a0664.mp3]	module:05-n1 jlpt:n1 point:n1-extent-degree complexity:standard frequency:top1k source:shin-kanzen
努力しただけのことはある。	どりょくしただけのことはある。	The effort paid off.	だけのことはある	V-た + だけのことはある	reward	worth the effort	achievement	[sound:d59ba8ecbb33.mp3]	module:05-n1 jlpt:n1 point:n1-extent-degree complexity:standard frequency:top10k source:shin-kanzen
プロだけあって上手だ。	ぷろだけあってじょうずだ。	Being a pro, he's skilled.	だけあって	noun + だけあって	expected result	naturally	expertise	[sound:e721d664df8d.mp3]	module:05-n1 jlpt:n1 point:n1-extent-degree complexity:intro frequency:top10k source:shin-kanzen
毎日練習しているだけに成功した。	まいにちれんしゅうしているだけにせいこうした。	Precisely because he practices daily, he succeeded.	だけに	V-ing + だけに	deliberate cause	for that reason	diligence	[sound:62c6cc27b126.mp3]	module:05-n1 jlpt:n1 point:n1-extent-degree complexity:standard frequency:top10k source:shin-kanzen
そこまでのことではない。	そこまでのことではない。	It's not that serious.	ほどの...ではない	degree + ほどの...ではない	understatement	not that	minimization	[sound:768c9ef5c5c4.mp3]	module:05-n1 jlpt:n1 point:n1-extent-degree complexity:intro source:shin-kanzen
想像ほどの驚きではなかった。	そうぞうほどのおどろきではなかった。	It wasn't as surprising as I imagined.	ほどの...ではない	noun + ほどの...ではない	comparison	not as	expectation	[sound:eb238169fbb3.mp3]	module:05-n1 jlpt:n1 point:n1-extent-degree complexity:standard frequency:top10k source:shin-kanzen
そんな値段ではない、倍だ。	そんなねだんではない、ばいだ。	It's not that price; it's double.	どころの...ではない	noun + どころの...ではない	complete contradiction	far from	pricing	[sound:40362f9d5f74.mp3]	module:05-n1 jlpt:n1 point:n1-extent-degree complexity:intro frequency:top5k source:shin-kanzen
そのような可能性がなくはない。	そのようなかのうせいがなくはない。	Such a possibility is not entirely absent.	なくはない	V + なくはない	qualified affirmation	it's not impossible	chance	[sound:87e7a30a2e73.mp3]	module:05-n1 jlpt:n1 point:n1-extent-degree complexity:standard frequency:top10k source:shin-kanzen
悪いとも言えないでもない。	わるいともいえないでもない。	It's not entirely bad.	ないでもない	adj + ないでもない	double negation	not entirely not	judgment	[sound:b12ba1aedb2a.mp3]	module:05-n1 jlpt:n1 point:n1-extent-degree complexity:standard frequency:top1k source:shin-kanzen
十年に一度の不作だ。	じゅうねんにいちどのふさくだ。	It's a poor harvest once in ten years.	に一度	に一度	rarity	once per	agriculture	[sound:4408121fe943.mp3]	module:05-n1 jlpt:n1 point:n1-extent-degree complexity:intro frequency:top10k source:shin-kanzen
彼ほどの才能は滅多にない。	かれほどのさいのうはめったにない。	Talent like his is extremely rare.	ほどの...ない	degree rarity	seldom	talent	comparison	[sound:441d843384fb.mp3]	module:05-n1 jlpt:n1 point:n1-extent-degree complexity:standard frequency:top10k source:shin-kanzen
百年に一度の大雨だった。	ひゃくねんにいちどのおおあめだった。	It was a once-in-a-century downpour.	に一度	に一度	extreme rarity	once per century	weather	[sound:a2200626b99d.mp3]	module:05-n1 jlpt:n1 point:n1-extent-degree complexity:intro frequency:top10k source:shin-kanzen
彼の知識ほど深くない。	かれのちしきほどふかくない。	My knowledge is not as deep as his.	ほど...ない	degree comparison	not as	knowledge	comparison	[sound:c159de2dacf5.mp3]	module:05-n1 jlpt:n1 point:n1-extent-degree complexity:intro frequency:top10k source:shin-kanzen
万が一のことがあれば、報告する。	まんがいちのことがあれば、ほうこくする。	If there's any chance of something, I'll report it.	万が一	万が一	contingency	if by chance	preparedness	[sound:01452b41b51c.mp3]	module:05-n1 jlpt:n1 point:n1-extent-degree complexity:standard frequency:top10k source:shin-kanzen
そんなことはあり得ないほど不可能だ。	そんなことはありえないほどふかのうだ。	It's so impossible it couldn't even happen.	ほど	ほど intensifier	extreme negation	so	impossibility	[sound:cac774537840.mp3]	module:05-n1 jlpt:n1 point:n1-extent-degree complexity:standard frequency:top10k source:shin-kanzen
彼は優雅ですらある。	かれはゆうがですらある。	He's elegant, even more so.	ですら	ですら even	addition	even	grace	[sound:5143db519008.mp3]	module:05-n1 jlpt:n1 point:n1-extent-degree complexity:intro frequency:top10k source:shin-kanzen
その映画は感動するしかない。	そのえいがはかんどうするしかない。	That movie can't help but move you.	しかない	V + しかない	only option	nothing but	emotion	[sound:58458a93263b.mp3]	module:05-n1 jlpt:n1 point:n1-extent-degree complexity:standard frequency:top10k source:shin-kanzen
千載一遇のチャンスを逃した。	せんさいいちぐうのちゃんすをにがした。	I missed a once-in-a-lifetime opportunity.	千載一遇	千載一遇	extreme rarity	once in eternity	opportunity	[sound:3d5fd4bd3f7e.mp3]	module:05-n1 jlpt:n1 point:n1-extent-degree complexity:standard frequency:top10k source:shin-kanzen
彼の優秀さは言うまでもない。	かれのゆうしゅうさはいうまでもない。	It goes without saying he's excellent.	までもない	言うまでもない	obvious	needless to say	excellence	[sound:dfb9d8c0cdb4.mp3]	module:05-n1 jlpt:n1 point:n1-extent-degree complexity:standard frequency:top10k source:shin-kanzen
その美しさは何物にも勝る。	そのうつくしさはなにものにもまさる。	That beauty surpasses everything.	に勝る	に + 勝る	superiority	exceeds	beauty	[sound:6dc984e8e573.mp3]	module:05-n1 jlpt:n1 point:n1-extent-degree complexity:standard frequency:low source:shin-kanzen
