#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::00 - Foundation::Recognition

これはペンです。	これはぺんです。	This is a pen.	です (polite affirmative)	Noun + です	polite copula = (is/are)	polite present	だ = plain; です = polite	[sound:a4ecddd8eb33.mp3]	module:00-foundation jlpt:n5 point:copula frequency:top1k complexity:intro source:curated-jpgram
彼女は学生です。	かのじょはがくせいです。	She is a student.	です (polite affirmative)	Noun + です	polite copula	polite present	です is always polite; だ is plain	[sound:e9db81457807.mp3]	module:00-foundation jlpt:n5 point:copula frequency:top5k complexity:intro source:curated-jpgram
これは本だ。	これはほんだ。	This is a book.	だ (plain affirmative)	Noun + だ	plain copula = (is)	plain present	だ = plain/casual; です = polite	[sound:e6777fbc134c.mp3]	module:00-foundation jlpt:n5 point:copula frequency:top1k complexity:intro source:curated-jpgram
ここは図書館ではありません。	ここはとしょかんではありません。	This is not a library.	ではありません (polite negative)	Noun + ではありません	polite negative copula	polite negative	じゃないです = casual negative; ではありません = formal	[sound:ec943b893f66.mp3]	module:00-foundation jlpt:n5 point:copula frequency:top1k complexity:standard source:curated-jpgram
あれは犬じゃない。	あれはいぬじゃない。	That's not a dog.	じゃない (plain negative)	Noun + じゃない	plain negative copula	casual negative	じゃない = casual; ではない = formal	[sound:3637f7ce38e0.mp3]	module:00-foundation jlpt:n5 point:copula frequency:top1k complexity:intro source:curated-jpgram
昨日は晴れでした。	きのうははれでした。	Yesterday it was sunny.	でした (polite past)	Noun/な-adj + でした	polite past copula	polite past	でした = polite past; だった = plain past	[sound:b4616852f5d2.mp3]	module:00-foundation jlpt:n5 point:copula frequency:top1k complexity:intro source:curated-jpgram
彼女は先生だった。	かのじょはせんせいだった。	She was a teacher.	だった (plain past)	Noun + だった	plain past copula	plain past	だった = plain past; でした = polite past	[sound:46ef9b92e68c.mp3]	module:00-foundation jlpt:n5 point:copula frequency:top5k complexity:intro source:curated-jpgram
それは問題ではありませんでした。	それはもんだいではありませんでした。	That was not a problem.	ではありませんでした (polite past neg)	Noun + ではありませんでした	polite past negative copula	polite past negative	じゃなかった = casual; ではありませんでした = formal	[sound:e87b95ed31bb.mp3]	module:00-foundation jlpt:n5 point:copula frequency:top1k complexity:standard source:curated-jpgram
昨日は休みじゃなかった。	きのうはやすみじゃなかった。	Yesterday wasn't a day off.	じゃなかった (plain past neg)	Noun + じゃなかった	plain past negative copula	casual past negative	じゃなかった = casual; ではなかった = formal	[sound:4c22112b3a80.mp3]	module:00-foundation jlpt:n5 point:copula frequency:top1k complexity:intro source:curated-jpgram
私は外国人で、彼は日本人です。	わたしはがいこくじんで、かれはにほんじんです。	I am a foreigner and he is Japanese.	で (copula て-form)	Noun + で + [clause]	connects two noun predicates	connects clauses	で = copula て-form; から = because (causal)	[sound:d0f2f6f41eb2.mp3]	module:00-foundation jlpt:n5 point:copula frequency:top10k complexity:standard source:curated-jpgram
学生なら、割引があります。	がくせいなら、わりびきがあります。	If you're a student, there is a discount.	なら (conditional)	Noun + なら + [result]	conditional (if it is)	topic-conditional	なら = if/given that (noun); たら = if (event)	[sound:f526772d7ac9.mp3]	module:00-foundation jlpt:n5 point:copula frequency:low complexity:intro source:curated-jpgram
明日は雨でしょう。	あしたはあめでしょう。	It will probably rain tomorrow.	でしょう (polite presumptive)	Noun + でしょう	polite conjecture / soft prediction	polite guess	でしょう = polite guess; だろう = plain guess	[sound:9d65ea722d86.mp3]	module:00-foundation jlpt:n5 point:copula frequency:top1k complexity:intro source:curated-jpgram
彼は忙しいだろう。	かれはいそがしいだろう。	He's probably busy.	だろう (plain presumptive)	Adj/Noun + だろう	plain conjecture	casual guess	だろう = plain guess; でしょう = polite	[sound:9004a0bcc00f.mp3]	module:00-foundation jlpt:n5 point:copula frequency:top5k complexity:intro source:curated-jpgram
こちらが弊社の製品でございます。	こちらがへいしゃのせいひんでございます。	This is our company's product.	でございます (ultra-polite)	Noun + でございます	ultra-polite copula (keigo)	keigo formal	でございます = keigo; です = polite; だ = plain	[sound:43deb13ee8de.mp3]	module:00-foundation jlpt:n5 point:copula frequency:top10k complexity:standard source:curated-jpgram
彼が来なかったのは病気なんだ。	かれがこなかったのはびょうきなんだ。	The reason he didn't come is that he's sick.	なんだ (explanatory)	Noun + なんだ / なのだ	gives explanation / seeks confirmation	explanatory copula	なんだ = explanatory; だ = plain neutral	[sound:bf86ab1be6a5.mp3]	module:00-foundation jlpt:n5 point:copula frequency:top10k complexity:standard source:curated-jpgram
