#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::08 - Slang::Recognition
#
タピオカうまい。	たぴおかうまい。	Tapioca tastes good.	Internet shorthand	タピオ = タピオカ	Casual chat	Typo/shorthand		[sound:1938fca7aa13.mp3]	register:slang domain:internet module:08-slang point:internet-slang complexity:intro
ワロタ、その動画。	わろた、そのどうが。	I laughed at that video.	Internet laughter	w → ワロタ	Chat reaction	Old internet meme		[sound:4ce3fb855055.mp3]	register:slang domain:internet module:08-slang point:internet-slang complexity:intro
あいつのファッション、キモイよ。	あいつのふぁっしょん、きもいよ。	That guy's fashion is gross.	Internet slang adj	気持ち悪い → キモイ	Negative reaction	Web slang		[sound:e7600cc03e5d.mp3]	register:slang domain:internet module:08-slang point:internet-slang complexity:standard
イケチだから大丈夫。	いけちだからだいじょうぶ。	It's okay because it works.	Internet slang	いける → イケチ	Approval	Chat shorthand		[sound:600ebd083b4f.mp3]	register:slang domain:internet module:08-slang point:internet-slang complexity:intro frequency:top1k
このアート、エモイね。	このあーと、えもいね。	This art has emotional vibes.	Internet aesthetic	emotion → エモイ	Aesthetic feeling	Millennial slang		[sound:94e8382f3bd0.mp3]	register:slang domain:internet module:08-slang point:internet-slang complexity:intro
リア会しよう。	りあかいしよう。	Let's meet up in person.	Internet meetup	リアル会議 → リア会	In-person meetup	Online culture		[sound:660859e8de76.mp3]	register:slang domain:internet module:08-slang point:internet-slang complexity:intro
これ、オススメだよ。	これ、おすすめだよ。	I recommend this.	Casual recommendation	お + すすめ	Chat suggestion	Casual speech		[sound:d2d11b84f015.mp3]	register:slang domain:internet module:08-slang point:internet-slang complexity:intro
サッサと終わったよ。	さっさとおわったよ。	I finished it quickly.	Speed slang	さっさと repetition	Quick action	Casual emphasis		[sound:9367585219d2.mp3]	register:slang domain:internet module:08-slang point:internet-slang complexity:intro
ぐぐってみたら？	ぐぐってみたら。	Why don't you Google it?	Internet search	Google → ぐぐる	Search suggestion	Web culture		[sound:57737842d596.mp3]	register:slang domain:internet module:08-slang point:internet-slang complexity:intro
ブバヤク拡散したね。	ぶばやくかくさんしたね。	That spread fast.	Viral slang	バイラル → ブバヤク	Viral descriptor	Social media		[sound:0ffa6e78d358.mp3]	register:slang domain:internet module:08-slang point:internet-slang complexity:intro frequency:low
リチャゲットしよう。	りちゃげっとしよう。	Let's recharge/restart.	Gamer slang	Recharge shorthand	Gaming strategy	Game culture		[sound:05776fc5ffc4.mp3]	register:slang domain:internet module:08-slang point:internet-slang complexity:intro
動画うpしてよ。	どうがあっぷしてよ。	Please upload the video.	Upload casual	Upload → うp	Chat request	Net slang		[sound:4b3a2f0d1b9e.mp3]	register:slang domain:internet module:08-slang point:internet-slang complexity:intro
草だよ、笑った。	くさだよ、わらった。	That's hilarious (grass = lol).	Internet laugh	w → 草	Laugh reaction	Evolution of 笑		[sound:26664d4edfc0.mp3]	register:slang domain:internet module:08-slang point:internet-slang complexity:intro frequency:top5k
人生詰んだ。	じんせいつんだ。	My life is over.	Despair slang	詰む = hopeless	Hopeless feeling	Gaming metaphor		[sound:3a0c458b7471.mp3]	register:slang domain:internet module:08-slang point:internet-slang complexity:intro frequency:top10k
このバグ、やばい。	このばぐ、やばい。	This bug is serious.	Tech slang	Bug + やばい	Software issue	Tech culture		[sound:1cf7502ae5bc.mp3]	register:slang domain:internet module:08-slang point:internet-slang complexity:intro
ラグいから嫌だ。	らぐいからきらいだ。	I hate this lag.	Gamer complaint	Lag + い	Network complaint	Gaming slang		[sound:785701df594e.mp3]	register:slang domain:internet module:08-slang point:internet-slang complexity:intro frequency:top1k
スクショくれよ。	すくしょくれよ。	Give me a screenshot.	Tech shorthand	screenshot → スクショ	Image share	Tech jargon		[sound:fe4faadd23c5.mp3]	register:slang domain:internet module:08-slang point:internet-slang complexity:intro
フォローして。	ふぉろーして。	Follow me.	Social media	Follow English	Social action	SNS culture		[sound:5cdb8d0b0425.mp3]	register:slang domain:internet module:08-slang point:internet-slang complexity:intro
リツイートした。	りついーとした。	I retweeted it.	Twitter/X slang	Retweet English	Share action	Social media		[sound:8b13743a2d06.mp3]	register:slang domain:internet module:08-slang point:internet-slang complexity:intro
フレンド申請しといた。	ふれんどしんせいしといた。	I sent you a friend request.	Casual friend action	Friend request	Social connection	Chat action		[sound:4b451134acdb.mp3]	register:slang domain:internet module:08-slang point:internet-slang complexity:intro frequency:low
イイネ押した。	いいねおした。	I liked it.	Social media like	Like button action	Approval action	SNS verb		[sound:72177504b482.mp3]	register:slang domain:internet module:08-slang point:internet-slang complexity:intro
そのゲーム、つまらない。	そのげーむ、つまらない。	That game is boring.	Game feedback	Game boring	Negative review	Game comment		[sound:f0985f802f09.mp3]	register:slang domain:internet module:08-slang point:internet-slang complexity:intro frequency:top10k
ネタバレするな。	ねたばれするな。	Don't spoil it.	Spoiler warning	Spoiler casual	Spoiler warning	Chat command		[sound:9803b82351cd.mp3]	register:slang domain:internet module:08-slang point:internet-slang complexity:intro
コメント欄で荒れてる。	こめんとらんであれてる。	The comment section is getting heated.	Community chaos	Comment chaos	Social observation	Online behavior		[sound:c179378dd6c0.mp3]	register:slang domain:internet module:08-slang point:internet-slang complexity:intro frequency:low
オタクだから仕方ない。	おたくだからしかたない。	Can't help it, I'm an otaku.	Subculture ID	Otaku identity	Self-reference	Fandom culture		[sound:8a5c74cad3c5.mp3]	register:slang domain:internet module:08-slang point:internet-slang complexity:intro frequency:top5k
推し活してます。	おしかつしてます。	I'm supporting my favorite.	Idol fan slang	推す activity	Fan life	Idol culture		[sound:97019320acfc.mp3]	register:slang domain:internet module:08-slang point:internet-slang complexity:intro
沼にハマった。	ぬまにはまった。	I fell into the rabbit hole.	Obsession metaphor	Swamp addiction	Addicted	Deep interest		[sound:7a8248234c9d.mp3]	register:slang domain:internet module:08-slang point:internet-slang complexity:intro frequency:low
推しキャラ最高。	おしきゃらさいこう。	My favorite character is the best.	Anime fandom	推し character	Character preference	Anime culture		[sound:fc1b84743e8f.mp3]	register:slang domain:internet module:08-slang point:internet-slang complexity:intro frequency:top10k
ガチャ回した。	がちゃまわした。	I did a gacha pull.	Gamer loot	Gacha machine	Random draw	Gaming action		[sound:5c2bccbdd024.mp3]	register:slang domain:internet module:08-slang point:internet-slang complexity:intro
爆死した。	ばくしした。	I had terrible gacha luck.	Gamer despair	Explosion metaphor	Bad luck	Gaming failure		[sound:703b7bf9d1bd.mp3]	register:slang domain:internet module:08-slang point:internet-slang complexity:intro frequency:top10k
課金したよ。	かきんしたよ。	I spent money in-game.	Payment action	Payment casual	Money spent	Freemium gaming		[sound:cf260407c22e.mp3]	register:slang domain:internet module:08-slang point:internet-slang complexity:intro frequency:top10k
ドロップした。	どろっぷした。	It dropped (as loot).	Loot slang	Drop English	Item acquire	Gaming action		[sound:87609c11b229.mp3]	register:slang domain:internet module:08-slang point:internet-slang complexity:intro
リセマラしよう。	りせまらしよう。	Let's reroll the gacha.	Reroll strategy	Reset reroll	Restart luck	Gaming strategy		[sound:0e8b3338efbd.mp3]	register:slang domain:internet module:08-slang point:internet-slang complexity:intro
デイリー終わった。	でいりーおわった。	I finished my daily quests.	Quest routine	Daily informal	Complete tasks	Gaming action		[sound:83b3dea56ab8.mp3]	register:slang domain:internet module:08-slang point:internet-slang complexity:intro
ソロプレイ好き。	そろぷれいすき。	I prefer solo play.	Game preference	Solo play English	Alone gaming	Gaming style		[sound:4157f0ecef9a.mp3]	register:slang domain:internet module:08-slang point:internet-slang complexity:intro frequency:low
フルクリアした。	ふるくりあした。	I beat the game completely.	Game achievement	Full clear English	Complete win	Gaming success		[sound:ac58bb55f856.mp3]	register:slang domain:internet module:08-slang point:internet-slang complexity:intro
特性エグい。	とくせいえぐい。	That ability is crazy strong.	Game balance comment	Ability intense	Power comment	Gaming slang		[sound:9da89c768ceb.mp3]	register:slang domain:internet module:08-slang point:internet-slang complexity:intro frequency:top10k
推し声優。	おしせいゆう。	My favorite voice actor.	Anime appreciation	推す voice actor	Voice preference	Anime culture		[sound:40481218f23e.mp3]	register:slang domain:internet module:08-slang point:internet-slang complexity:intro frequency:top10k
シップ推してる。	しっぷおしてる。	I support that ship (pairing).	Fandom shipping	Ship support	Fan preference	Anime fandom		[sound:41194e5e6bc0.mp3]	register:slang domain:internet module:08-slang point:internet-slang complexity:intro
BL沼にいます。	びーえるぬまにいます。	I'm in the BL rabbit hole.	Genre fandom	BL addiction	Genre interest	Fandom culture		[sound:032ca5ae32c1.mp3]	register:slang domain:internet module:08-slang point:internet-slang complexity:intro frequency:low
