#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#deck:Japanese Grammar::13 - L1::Production
#
Should (strong obligation)	動詞(原形) + べき	すべきではありません	すべき	Strong duty	[sound:ef594bfb5311.mp3]	module:13-l1 point:l1-modality-mismatch complexity:intro source:curated-jpgram
Can (ability)	動詞(て形) + できる	できません	できます	Ability to do	[sound:e382e8be9a15.mp3]	module:13-l1 point:l1-modality-mismatch complexity:intro source:curated-jpgram
May (permission)	動詞(て形) + もいい	てはいけません	てもいいです	Permission granted	[sound:ca7e82a37528.mp3]	module:13-l1 point:l1-modality-mismatch complexity:intro source:curated-jpgram
Will (intention)	動詞(辞書形) + つもり	予定です	つもりです	Speaker's plan	[sound:8fb892cf517b.mp3]	module:13-l1 point:l1-modality-mismatch complexity:intro source:curated-jpgram
Must (necessity)	動詞(ない) + ければならない	なくてはいけません	なければなりません	Required action	[sound:888e767b758b.mp3]	module:13-l1 point:l1-modality-mismatch complexity:intro source:curated-jpgram
Will (prediction)	動詞(辞書形) + だろう	そうだ	だろう	Likely outcome	[sound:aa758a018c0f.mp3]	module:13-l1 point:l1-modality-mismatch complexity:intro source:curated-jpgram
Might (possibility)	動詞(辞書形) + かもしれない	かもしれない	かもしれません	Uncertain future	[sound:89f2b686561f.mp3]	module:13-l1 point:l1-modality-mismatch complexity:intro source:curated-jpgram
Try to (effort/intention)	動詞(辞書形) + ようにする	ようにしろ	ようにする	Trying action	[sound:4249bdc7da22.mp3]	module:13-l1 point:l1-modality-mismatch complexity:intro source:curated-jpgram
Can (ability/possibility)	動詞(辞書形) + ことができる	ことができません	ことができます	Achievable action	[sound:3ac812c0a1c1.mp3]	module:13-l1 point:l1-modality-mismatch complexity:intro source:curated-jpgram
Have to (casual must)	動詞(ない) + くちゃ	なくちゃいけない	なくちゃ	Casual obligation	[sound:c4e716d30cdf.mp3]	module:13-l1 point:l1-modality-mismatch complexity:intro source:curated-jpgram
Better to (mild advice)	動詞(過去) + ほうがいい	ほうがいいではない	ほうがいいです	Comparative suggestion	[sound:380eebe6a37e.mp3]	module:13-l1 point:l1-modality-mismatch complexity:intro source:curated-jpgram
Come to / become able	動詞(辞書形) + ようになる	ようにする	ようになります	Natural progression	[sound:6517ca6b16b4.mp3]	module:13-l1 point:l1-modality-mismatch complexity:intro source:curated-jpgram
Do (command)	動詞(て形) + なさい	しなさい	なさい	Authority command	[sound:c7b1acd99447.mp3]	module:13-l1 point:l1-modality-mismatch complexity:intro source:curated-jpgram
Forbidden (strict)	動詞(て形) + はいけない	禁止ではありません	禁止です	Absolute ban	[sound:33ad67878f15.mp3]	module:13-l1 point:l1-modality-mismatch frequency:top10k complexity:intro source:curated-jpgram
Cannot help but (compulsion)	動詞(ない) + ずにいられない	ずには	ずにいられません	Unable to avoid	[sound:cf4a7a5d51d6.mp3]	module:13-l1 point:l1-modality-mismatch complexity:intro source:curated-jpgram
Apparently (hearsay)	名詞 + らしい	らしくない	らしい	Seemingly/apparently	[sound:ae05ce463286.mp3]	module:13-l1 point:l1-modality-mismatch complexity:intro source:curated-jpgram
Seems like (appearance)	名詞 + みたいです	みたいではない	みたいです	Looks like	[sound:f0d941a47f45.mp3]	module:13-l1 point:l1-modality-mismatch complexity:intro source:curated-jpgram
In order to (purpose)	動詞(辞書形) + ために	ためではなく	ために	Purpose clause	[sound:090b46100aa3.mp3]	module:13-l1 point:l1-modality-mismatch complexity:intro source:curated-jpgram
Surely (certainty)	きっと + 文	もしかして	きっと	High confidence	[sound:ce5cc2bb34dd.mp3]	module:13-l1 point:l1-modality-mismatch complexity:intro source:curated-jpgram
Definitely (absolute)	絶対に + 動詞	ひょっとして	絶対に	No question	[sound:0a87631ea342.mp3]	module:13-l1 point:l1-modality-mismatch frequency:top10k complexity:intro source:curated-jpgram
No choice but (only way)	動詞(辞書形) + しかない	しかないではない	しかない	No alternative	[sound:e2341280ae3b.mp3]	module:13-l1 point:l1-modality-mismatch complexity:intro source:curated-jpgram
Depends on (conditional)	名詞 + 次第です	次第ではない	次第です	Condition-based	[sound:54e672b8baab.mp3]	module:13-l1 point:l1-modality-mismatch frequency:top10k complexity:intro source:curated-jpgram
End up -ing (result)	動詞(辞書形) + ことになる	ことになります	ことになります	Unavoidable result	[sound:b1963fc1782e.mp3]	module:13-l1 point:l1-modality-mismatch complexity:intro source:curated-jpgram
Not only (extent)	動詞(た) + ばかりではなく	ばかりではなく	ばかりではなく	Extends beyond	[sound:5b7cf683cec2.mp3]	module:13-l1 point:l1-modality-mismatch complexity:intro source:curated-jpgram
There's no need to (optional)	動詞(辞書形) + ことはない	ことはないでしょう	ことはない	Not required	[sound:92708a13727f.mp3]	module:13-l1 point:l1-modality-mismatch complexity:intro source:curated-jpgram
