#separator:tab
#html:true
#columns:Text	Reading	Hint	Audio	Tags
#notetype:Cloze
#deck:Japanese Grammar::05 - N1 Grammar::Cloze
今{{c1::こそ}}始めるべき時だ。	いまはじめるべきときだ。	今こそ意味がある。	[sound:05f11672b23b.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:top5k source:shin-kanzen
彼{{c1::こそ}}が真犯人だ。	かれがしんはんにんだ。	本人の確認。	[sound:98238e92886a.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:top10k source:shin-kanzen
苦難{{c1::こそ}}が人を成長させる。	くなんがにんをせいちょうさせる。	困難の価値。	[sound:d83d90e43429.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:top10k source:shin-kanzen
君{{c1::こそ}}相応しい。	くんふさわしい。	個人の特定。	[sound:c8d08af17b0d.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:low source:shin-kanzen
この秘密{{c1::こそ}}重要だ。	このひみつじゅうようだ。	秘密の強調。	[sound:ad9e22dc5135.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:top10k source:shin-kanzen
想像{{c1::だに}}難しい。	そうぞうむずかしい。	想像困難の表現。	[sound:6c035ada0da8.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:top10k source:shin-kanzen
名前{{c1::だに}}知らない。	なまえしらない。	名前さえ知らない。	[sound:779c65e44c9a.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:top1k source:shin-kanzen
読むこと{{c1::だに}}困難だ。	よむことこんなんだ。	読書困難。	[sound:64ff6832773f.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:top10k source:shin-kanzen
接触すること{{c1::だに}}許されない。	せっしょくすることゆるされない。	接触禁止。	[sound:a6510236fcbd.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:standard frequency:low source:shin-kanzen
言葉{{c1::だに}}ない。	ことばない。	言葉が出ない。	[sound:99042908c84d.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:top1k source:shin-kanzen
子供{{c1::すら}}知っている。	こどもしっている。	当然の知識。	[sound:6de5ecedb616.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:top1k source:shin-kanzen
彼女{{c1::すら}}怒った。	かのじょいかった。	衝撃的なこと。	[sound:8f574b7dc309.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:top5k source:shin-kanzen
富士山{{c1::すら}}見えない。	ふじさんみえない。	視界が悪い。	[sound:af07ea83d08f.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:low source:shin-kanzen
一言{{c1::すら}}言わない。	ひとこといわない。	沈黙。	[sound:0f42f500afda.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:top10k source:shin-kanzen
水{{c1::すら}}飲めない。	みずのみめない。	困窮状態。	[sound:1caf0a1662a7.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:top1k source:shin-kanzen
努力{{c1::さえ}}すれば成功する。	どりょくすればせいこうする。	努力の条件。	[sound:125adbf1ebb6.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:top10k source:shin-kanzen
時間{{c1::さえ}}あれば行きたい。	じかんあればいきたい。	時間があれば可能。	[sound:d37da1fe6785.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:top10k source:shin-kanzen
健康{{c1::さえ}}失ったら終わり。	けんこううったらおわり。	健康の重要性。	[sound:759a008fbe66.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:top10k source:shin-kanzen
誠意{{c1::さえ}}あれば許される。	せいいあればゆるされる。	誠意の力。	[sound:eaf815352135.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:low source:shin-kanzen
努力{{c1::さえ}}あれば大丈夫。	どりょくあればだいじょうぶ。	努力が鍵。	[sound:6e362e0d936e.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:top10k source:shin-kanzen
金銭{{c1::のみ}}が目的ではない。	きんせんがもくてきではない。	複数の目的。	[sound:0a478addab4d.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:top10k source:shin-kanzen
勉強{{c1::のみならず}}運動も重要。	べんきょううんどうもじゅうよう。	両方大事。	[sound:a77ff6eecb18.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:top10k source:shin-kanzen
彼{{c1::のみ}}が知っている。	かれがしっている。	独占情報。	[sound:be552e7fb351.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:top5k source:shin-kanzen
今{{c1::のみならず}}未来も大切。	いまみらいもたいせつ。	将来も大事。	[sound:f7a954f7294f.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:top10k source:shin-kanzen
仕事{{c1::のみ}}ではなく家族も。	しごとではなくかぞくも。	バランス。	[sound:8cbd8be4deef.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:top1k source:shin-kanzen
学問{{c1::のみならず}}品性も必要。	がくもんひんせいもひつよう。	両方が必要。	[sound:336793e3cc3c.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:top10k source:shin-kanzen
一度{{c1::きり}}の機会。	いちどのきかい。	一度限定。	[sound:95acf131ec42.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:top5k source:shin-kanzen
今{{c1::きり}}の告白。	いまのこくはく。	今だけの告白。	[sound:a8efef349020.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:low source:shin-kanzen
彼とはこれ{{c1::きり}}だ。	かれとはこれだ。	終了宣言。	[sound:9964c4879adb.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:top5k source:shin-kanzen
一晩{{c1::きり}}だ。	ひとばんだ。	一晩限定。	[sound:d1755267a8f4.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:top1k source:shin-kanzen
合格{{c1::どころか}}受験もしなかった。	ごうかくじゅけんもしなかった。	受験さえしなかった。	[sound:bd5277d87a54.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:low source:shin-kanzen
助言{{c1::どころか}}無視された。	じょげんむしされた。	反対の結果。	[sound:70b5ffb1f773.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:low source:shin-kanzen
返事{{c1::どころか}}連絡すらない。	へんじれんらくすらない。	完全無視。	[sound:83ba8297712f.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:top5k source:shin-kanzen
助ける{{c1::どころか}}邪魔した。	たすけるじゃました。	逆の行動。	[sound:6e4c02cf7545.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:top10k source:shin-kanzen
見る{{c1::どころか}}近づけない。	みるちかづけない。	見ることも不可。	[sound:a2ce0c6ae08b.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:top1k source:shin-kanzen
何{{c1::とて}}そんなことができるか。	なにそんなことができるか。	できない理由。	[sound:a9b19ebd7023.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:standard frequency:top1k source:shin-kanzen
誰{{c1::とて}}これを解けない。	だれこれをとけない。	全員不可。	[sound:4fa36c5bb07d.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:top1k source:shin-kanzen
いかなる困難{{c1::とて}}乗り越えよう。	いかなるこんなんのりこえよう。	困難を乗り越える。	[sound:afb3d8bfb1dc.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:standard frequency:top10k source:shin-kanzen
何ごと{{c1::とて}}成し遂げよう。	なにごとなしとげよう。	何でも成し遂げる。	[sound:d1eae74318ff.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:top1k source:shin-kanzen
いかなる苦難{{c1::とて}}諦めない。	いかなるくなんあきらめない。	諦めない決意。	[sound:bf559a003bb4.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:low source:shin-kanzen
地位{{c1::こそ}}が変わった。	ちいがかわった。	地位の変化。	[sound:d8bd7144b5d5.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:top10k source:shin-kanzen
その時{{c1::こそ}}が勝負だ。	そのときがしょうぶだ。	その時が重要。	[sound:058aa472af92.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:low source:shin-kanzen
彼の努力{{c1::すら}}知らない人がいる。	かのどりょくしらないにんがいる。	誰もが知ってる。	[sound:009406c29170.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:standard frequency:top10k source:shin-kanzen
返事{{c1::だに}}ない。	へんじない。	返事もない。	[sound:2a157f1c4a6c.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:top5k source:shin-kanzen
勇気{{c1::さえ}}あれば大丈夫。	ゆうきあればだいじょうぶ。	勇気があれば。	[sound:ac7a728d8e98.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:top10k source:shin-kanzen
