#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::03 - N3 Grammar::Recognition
#
雨が降ろうとしているところが、彼は外に出た。	あめがふろうとしているところが、かれはそとにでた。	Just when it was about to rain, he went outside.	ところが	ところが	Concessive	Just when		[sound:382125597543.mp3]	module:03-n3 jlpt:n3 point:tokoro-n3 complexity:standard frequency:top10k source:shin-kanzen
彼が話しているところが、誰も聞いていない。	かれがはなしているところが、だれもきいていない。	Just as he speaks, no one is listening.	ところが	ところが	Concessive	Just when		[sound:b7a27323aa91.mp3]	module:03-n3 jlpt:n3 point:tokoro-n3 complexity:standard frequency:top5k source:shin-kanzen
仕事が終わったところが、急に電話がかかった。	しごとがおわったところが、きゅうにでんわがかかった。	Right when the work finished, a call came suddenly.	ところが	ところが	Concessive	Just when		[sound:b691595d3666.mp3]	module:03-n3 jlpt:n3 point:tokoro-n3 complexity:standard frequency:top10k source:shin-kanzen
安くなったところが、品質は変わらない。	やすくなったところが、ひんしつはかわらない。	Even though it became cheaper, the quality hasn't changed.	ところが	ところが	Concessive	Just when		[sound:4363870d0f5b.mp3]	module:03-n3 jlpt:n3 point:tokoro-n3 complexity:standard frequency:low source:shin-kanzen
彼が来るところが、私は帰ることにした。	かれがくるところが、わたしはかえることにした。	Just when he's coming, I decided to leave.	ところが	ところが	Concessive	Just when		[sound:3cbd2748393c.mp3]	module:03-n3 jlpt:n3 point:tokoro-n3 complexity:standard frequency:top5k source:shin-kanzen
計画が立てられたところが、実行されない。	けいかくがたてられたところが、じっこうされない。	Though the plan was made, it won't be executed.	ところが	ところが	Concessive	Just when		[sound:d9358eb60d61.mp3]	module:03-n3 jlpt:n3 point:tokoro-n3 complexity:standard frequency:top10k source:shin-kanzen
新しい製品が発売されたところが、売れていない。	あたらしいせいひんがはつばいされたところが、うれていない。	Although the new product was released, it's not selling.	ところが	ところが	Concessive	Just when		[sound:693b86a7fecb.mp3]	module:03-n3 jlpt:n3 point:tokoro-n3 complexity:standard frequency:low source:shin-kanzen
彼が約束したところが、守られていない。	かれがやくそくしたところが、まもられていない。	Despite what he promised, it's not being kept.	ところが	ところが	Concessive	Just when		[sound:51f6542e84af.mp3]	module:03-n3 jlpt:n3 point:tokoro-n3 complexity:standard frequency:top5k source:shin-kanzen
彼は勉強しているところを邪魔された。	かれはべんきょうしているところをじゃまされた。	He was interrupted in the middle of studying.	ところを	ところを	Relational	Caught in action		[sound:4b18b76b753e.mp3]	module:03-n3 jlpt:n3 point:tokoro-n3 complexity:standard frequency:top5k source:shin-kanzen
食事をしているところを呼び止められた。	しょくじをしているところをよびやめられた。	I was stopped in the middle of eating.	ところを	ところを	Relational	Caught in action		[sound:606ed5f95e4f.mp3]	module:03-n3 jlpt:n3 point:tokoro-n3 complexity:standard frequency:top5k source:shin-kanzen
走っているところを写真に撮られた。	はしっているところをしゃしんにとられた。	I was photographed while running.	ところを	ところを	Relational	Caught in action		[sound:d311c0bd7412.mp3]	module:03-n3 jlpt:n3 point:tokoro-n3 complexity:standard frequency:top1k source:shin-kanzen
寝ているところを起こされた。	ねているところをおこされた。	I was woken up from sleep.	ところを	ところを	Relational	Caught in action		[sound:d59a7e5911bd.mp3]	module:03-n3 jlpt:n3 point:tokoro-n3 complexity:standard source:shin-kanzen
危うく事故に遭うところだった。	あやうくじこにあうところだった。	I almost had an accident.	ところだった	ところだった	Counterfactual	Narrowly avoided		[sound:ad15904d2987.mp3]	module:03-n3 jlpt:n3 point:tokoro-n3 complexity:standard frequency:top10k source:shin-kanzen
彼は死ぬところだった。	かれはしぬところだった。	He was on the verge of death.	ところだった	ところだった	Counterfactual	Narrowly avoided		[sound:3bea6a079527.mp3]	module:03-n3 jlpt:n3 point:tokoro-n3 complexity:intro frequency:top5k source:shin-kanzen
約束を忘れるところだった。	やくそくをわすれるところだった。	I almost forgot the promise.	ところだった	ところだった	Counterfactual	Narrowly avoided		[sound:f34c66f905ef.mp3]	module:03-n3 jlpt:n3 point:tokoro-n3 complexity:standard frequency:top5k source:shin-kanzen
列車に乗り遅れるところだった。	れっしゃにのりおくれるところだった。	I almost missed the train.	ところだった	ところだった	Counterfactual	Narrowly avoided		[sound:ed661958a06f.mp3]	module:03-n3 jlpt:n3 point:tokoro-n3 complexity:standard frequency:top10k source:shin-kanzen
大失敗をするところだった。	だいしっぱいをするところだった。	I almost made a big mistake.	ところだった	ところだった	Counterfactual	Narrowly avoided		[sound:dd8cba19b281.mp3]	module:03-n3 jlpt:n3 point:tokoro-n3 complexity:standard frequency:top10k source:shin-kanzen
上手くなったどころか、下手になった。	うまくなったどころか、へたになった。	Far from improving, I got worse.	それどころか	それどころか	Contrary expectation	Far from		[sound:c19dc8c9ad91.mp3]	module:03-n3 jlpt:n3 point:tokoro-n3 complexity:standard frequency:top1k source:shin-kanzen
助けになるどころか、邪魔になった。	たすけになるどころか、じゃまになった。	Far from helping, it hindered.	それどころか	それどころか	Contrary expectation	Far from		[sound:a1d3be8272bf.mp3]	module:03-n3 jlpt:n3 point:tokoro-n3 complexity:standard frequency:low source:shin-kanzen
簡単だどころか、非常に難しい。	かんたんだどころか、ひじょうにむずかしい。	Far from easy, it's extremely difficult.	それどころか	それどころか	Contrary expectation	Far from		[sound:254d0114cb56.mp3]	module:03-n3 jlpt:n3 point:tokoro-n3 complexity:standard frequency:top5k source:shin-kanzen
良くなったどころか、悪くなった。	よくなったどころか、わるくなった。	Rather than improving, it got worse.	それどころか	それどころか	Contrary expectation	Far from		[sound:d3973a91fc7d.mp3]	module:03-n3 jlpt:n3 point:tokoro-n3 complexity:standard frequency:top10k source:shin-kanzen
安いどころか、非常に高い。	やすいどころか、ひじょうにたかい。	Far from cheap, it's extremely expensive.	それどころか	それどころか	Contrary expectation	Far from		[sound:7a09a7ca8b9c.mp3]	module:03-n3 jlpt:n3 point:tokoro-n3 complexity:intro frequency:top5k source:shin-kanzen
減ったどころか、増えた。	へったどころか、ふえた。	Rather than decreasing, it increased.	それどころか	それどころか	Contrary expectation	Far from		[sound:987d475f40fb.mp3]	module:03-n3 jlpt:n3 point:tokoro-n3 complexity:intro source:shin-kanzen
文句を言ったところで、何も変わらない。	もんくをいったところで、なにもかわらない。	Complaining won't change anything.	ーたところで	ーたところで	Futility	Won't help even if		[sound:5aff475eda98.mp3]	module:03-n3 jlpt:n3 point:tokoro-n3 complexity:standard frequency:top10k source:shin-kanzen
努力したところで、無駄だ。	どりょくしたところで、むだだ。	Even if you try hard, it's futile.	ーたところで	ーたところで	Futility	Won't help even if		[sound:085a79f512e7.mp3]	module:03-n3 jlpt:n3 point:tokoro-n3 complexity:intro frequency:top10k source:shin-kanzen
逃げたところで、見つかるだろう。	にげたところで、みつかるだろう。	Running away won't help; they'll find you.	ーたところで	ーたところで	Futility	Won't help even if		[sound:b3724ffb9cf1.mp3]	module:03-n3 jlpt:n3 point:tokoro-n3 complexity:standard frequency:top5k source:shin-kanzen
今から勉強したところで、間に合わない。	いまからべんきょうしたところで、まにあわない。	Studying now won't make it in time.	ーたところで	ーたところで	Futility	Won't help even if		[sound:08a4a291a97d.mp3]	module:03-n3 jlpt:n3 point:tokoro-n3 complexity:standard frequency:top5k source:shin-kanzen
謝ったところで、許されないかもしれない。	あやまったところで、ゆるされないかもしれない。	Apologizing may not get forgiveness.	ーたところで	ーたところで	Futility	Won't help even if		[sound:80fcb4c5b72f.mp3]	module:03-n3 jlpt:n3 point:tokoro-n3 complexity:standard source:shin-kanzen
質問したところで、答えてくれないだろう。	しつもんしたところで、こたえてくれないだろう。	Asking a question won't get an answer.	ーたところで	ーたところで	Futility	Won't help even if		[sound:56825e1850fb.mp3]	module:03-n3 jlpt:n3 point:tokoro-n3 complexity:standard frequency:top5k source:shin-kanzen
彼が到着したところへ、私たちが着いた。	かれがとうちゃくしたところへ、わたしたちがついた。	Just as he arrived, we got there.	ところへ	ところへ	Timing	ところへ		[sound:bb567c4ed24a.mp3]	module:03-n3 jlpt:n3 point:tokoro-n3 complexity:standard frequency:top10k source:shin-kanzen
話しているところを遮られた。	はなしているところをさえぎられた。	I was interrupted in the middle of talking.	ところを	ところを	Timing	ところを		[sound:4e9821cf63cb.mp3]	module:03-n3 jlpt:n3 point:tokoro-n3 complexity:standard frequency:top1k source:shin-kanzen
今、重要な会議をしているところです。	いま、じゅうようなかいぎをしているところです。	I'm in an important meeting right now.	ーているところ	ーているところ	Timing	ーているところ		[sound:a4a2c1f549df.mp3]	module:03-n3 jlpt:n3 point:tokoro-n3 complexity:standard frequency:top10k source:shin-kanzen
完成したところだと聞いた。	かんせいしたところだときいた。	I heard it was just completed.	ーたところだ	ーたところだ	Timing	ーたところだ		[sound:8ddb79e705d4.mp3]	module:03-n3 jlpt:n3 point:tokoro-n3 complexity:standard frequency:top10k source:shin-kanzen
逃げようとしたところを捕まえられた。	にげようとしたところをつかまえられた。	I was caught just as I was trying to escape.	ところを	ところを	Timing	ところを		[sound:63750e1d43bd.mp3]	module:03-n3 jlpt:n3 point:tokoro-n3 complexity:standard source:shin-kanzen
電話が鳴ったところで、彼は出かけた。	でんわがなったところで、かれはでかけた。	Right when the phone rang, he left.	ところで	ところで	Timing	ところで		[sound:728218ec6e03.mp3]	module:03-n3 jlpt:n3 point:tokoro-n3 complexity:standard frequency:top10k source:shin-kanzen
病気が治ったところで、仕事に戻った。	びょうきがなおったところで、しごとにもどった。	After my illness was cured, I returned to work.	ーたところで	ーたところで	Timing	ーたところで		[sound:818c7f023054.mp3]	module:03-n3 jlpt:n3 point:tokoro-n3 complexity:standard frequency:top1k source:shin-kanzen
そこへちょうど彼が来たところだった。	そこへちょうどかれがきたところだった。	That's when he happened to arrive.	ーたところだった	ーたところだった	Timing	ーたところだった		[sound:afea96441374.mp3]	module:03-n3 jlpt:n3 point:tokoro-n3 complexity:standard frequency:top10k source:shin-kanzen
