#separator:tab
#html:true
#columns:JP	OptionA	OptionB	Answer	Why	Tip	Audio	Tags
#notetype:Contrast
#deck:Japanese Grammar::05 - N1 Grammar::Contrast
#
百メートルからある塔だ。	からする	もある	からある	からある = at least/or more (minimum)	Tower at least 100 meters	[sound:17e1e00c7acd.mp3]	module:05-n1 jlpt:n1 register:literary point:n1-extent-degree pos:expr frequency:top10k complexity:intro source:shin-kanzen
千人からある観客がいた。	からする	もある	からある	からある = or more in quantity	At least thousand spectators	[sound:df1ffdec883d.mp3]	module:05-n1 jlpt:n1 register:literary point:n1-extent-degree pos:expr frequency:top10k complexity:intro source:shin-kanzen
見たような気がからする。	からある	もある	からする	からする = seems/appears (sensation)	Seems like I've seen it	[sound:e4362faaf1fe.mp3]	module:05-n1 jlpt:n1 register:literary point:n1-extent-degree pos:expr frequency:top5k complexity:intro source:shin-kanzen
良いものからする予感がした。	からある	もある	からする	からする = has feel of/sense of	Had sense of something good	[sound:6cc47cb1f802.mp3]	module:05-n1 jlpt:n1 register:literary point:n1-extent-degree pos:expr frequency:low complexity:standard source:shin-kanzen
様々な考え方もあるだろう。	からある	からする	もある	もある = there is also/alternatively	There are also various views	[sound:903c98da8547.mp3]	module:05-n1 jlpt:n1 register:literary point:n1-extent-degree pos:expr frequency:top10k complexity:standard source:shin-kanzen
そういう見方もあるかもしれない。	からある	からする	もある	もある = alternative/could also be	That view could also be valid	[sound:f170ba76be86.mp3]	module:05-n1 jlpt:n1 register:literary point:n1-extent-degree pos:expr frequency:top1k complexity:standard source:shin-kanzen
三百年からある歴史を持つ。	からする	もある	からある	からある = at least/some 300 years	Has history at least 300 years old	[sound:ddeaaf789e36.mp3]	module:05-n1 jlpt:n1 register:literary point:n1-extent-degree pos:expr frequency:top5k complexity:standard source:shin-kanzen
素人っぽいからするその仕草。	からある	もある	からする	からする = has appearance of	That gesture has amateur appearance	[sound:fe7c2e9d0b10.mp3]	module:05-n1 jlpt:n1 register:literary point:n1-extent-degree pos:expr frequency:low complexity:standard source:shin-kanzen
複雑な背景もあるだろう。	からある	からする	もある	もある = also possibly/there could be	There could also be complex background	[sound:40a4114eaf34.mp3]	module:05-n1 jlpt:n1 register:literary point:n1-extent-degree pos:expr frequency:low complexity:intro source:shin-kanzen
数万からある人口増加。	からする	もある	からある	からある = tens of thousands at least	Population increase of tens of thousands	[sound:00dfbf09a033.mp3]	module:05-n1 jlpt:n1 register:literary point:n1-extent-degree pos:expr frequency:top10k complexity:intro source:shin-kanzen
