#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#deck:Japanese Grammar::06 - Keigo::Production
#
Hello (phone).	もしもし	もしもし。	もしもし。	phone greeting	[sound:59395133415f.mp3]	module:06-keigo point:phone-keigo complexity:intro source:dictionary-of-jp-grammar
Excuse me, what is your name?	失礼+お名前	しつれいですがおなまえは。	失礼ですがお名前は。	name inquiry	[sound:c683ba964789.mp3]	module:06-keigo point:phone-keigo complexity:intro frequency:top5k source:dictionary-of-jp-grammar
Thank you for waiting.	大変+お待たせ+いたした	たいへんおまたせいたしました。	大変お待たせいたしました。	apology for wait	[sound:c5ecdfb76881.mp3]	module:06-keigo point:phone-keigo complexity:standard frequency:top1k source:dictionary-of-jp-grammar
Could I speak to Tanaka in charge?	担当+をお願いする	たんとうのたなかをおねがいします。	担当の田中をお願いします。	transfer request	[sound:3d1093a516d8.mp3]	module:06-keigo point:phone-keigo complexity:standard frequency:top10k source:dictionary-of-jp-grammar
May I take a message?	ご伝言+承る	ごでんごんをうけたまわりましょうか。	ご伝言を承りましょうか。	message inquiry	[sound:c95ed8fa7e28.mp3]	module:06-keigo point:phone-keigo complexity:intro frequency:top10k source:dictionary-of-jp-grammar
Phone transferred (I'm taking over).	お電話+代わる	おでんわだいわりました。	お電話代わりました。	call transfer	[sound:00ad0fc10bde.mp3]	module:06-keigo point:phone-keigo complexity:intro frequency:top5k source:dictionary-of-jp-grammar
How can I help?	いかが+いたす+ましょう+か	いかがいたしましょうか。	いかがいたしましょうか。	offer of help	[sound:bc2f57e556b6.mp3]	module:06-keigo point:phone-keigo complexity:intro source:dictionary-of-jp-grammar
This is the sales department.	こちら+営業部+でございます	こちらはえいぎょうぶでございます。	こちらは営業部でございます。	department identification	[sound:c8555c50d9a2.mp3]	module:06-keigo point:phone-keigo complexity:standard frequency:top10k source:dictionary-of-jp-grammar
I will answer your question.	ご質問+について+お答え+いたす	ごしつもんについておこたえいたします。	ご質問についてお答えいたします。	question answering	[sound:6c9f831519b2.mp3]	module:06-keigo point:phone-keigo complexity:standard frequency:top5k source:dictionary-of-jp-grammar
I would like to confirm with headquarters.	本社+確認+させていただきたい	ほんしゃにかくにんさせていただきたいのですが。	本社に確認させていただきたいのですが。	future action	[sound:b73a653b889d.mp3]	module:06-keigo point:phone-keigo complexity:standard frequency:top10k source:dictionary-of-jp-grammar
I will transfer your call.	かかってきた+お電話+お取り次ぎ+いたす	かかってきたおでんわをおとりつぎいたします。	かかってきたお電話をお取り次ぎいたします。	call transfer	[sound:609bddc4fbbc.mp3]	module:06-keigo point:phone-keigo complexity:standard frequency:top1k source:dictionary-of-jp-grammar
Is he/she available?	おられる+ます+でしょうか	おられますでしょうか。	おられますでしょうか。	availability inquiry	[sound:c55236d30f41.mp3]	module:06-keigo point:phone-keigo complexity:intro source:dictionary-of-jp-grammar
I would like to put you on hold for a moment.	いったん+保留+させていただきたい	いったんほりゅうさせていただきたいのですが。	いったん保留させていただきたいのですが。	hold request	[sound:43d5ca1df524.mp3]	module:06-keigo point:phone-keigo complexity:standard source:dictionary-of-jp-grammar
We have a customer on the line for you.	お客さま+方から+お電話+いただいている	おきゃくさまのほうからおでんわをいただいております。	お客さまの方からお電話をいただいております。	incoming call notification	[sound:30093507d72e.mp3]	module:06-keigo point:phone-keigo complexity:standard frequency:top5k source:dictionary-of-jp-grammar
It's difficult to say, but.	申し上げ+にくい	もうしあげにくいのですが。	申し上げにくいのですが。	hesitant request	[sound:e26034a059e6.mp3]	module:06-keigo point:phone-keigo complexity:intro frequency:top1k source:dictionary-of-jp-grammar
This is Tanaka from Sales.	こちら+営業+と申す	こちらえいぎょうのたなかともうします。	こちら営業の田中と申します。	self-introduction	[sound:00e8c80a4a6c.mp3]	module:06-keigo point:phone-keigo complexity:standard frequency:top10k source:dictionary-of-jp-grammar
I apologize for calling suddenly.	突然+お電話+申し訳+ございません	とつぜんのおでんわでもうしわけございません。	突然のお電話で申し訳ございません。	sudden call apology	[sound:0241dcbbec3b.mp3]	module:06-keigo point:phone-keigo complexity:standard frequency:top10k source:dictionary-of-jp-grammar
Thank you despite your busy schedule.	ご多忙+ところ+ありがとう+ございます	ごたぼうのところありがとうございます。	ご多忙のところありがとうございます。	gratitude phrase	[sound:2b8d5ae7df31.mp3]	module:06-keigo point:phone-keigo complexity:standard frequency:low source:dictionary-of-jp-grammar
I apologize for intruding on your busy time.	お忙しい+ところ+失礼+いたした	おいそがしいところしつれいいたしました。	お忙しいところ失礼いたしました。	interruption apology	[sound:606aac53902e.mp3]	module:06-keigo point:phone-keigo complexity:standard frequency:top5k source:dictionary-of-jp-grammar
I will call you back later.	のちほど+こちらから+お電話+させていただく	のちほどこちらからおでんわさせていただきます。	のちほどこちらからお電話させていただきます。	future callback	[sound:63474ba1e60b.mp3]	module:06-keigo point:phone-keigo complexity:standard frequency:top1k source:dictionary-of-jp-grammar
Phone: thank you for always using.	いつも+ご利用+ありがとう	いつもごりようありがとうございます。	いつもご利用ありがとうございます。	phone gratitude	[sound:fdbf68692dbd.mp3]	module:06-keigo point:phone-keigo complexity:standard frequency:top5k source:dictionary-of-jp-grammar
Phone: this is Yamada.	こちらは+と申す	こちらはやまだともうします。	こちらは山田と申します。	phone introduction	[sound:1747792b9279.mp3]	module:06-keigo point:phone-keigo complexity:intro frequency:top10k source:dictionary-of-jp-grammar
Phone: any unclear things.	何か+ご不明+ございませんか	なにかごふめいなことはございませんか。	何かご不明なことはございませんか。	phone inquiry	[sound:feae7f23aa20.mp3]	module:06-keigo point:phone-keigo complexity:standard frequency:low source:dictionary-of-jp-grammar
Phone: thank you for contacting despite busy.	本日+お忙しい+ご連絡+いただく	ほんじつはおいそがしいところごれんらくいただきありがとうございます。	本日はお忙しいところご連絡いただきありがとうございます。	phone thanks	[sound:ced433037a86.mp3]	module:06-keigo point:phone-keigo complexity:advanced frequency:top5k source:dictionary-of-jp-grammar
Phone: do you have time now.	今から+お時間+いただける	いまからおじかんをいただけますか。	今からお時間をいただけますか。	phone time request	[sound:7cceef05e7d1.mp3]	module:06-keigo point:phone-keigo complexity:standard frequency:top1k source:dictionary-of-jp-grammar
Phone: I will disconnect for now.	いったん+お電話+切る+させていただく	いったんおでんわをきらせていただきます。	いったんお電話を切らせていただきます。	phone action	[sound:37ea361ca578.mp3]	module:06-keigo point:phone-keigo complexity:standard frequency:top1k source:dictionary-of-jp-grammar
Phone: could I have your email.	お手数+メールアドレス+いただける	おてすうですがめーるあどれすをいただけますか。	お手数ですがメールアドレスをいただけますか。	phone request	[sound:4d83416c9b04.mp3]	module:06-keigo point:phone-keigo complexity:standard frequency:low source:dictionary-of-jp-grammar
Phone: if you have complaints.	何か+ご不満+ございましたら	なにかごふまんなてんがございましたら。	何かご不満な点がございましたら。	phone complaint inquiry	[sound:7f0e2ec54e64.mp3]	module:06-keigo point:phone-keigo complexity:standard frequency:top10k source:dictionary-of-jp-grammar
Phone: very sorry but once more please.	大変+恐れ入る+もう一度+お願い+いたす	たいへんおそれいりますがもういちどおねがいいたします。	大変恐れ入りますがもう一度お願いいたします。	phone apology	[sound:d76c4ee5bb11.mp3]	module:06-keigo point:phone-keigo complexity:standard frequency:low source:dictionary-of-jp-grammar
Phone: thank you for reply despite busy.	ご多忙+お返事+ありがとう	ごたぼうのところおへんじありがとうございました。	ご多忙のところお返事ありがとうございました。	phone thanks	[sound:a0592c8d7a61.mp3]	module:06-keigo point:phone-keigo complexity:standard frequency:low source:dictionary-of-jp-grammar
