#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#deck:Japanese Grammar::02 - N4 Grammar::Production

I am about to leave.	今出発するところです。	いまいではっするところです。	今出発するところです。	するところ: about to act — action is at the threshold; departure is imminent	[sound:06913c2855cd.mp3]	module:02-n4 jlpt:n4 register:neutral point:るところだ pos:expr complexity:standard source:shin-kanzen frequency:top5k
He is in the middle of eating.	彼は食べているところです。	かれはたべているところです。	彼は食べているところです。	しているところ: caught in the act — action is in progress; interrupted moment	[sound:02e86f267478.mp3]	module:02-n4 jlpt:n4 register:neutral point:るところだ pos:expr complexity:standard source:shin-kanzen frequency:top5k
I am about to start the meeting.	会議を始めるところです。	かいぎをはじめるところです。	会議を始めるところです。	するところ: event threshold — meeting is at the brink of starting	[sound:72367c8b5cda.mp3]	module:02-n4 jlpt:n4 register:neutral point:るところだ pos:expr complexity:standard source:shin-kanzen frequency:top5k
Say you are just about to have lunch.	大学を卒業したばかりです。	ちょうどちゅうしょくをたべるところです。	ちょうど昼食を食べるところです。	するところ: meal-threshold moment — just about to begin eating	[sound:0802fd7d7350.mp3]	module:02-n4 jlpt:n4 register:neutral point:るところだ pos:expr complexity:advanced source:shin-kanzen frequency:top5k
The train is about to depart.	電車が発車するところです。	でんしゃがはっしゃするところです。	電車が発車するところです。	するところ: transportation threshold — vehicle is at the brink of departure	[sound:e8b8f07ea15a.mp3]	module:02-n4 jlpt:n4 register:neutral point:るところだ pos:expr complexity:standard source:shin-kanzen frequency:top10k
We are in the process of discussing the plan.	計画について議論しているところです。	けいかくについてぎろんしているところです。	計画について議論しているところです。	しているところ: ongoing process — discussion is actively in progress right now	[sound:7f907c6b8da8.mp3]	module:02-n4 jlpt:n4 register:neutral point:るところだ pos:expr complexity:advanced source:shin-kanzen frequency:top10k
I am about to go to sleep.	もう寝るところです。	もうねるところです。	もう寝るところです。	するところ: sleep threshold — about to transition to sleep; imminent rest	[sound:27e20415451c.mp3]	module:02-n4 jlpt:n4 register:neutral point:るところだ pos:expr complexity:standard source:shin-kanzen frequency:top1k
I am about to make a phone call.	電話をかけるところです。	でんわをかけるところです。	電話をかけるところです。	するところ: communicative threshold — about to initiate contact; action is next	[sound:dc7f95e1316e.mp3]	module:02-n4 jlpt:n4 register:neutral point:るところだ pos:expr complexity:standard source:shin-kanzen frequency:top1k
The show is about to start.	ショーが始まるところです。	しょーがはじまるところです。	ショーが始まるところです。	するところ: event threshold — show/event is about to start; anticipation moment	[sound:de0f877d6ea5.mp3]	module:02-n4 jlpt:n4 register:neutral point:るところだ pos:expr complexity:standard source:shin-kanzen frequency:low
I'm currently writing a report.	レポートを書いているところです。	れぽーとをかいているところです。	レポートを書いているところです。	しているところ: writing in progress — composition is actively happening now	[sound:af50989ea295.mp3]	module:02-n4 jlpt:n4 register:neutral point:るところだ pos:expr complexity:advanced source:shin-kanzen
