#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::02 - N4 Grammar::Recognition

もし雨が降れば、運動会は中止になります。	もしあめがふれば、うんどうかいはちゅうしになります。	If it rains, the athletic meet will be canceled.	Hypothetical/if-then	もし + 条件 + ば + 結果	Hypothetical consequence	If/then structure	と conditional (automatic)	[sound:46f223e47173.mp3]	module:02-n4 jlpt:n4 point:ば complexity:standard frequency:top10k source:shin-kanzen sense:conditionals
時間があれば、映画に行きたいです。	じかんがあれば、えいがにいきたいです。	If I have time, I want to go to a movie.	Hypothetical condition	条件 + ば + 希望	Conditional desire	If time exists, want to go	と conditional (automatic)	[sound:a8837c12fd99.mp3]	module:02-n4 jlpt:n4 point:ば complexity:standard frequency:top10k source:shin-kanzen sense:conditionals
お金があれば、何を買いますか。	おかねがあれば、なにをかいますか。	If you had money, what would you buy?	Hypothetical/generic condition	条件 + ば + 行動	Generic consequence	Money → purchase	たら conditional (specific)	[sound:cf3d1c91d845.mp3]	module:02-n4 jlpt:n4 point:ば complexity:standard frequency:top10k source:shin-kanzen sense:conditionals
毎日勉強すれば、日本語が上手になります。	まいにちべんきょうすれば、にほんごがじょうずになります。	If you study every day, your Japanese will improve.	Generic/good-result condition	条件 + ば + 良い結果	Positive consequence	Study daily → better Japanese	たら conditional (specific)	[sound:4c589bfd4145.mp3]	module:02-n4 jlpt:n4 point:ば complexity:standard frequency:top10k source:shin-kanzen sense:conditionals
水を冷やせば、氷になります。	みずをひやせば、こおりになります。	If you cool water, it becomes ice.	Generic condition with state change	条件 + ば + 変化	Transformation result	Cool water → ice	と conditional (automatic)	[sound:ab1583793d37.mp3]	module:02-n4 jlpt:n4 point:ば complexity:standard frequency:top10k source:shin-kanzen sense:conditionals
この薬を飲めば、病気が治ります。	このくすりをのめば、びょうきがなおります。	If you take this medicine, the illness will be cured.	Generic good-result condition	条件 + ば + 治癒	Positive remedy result	Medicine → cure	たら conditional (specific)	[sound:e771c3cbee51.mp3]	module:02-n4 jlpt:n4 point:ば complexity:standard frequency:top1k source:shin-kanzen sense:conditionals
説明を聞けば、誰でも理解できます。	せつめいをきけば、だれでもりかいできます。	If you listen to the explanation, anyone can understand.	Generic ability condition	条件 + ば + 能力	Generic comprehension	Listen → understand	と conditional (automatic)	[sound:2233ad85f483.mp3]	module:02-n4 jlpt:n4 point:ば complexity:standard frequency:top10k source:shin-kanzen sense:conditionals
値段が安ければ、買うかもしれません。	ねだんがやすければ、かうかもしれません。	If the price is low, I might buy it.	Hypothetical tendency	条件 + ば + 傾向	ば: conditional tendency — low price MIGHT persuade; not full certainty	Cheap price → might buy	たら conditional (specific)	[sound:a6a715611094.mp3]	module:02-n4 jlpt:n4 point:ば complexity:standard frequency:top5k source:shin-kanzen sense:conditionals
電車に乗れば、駅に着きます。	でんしゃにのれば、えきについます。	If you take the train, you'll arrive at the station.	Generic method condition	手段 + ば + 結果	Generic result	Train → station	と conditional (automatic)	[sound:0296d331d8da.mp3]	module:02-n4 jlpt:n4 point:ば complexity:standard frequency:top1k source:shin-kanzen sense:conditionals
日本語が上手ければ、仕事が見つかりやすいです。	にほんごがじょうずければ、しごとがみつかりやすいです。	If your Japanese is good, it's easier to find work.	Adjective hypothetical condition	形容詞 + ば + 利点	Advantage condition	Good Japanese → easier job search	たら conditional (specific)	[sound:8a30d29b1ed3.mp3]	module:02-n4 jlpt:n4 point:ば complexity:standard frequency:top10k source:shin-kanzen sense:conditionals
朝早く起きれば、時間に余裕があります。	あさはやくおきれば、じかんによゆうがあります。	If you wake up early in the morning, you have time to spare.	Good-result condition	条件 + ば + 利点	Positive consequence	Early wake → plenty of time	たら conditional (specific)	[sound:f69a077f3bb3.mp3]	module:02-n4 jlpt:n4 point:ば complexity:standard frequency:top10k source:shin-kanzen sense:conditionals
静かであれば、寝やすいです。	しずかであれば、ねやすいです。	If it's quiet, it's easy to sleep.	Adjective condition (な-adj)	な形容詞 + ば + 便利	Convenient condition	Quiet → easy to sleep	たら conditional (specific)	[sound:f7a16aba05aa.mp3]	module:02-n4 jlpt:n4 point:ば complexity:standard frequency:top1k source:shin-kanzen sense:conditionals
元気であれば、仕事に行けます。	げんきであれば、しごとにいけます。	If you're in good health, you can go to work.	な-adjective hypothetical	な形容詞 + ば + 能力	Conditional ability	Good health → can work	たら conditional (specific)	[sound:3c5082261b71.mp3]	module:02-n4 jlpt:n4 point:ば complexity:standard frequency:top1k source:shin-kanzen sense:conditionals
興味があれば、参加してください。	きょうみがあれば、さんかしてください。	If you're interested, please participate.	Generic conditional invitation	条件 + ば + 招待	Conditional participation	Interest → participate	たら conditional (specific)	[sound:27eb6757b833.mp3]	module:02-n4 jlpt:n4 point:ば complexity:standard frequency:top10k source:shin-kanzen sense:conditionals
