#separator:tab
#html:true
#columns:JP	OptionA	OptionB	Answer	Why	Tip	Audio	Tags
#notetype:Contrast
#
#deck:Japanese Grammar (Strict)::13 - L1 Interference::Contrast

学生です	学生です	学生です	学生です	I am a student (no article needed)	Drop English 'a'	[sound:1156be0eef82.mp3]	module:13-l1 point:l1-articles-and-number frequency:top1k complexity:intro confusable-with:学生です source:curated-jpgram
猫を飼っています	猫を飼っています	猫を飼っています	猫を飼っています	I am raising a cat (no article)	Drop English 'a'	[sound:ea558070b6b6.mp3]	module:13-l1 point:l1-articles-and-number frequency:top1k complexity:intro confusable-with:猫を飼っています source:curated-jpgram
本を読みました	本を読みました	本を読みました	本を読みました	I read a book (no article)	Drop English 'a'	[sound:bb1a0c98cb52.mp3]	module:13-l1 point:l1-articles-and-number frequency:top10k complexity:intro confusable-with:本を読みました source:curated-jpgram
机の上にペンがあります	机の上にペンがあります	机の上にペンがあります	机の上にペンがあります	There is a pen on the desk	Drop English 'a'	[sound:7f83bee072da.mp3]	module:13-l1 point:l1-articles-and-number frequency:top1k complexity:intro confusable-with:机の上にペンがあります source:curated-jpgram
りんごを食べました	りんごを食べました	りんごを食べました	りんごを食べました	I ate an apple (no article)	Drop English 'an'	[sound:acb5d4029673.mp3]	module:13-l1 point:l1-articles-and-number complexity:intro confusable-with:りんごを食べました source:curated-jpgram
病院に行きました	病院に行きました	病院に行きました	病院に行きました	I went to a hospital (no article)	Drop English 'a'	[sound:68e83cd35ee9.mp3]	module:13-l1 point:l1-articles-and-number frequency:top10k complexity:intro confusable-with:病院に行きました source:curated-jpgram
花を育てています	花を育てています	花を育てています	花を育てています	I am growing a flower	Drop English 'a'	[sound:b9d77bd3132f.mp3]	module:13-l1 point:l1-articles-and-number frequency:top1k complexity:intro confusable-with:花を育てています source:curated-jpgram
子ども がいます	子ども がいます	子ども がいます	子ども がいます	I have a child	Drop English 'a'	[sound:9f4e02e21f7d.mp3]	module:13-l1 point:l1-articles-and-number frequency:top5k complexity:intro confusable-with:子ども-がいます source:curated-jpgram
車を持っています	車を持っています	車を持っています	車を持っています	I own a car	Drop English 'a'	[sound:37dec91fcd34.mp3]	module:13-l1 point:l1-articles-and-number frequency:top1k complexity:intro confusable-with:車を持っています source:curated-jpgram
約束をしました	約束をしました	約束をしました	約束をしました	I made a promise	Drop English 'a'	[sound:22aee9b140f9.mp3]	module:13-l1 point:l1-articles-and-number frequency:top5k complexity:intro confusable-with:約束をしました source:curated-jpgram
