#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::06 - Keigo::Recognition
私が伺います。	わたしがうかがいます。	I will visit/inquire.	謙譲語	伺う	humble visiting	visit/inquire	[sound:b05267d457a5.mp3]	[sound:b05267d457a5.mp3]	module:06-keigo point:kenjogo-verbs complexity:intro frequency:top1k
申し上げます。	もうしあげます。	I say (humble).	謙譲語	申し上げる	humble speaking	say	[sound:ecf99a758e5d.mp3]	[sound:ecf99a758e5d.mp3]	module:06-keigo point:kenjogo-verbs complexity:intro frequency:top1k
私がいたします。	わたしがいたします。	I will do.	謙譲語	いたす	humble doing	do	[sound:b249c6eea0be.mp3]	[sound:b249c6eea0be.mp3]	module:06-keigo point:kenjogo-verbs complexity:intro frequency:top1k
その絵を拝見いたします。	そのえをはいけんいたします。	I will humbly view that picture.	謙譲語	拝見する	humble viewing	view	[sound:3d454c3ffca6.mp3]	[sound:3d454c3ffca6.mp3]	module:06-keigo point:kenjogo-verbs complexity:intro frequency:top5k
承らせていただきます。	うけたまわらせていただきます。	I humbly accept.	謙譲語	承る	humble accepting	accept	[sound:03156eee44c3.mp3]	[sound:03156eee44c3.mp3]	module:06-keigo point:kenjogo-verbs complexity:intro
存じておりません。	ぞんじておりません。	I don't know (humble).	謙譲語	存じている	humble knowing (neg)	know	[sound:abfd80bdbc2a.mp3]	[sound:abfd80bdbc2a.mp3]	module:06-keigo point:kenjogo-verbs complexity:intro
いただきました。	いただきました。	I humbly received.	謙譲語	いただく	humble receiving	receive	[sound:d329d1c88756.mp3]	[sound:d329d1c88756.mp3]	module:06-keigo point:kenjogo-verbs complexity:intro
承知いたしました。	しょうちいたしました。	I understand.	謙譲語	承知する	humble understanding	understand	[sound:d6f63de5f5c5.mp3]	[sound:d6f63de5f5c5.mp3]	module:06-keigo point:kenjogo-verbs complexity:intro frequency:top5k
ご覧に入れます。	ごらんにいれます。	I will show you.	謙譲語	御覧に入れる	humble showing	show	[sound:0f23ee9e51b8.mp3]	[sound:0f23ee9e51b8.mp3]	module:06-keigo point:kenjogo-verbs complexity:intro
申します。	もうします。	I say (humble).	謙譲語	申す	humble speaking	say	[sound:bd662dbaa6ff.mp3]	[sound:bd662dbaa6ff.mp3]	module:06-keigo point:kenjogo-verbs complexity:intro
