#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::08 - Slang::Recognition
#
えぐい、そのゲーム。	えぐい、そのげーむ。	That game is intense.	Gen-Z extreme	Grotesque → extreme	Extreme reaction	Youth slang		[sound:28f2b985b243.mp3]	register:slang domain:gen-z module:08-slang point:gen-z-slang complexity:intro frequency:top10k
えぐいやん、マジで。	えぐいやん、まじで。	That's seriously intense.	Kansai youth	えぐい + やん	Emphasis particle	Regional youth		[sound:daad27b12e08.mp3]	register:slang domain:gen-z module:08-slang point:gen-z-slang complexity:intro
それな、わかるわ。	それな、わかるわ。	That's so true, I get it.	Relatable agreement	それ + な affirmation	Relatable response	Youth bonding		[sound:89db8feb6247.mp3]	register:slang domain:gen-z module:08-slang point:gen-z-slang complexity:intro
まじ、ウケる。	まじ、ウケる。	That's seriously funny.	Humor reaction	マジ + ウケる	Laugh response	Youth humor		[sound:832df564fabe.mp3]	register:slang domain:gen-z module:08-slang point:gen-z-slang complexity:intro
チル、いいよね。	ちる、いいよね。	Chill vibes are nice.	Relaxation slang	Chill English origin	Relaxation praise	Mood descriptor		[sound:5e40896b49ed.mp3]	register:slang domain:gen-z module:08-slang point:gen-z-slang complexity:intro
ヤバい、その見た目。	やばい、そのみたため。	Dude, that look is wild.	Fashion reaction	ヤバい ambiguous	Reaction particle	Fashion comment		[sound:aeaeef366b4d.mp3]	register:slang domain:gen-z module:08-slang point:gen-z-slang complexity:intro frequency:top1k
ポシャったよ、計画。	ぽしゃったよ、けいかく。	The plan fell apart.	Plan failure	ポシャる failure	Failure consequence	Negative outcome		[sound:700b0984cc29.mp3]	register:slang domain:gen-z module:08-slang point:gen-z-slang complexity:intro frequency:top5k
バエる写真撮ろう。	ばえるしゃしんとろう。	Let's take Insta-worthy shots.	Instagram slang	映える visual	Photo planning	Social media		[sound:7bad2f7bcdda.mp3]	register:slang domain:gen-z module:08-slang point:gen-z-slang complexity:intro frequency:top1k
だぶだぶの服が好き。	だぶだぶのふくがすき。	I like oversized clothes.	Fashion preference	だぶだぶ loose	Oversized style	Fashion descriptor		[sound:82b37554abda.mp3]	register:slang domain:gen-z module:08-slang point:gen-z-slang complexity:intro frequency:top1k
チョーかわいい。	ちょーかわいい。	Super duper cute.	Emphasis extreme	チョー super + cute	Cuteness expression	Youth enthusiasm		[sound:f89ddfcc336f.mp3]	register:slang domain:gen-z module:08-slang point:gen-z-slang complexity:intro
ザ、レトロだね。	ざ、れとろだね。	That's totally retro.	Type classification	ザ quintessential	Classic type	Descriptor prefix		[sound:77a53ffad861.mp3]	register:slang domain:gen-z module:08-slang point:gen-z-slang complexity:intro
めっちゃおもろい。	めっちゃおもろい。	That's super funny.	Casual funny	めっちゃ very + funny	Humor emphasis	Youth slang		[sound:c9cbcaf3dc61.mp3]	register:slang domain:gen-z module:08-slang point:gen-z-slang complexity:intro
ダルダルで勉強できない。	だるだるでべんきょうできない。	I'm too lazy to study.	Extreme laziness	ダルい → ダルダル	Mood description	Laziness metaphor		[sound:3902e7eb71a5.mp3]	register:slang domain:gen-z module:08-slang point:gen-z-slang complexity:intro frequency:top1k
ウケる、そのセンス。	ウケる、そのせんす。	That sense of humor is hilarious.	Humor appreciation	ウケる amuse	Funny reaction	Youth laughter		[sound:8307d7d92f27.mp3]	register:slang domain:gen-z module:08-slang point:gen-z-slang complexity:intro frequency:low
スルー技持ってる。	するーわざもってる。	I ignored it.	Dismissal action	Skip/pass over	Ignored response	Social behavior		[sound:0a154df21211.mp3]	register:slang domain:gen-z module:08-slang point:gen-z-slang complexity:intro frequency:low
サッする気ないな。	さっするきないな。	I have no intention to deal with it.	Lazy dismissal	サッ quick	Quick dismissal	Lazy attitude		[sound:5e1f2bd10a21.mp3]	register:slang domain:gen-z module:08-slang point:gen-z-slang complexity:intro frequency:top5k
ジツ、やばくない？	じつ、やばくない。	Seriously, isn't that crazy?	Reality check	ジツ truth/reality	Rhetorical question	Reality emphasis		[sound:bb1828977b0a.mp3]	register:slang domain:gen-z module:08-slang point:gen-z-slang complexity:intro
クソゲーだよ。	くそげーだよ。	It's a crappy game.	Game criticism	クソ crap/bad	Harsh judgment	Game complaint		[sound:baf4038d9107.mp3]	register:slang domain:gen-z module:08-slang point:gen-z-slang complexity:intro
ホント、つらい。	ほんと、つらい。	Seriously, it's tough.	Sympathy expression	本当に truly	Empathetic statement	Acknowledgment		[sound:b012a3e87b0c.mp3]	register:slang domain:gen-z module:08-slang point:gen-z-slang complexity:intro
ザンス、了解。	ざんす、りょうかい。	Roger that, understood.	Casual acknowledgment	ザンス understating	Quick confirmation	Chat agreement		[sound:b56f52d7938f.mp3]	register:slang domain:gen-z module:08-slang point:gen-z-slang complexity:intro frequency:low
ヤバい、全部食べちゃった。	やばい、ぜんぶたべちゃった。	Oh no, I ate it all.	Mild distress	ヤバい surprise	Mild panic reaction	Casual reaction		[sound:17eac5401fad.mp3]	register:slang domain:gen-z module:08-slang point:gen-z-slang complexity:intro frequency:top1k
アゲアゲだね。	あげあげだね。	You're in a great mood.	Mood elevation	上がる → アゲアゲ	High spirits	Positive mood		[sound:06f23c31eade.mp3]	register:slang domain:gen-z module:08-slang point:gen-z-slang complexity:intro
推し活、楽しい。	おしかつ、たのしい。	Supporting my favorite is fun.	Fandom lifestyle	推し favorite activity	Fan life	Idol culture		[sound:881b460a4735.mp3]	register:slang domain:gen-z module:08-slang point:gen-z-slang complexity:intro frequency:top1k
バズった、その投稿。	ばずった、そのとうこう。	That post went viral.	Social media success	Buzz English origin	Viral moment	Online success		[sound:505dfaa6fa26.mp3]	register:slang domain:gen-z module:08-slang point:gen-z-slang complexity:intro
推しの新曲、最高。	おしのしんきょく、さいこう。	My favorite's new song is amazing.	Idol appreciation	推し new song	Music praise	Idol fandom		[sound:a722cf183c5a.mp3]	register:slang domain:gen-z module:08-slang point:gen-z-slang complexity:intro frequency:top10k
オタ活楽しいな。	おたかつたのしいな。	Fan activities are fun.	Hobby appreciation	オタ activity	Fun hobby	Fandom lifestyle		[sound:885203b653dc.mp3]	register:slang domain:gen-z module:08-slang point:gen-z-slang complexity:intro frequency:top1k
