#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::08 - Slang & Internet Speech::Recognition
#
タピオ		Chat typo shorthand vs full word	contrast-derived	タピオ	Chat typo shorthand vs full word	Internet culture	タピオカ vs タピオ	[sound:6c0cad0e15e6.mp3]	register:slang module:08-slang point:slang complexity:intro confusable-with:タピオカ source:tofugu
キモイ		Slang adjective vs formal phrase	contrast-derived	キモイ	Slang adjective vs formal phrase	Web slang register	気持ちが悪い vs キモイ	[sound:d1dd1ee22ff7.mp3]	register:slang module:08-slang point:slang complexity:intro confusable-with:気持ちが悪い source:tofugu
ワロタ		Internet laugh form vs normal past	contrast-derived	ワロタ	Internet laugh form vs normal past	Textspeak evolution	笑った vs ワロタ	[sound:7007ce374665.mp3]	register:slang module:08-slang point:slang complexity:intro confusable-with:笑った source:tofugu
マジで		Casual reality vs formal	contrast-derived	マジで	Casual reality vs formal	Formality spectrum	本当に vs マジで	[sound:da3be97f351c.mp3]	register:slang module:08-slang point:slang complexity:intro confusable-with:本当に source:tofugu
めっちゃ		Casual intensifier vs formal	contrast-derived	めっちゃ	Casual intensifier vs formal	Register spectrum	とても vs めっちゃ	[sound:8d462c75940c.mp3]	register:slang module:08-slang point:slang complexity:intro confusable-with:とても source:tofugu
ウケる		Reaction verb vs static adjective	contrast-derived	ウケる	Reaction verb vs static adjective	Expression type	面白い vs ウケる	[sound:b3d3676ee3c5.mp3]	register:slang module:08-slang point:slang complexity:intro confusable-with:面白い source:tofugu
イケメン		Slang noun vs formal description	contrast-derived	イケメン	Slang noun vs formal description	Modern colloquialism	美しい男性 vs イケメン	[sound:090237d3922e.mp3]	register:slang module:08-slang point:slang complexity:intro confusable-with:美しい男性 source:tofugu
チョー		Youth slang vs formal intensifier	contrast-derived	チョー	Youth slang vs formal intensifier	Age register	とても vs チョー	[sound:55e1784d6dbd.mp3]	register:slang module:08-slang point:slang complexity:intro confusable-with:とても source:tofugu
ぐぐる		Internet verb vs formal verb	contrast-derived	ぐぐる	Internet verb vs formal verb	Tech culture jargon	検索する vs ぐぐる	[sound:d0a815ee195f.mp3]	register:slang module:08-slang point:slang complexity:intro confusable-with:検索する source:tofugu
リア会		Chat abbreviation vs polite phrase	contrast-derived	リア会	Chat abbreviation vs polite phrase	Online culture	面で会う vs リア会	[sound:3c5f30f9b972.mp3]	register:slang module:08-slang point:slang complexity:intro confusable-with:面で会う source:tofugu
オススメ		Casual recommendation vs formal	contrast-derived	オススメ	Casual recommendation vs formal	Register choice	推奨 vs オススメ	[sound:430ec426d5a2.mp3]	register:slang module:08-slang point:slang complexity:intro confusable-with:推奨 source:tofugu
えぐい		Gen-Z extreme vs normal adjective	contrast-derived	えぐい	Gen-Z extreme vs normal adjective	Youth register	激しい vs えぐい	[sound:d23b9d82d71a.mp3]	register:slang module:08-slang point:slang complexity:intro confusable-with:激しい source:tofugu
ポシャる		Slang failure verb vs formal	contrast-derived	ポシャる	Slang failure verb vs formal	Colloquialism	失敗する vs ポシャる	[sound:87c4a420a34f.mp3]	register:slang module:08-slang point:slang complexity:intro confusable-with:失敗する source:tofugu
バエる		Social media slang vs standard form	contrast-derived	バエル	Social media slang vs standard form	Modern internet term	映える vs バエル	[sound:5c7b739e632b.mp3]	register:slang module:08-slang point:slang complexity:intro confusable-with:映える source:tofugu
推し		Fandom slang vs standard adjective	contrast-derived	推し	Fandom slang vs standard adjective	Fandom terminology	好きな vs 推し	[sound:3a1d33ea584e.mp3]	register:slang module:08-slang point:slang complexity:intro confusable-with:好きな source:tofugu
スルー		English loanword slang vs Japanese	contrast-derived	スルー	English loanword slang vs Japanese	Loanword culture	無視する vs スルー	[sound:de62a68dff68.mp3]	register:slang module:08-slang point:slang complexity:intro confusable-with:無視する source:tofugu
クソ		Vulgar intensifier vs formal	contrast-derived	クソ	Vulgar intensifier vs formal	Register vulgarity	ひどい vs クソ	[sound:7945ee53fab8.mp3]	register:slang module:08-slang point:slang complexity:intro confusable-with:ひどい source:tofugu
ヤバい		Ambiguous slang vs specific meaning	contrast-derived	ヤバい	Ambiguous slang vs specific meaning	Polysemy	危ない vs ヤバい	[sound:1397ac0d88de.mp3]	register:slang module:08-slang point:slang complexity:intro confusable-with:危ない source:tofugu
ダルい		Slang lazy vs past tense tired	contrast-derived	ダルい	Slang lazy vs past tense tired	Semantic difference	疲れた vs ダルい	[sound:20aa40f81514.mp3]	register:slang module:08-slang point:slang complexity:intro confusable-with:疲れた source:tofugu
アホ		Regional mild insult variants	contrast-derived	アホ	Regional mild insult variants	Dialect choice	バカ vs アホ	[sound:1fe325ea37d9.mp3]	register:slang module:08-slang point:slang complexity:intro confusable-with:バカ source:tofugu
