#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#
#deck:Japanese Grammar (Strict)::05 - N1 Grammar::Production

Because I worked hard, I succeeded.	V-た + からこそ	がんばったからこそせいこうした。	頑張ったからこそ成功した。	causation	[sound:699063377f7f.mp3]	module:05-n1 jlpt:n1 point:からある complexity:standard frequency:top10k source:shin-kanzen
It's through failure that we grow.	noun + ばこそ	しっぱいがあればこそせいちょうできる。	失敗があればこそ成長できる。	lesson learning	[sound:0f06e8e0d422.mp3]	module:05-n1 jlpt:n1 point:からある complexity:standard frequency:top10k source:shin-kanzen
All he does is ask questions.	noun + ばかり	かれはぎもんばかりいっている。	彼は疑問ばかり言っている。	exclusive action	[sound:0217c37fe5dd.mp3]	module:05-n1 jlpt:n1 point:からある complexity:standard frequency:top10k source:shin-kanzen
Time keeps passing.	noun + ばかり	じかんばかりがたつ。	時間ばかりが経つ。	sole progression	[sound:bd02e9e626b3.mp3]	module:05-n1 jlpt:n1 point:からある complexity:intro frequency:top10k source:shin-kanzen
It's as good as the famous restaurant's reputation suggests.	noun + だけのことはある	ゆうめいなみせだけのことはある。	有名な店だけのことはある。	worthiness	[sound:ea16156a0664.mp3]	module:05-n1 jlpt:n1 point:からある complexity:standard frequency:top1k source:shin-kanzen
The effort paid off.	V-た + だけのことはある	どりょくしただけのことはある。	努力しただけのことはある。	reward	[sound:d59ba8ecbb33.mp3]	module:05-n1 jlpt:n1 point:からある complexity:standard frequency:top10k source:shin-kanzen
Being a pro, he's skilled.	noun + だけあって	ぷろだけあってじょうずだ。	プロだけあって上手だ。	expected result	[sound:e721d664df8d.mp3]	module:05-n1 jlpt:n1 point:からある complexity:intro frequency:top10k source:shin-kanzen
Precisely because he practices daily, he succeeded.	V-ing + だけに	まいにちれんしゅうしているだけにせいこうした。	毎日練習しているだけに成功した。	deliberate cause	[sound:62c6cc27b126.mp3]	module:05-n1 jlpt:n1 point:からある complexity:standard frequency:top10k source:shin-kanzen
It's not that serious.	degree + ほどの...ではない	そこまでのことではない。	そこまでのことではない。	understatement	[sound:768c9ef5c5c4.mp3]	module:05-n1 jlpt:n1 point:からある complexity:intro source:shin-kanzen
It wasn't as surprising as I imagined.	noun + ほどの...ではない	そうぞうほどのおどろきではなかった。	想像ほどの驚きではなかった。	comparison	[sound:eb238169fbb3.mp3]	module:05-n1 jlpt:n1 point:からある complexity:standard frequency:top10k source:shin-kanzen
It's not that price; it's double.	noun + どころの...ではない	そんなねだんではない、ばいだ。	そんな値段ではない、倍だ。	complete contradiction	[sound:40362f9d5f74.mp3]	module:05-n1 jlpt:n1 point:からある complexity:intro frequency:top5k source:shin-kanzen
Such a possibility is not entirely absent.	V + なくはない	そのようなかのうせいがなくはない。	そのような可能性がなくはない。	qualified affirmation	[sound:87e7a30a2e73.mp3]	module:05-n1 jlpt:n1 point:からある complexity:standard frequency:top10k source:shin-kanzen
It's not entirely bad.	adj + ないでもない	わるいともいえないでもない。	悪いとも言えないでもない。	double negation	[sound:b12ba1aedb2a.mp3]	module:05-n1 jlpt:n1 point:からある complexity:standard frequency:top1k source:shin-kanzen
