#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#deck:Japanese Grammar::12 - Beyond N1::Production
#
Important technology is rapidly evolving in the energy sector.	～において	じゅうようなやくわりをになっているぎじゅつは、えねるぎーぶんやにおいてきゅうそくにしんかしている。	重要な役割を担っている技術は、エネルギー分野において急速に進化している。	Formal context specification	[sound:d306391e51a8.mp3]	module:12-beyond-n1 jlpt:beyond point:academic-jargon complexity:advanced frequency:low source:dictionary-of-jp-grammar
In future research, more detailed analysis is necessary.	～においては	こんごのけんきゅうにおいては、よりしょうさいなぶんせきがひつようである。	今後の研究においては、より詳細な分析が必要である。	Setting conditions for discussion	[sound:41ae82f99dc6.mp3]	module:12-beyond-n1 jlpt:beyond point:academic-jargon complexity:standard frequency:low source:dictionary-of-jp-grammar
This trend is also observed in international politics.	～においても	こくさいせいじにおいても、このとれんどがみられる。	国際政治においても、このトレンドが見られる。	Expanding across domains	[sound:c338a8ddb260.mp3]	module:12-beyond-n1 jlpt:beyond point:academic-jargon complexity:standard frequency:top5k source:dictionary-of-jp-grammar
In economics, multiple approaches exist.	～においては	けいざいがくのぶんやにおいては、ふくすうのあぷろーちがそんざいする。	経済学の分野においては、複数のアプローチが存在する。	Academic subdomain focus	[sound:c66c473c1dd3.mp3]	module:12-beyond-n1 jlpt:beyond point:academic-jargon complexity:standard frequency:low source:dictionary-of-jp-grammar
Similar results were obtained in the lab as well.	～においても	じっけんしつにおいても、どうようのけっかがえられた。	実験室においても、同様の結果が得られた。	Reinforcing across contexts	[sound:11c7569f077a.mp3]	module:12-beyond-n1 jlpt:beyond point:academic-jargon complexity:standard frequency:top10k source:dictionary-of-jp-grammar
Research on climate change is increasing rapidly.	～に関する	きこうへんどうにかんするけんきゅうがきゅうぞうしている。	気候変動に関する研究が急増している。	Introducing subject matter	[sound:f830de1255fc.mp3]	module:12-beyond-n1 jlpt:beyond point:academic-jargon complexity:standard frequency:low source:dictionary-of-jp-grammar
Please share your thoughts regarding this policy.	～に関してのご	せいさくにかんしてのごいけんをおきかせください。	政策に関してのご意見をお聞かせください。	Polite request format	[sound:6c97bb7c5aad.mp3]	module:12-beyond-n1 jlpt:beyond point:academic-jargon complexity:standard frequency:low source:dictionary-of-jp-grammar
Budget will be decided in a separate meeting.	～に関しては	よさんにかんしては、べっとのかいぎでけっていされる。	予算に関しては、別途の会議で決定される。	Setting aside specific aspect	[sound:e9dde2ca67aa.mp3]	module:12-beyond-n1 jlpt:beyond point:academic-jargon complexity:standard frequency:top10k source:dictionary-of-jp-grammar
Providing health information is extremely important.	～に関する	けんこうにかんするじょうほうていきょうはきわめてじゅうようである。	健康に関する情報提供は極めて重要である。	Knowledge domain specification	[sound:cf823b3788bd.mp3]	module:12-beyond-n1 jlpt:beyond point:academic-jargon complexity:standard frequency:low source:dictionary-of-jp-grammar
Regarding environment, the state has responsibility.	～に関して	かんきょうもんだいにかんして、こっかはせきにんをおう。	環境問題に関して、国家は責任を負う。	Stating obligations formally	[sound:337667424a47.mp3]	module:12-beyond-n1 jlpt:beyond point:academic-jargon complexity:standard frequency:top10k source:dictionary-of-jp-grammar
Conflict over territorial issues continues.	～をめぐる	りょうどもんだいをめぐるたいりつがつづいている。	領土問題をめぐる対立が続いている。	Central dispute point	[sound:92e4ff4638a5.mp3]	module:12-beyond-n1 jlpt:beyond point:academic-jargon complexity:standard frequency:low source:dictionary-of-jp-grammar
Heated debate surrounds the new bill.	～をめぐって	あたらしいほうあんをめぐって、ぎろんがはくねつしている。	新しい法案をめぐって、議論が白熱している。	Discussion center point	[sound:28834925a31f.mp3]	module:12-beyond-n1 jlpt:beyond point:academic-jargon complexity:standard frequency:low source:dictionary-of-jp-grammar
Resource competition complicates international relations.	～をめぐる	しげんをめぐるきょうそうがこくさいかんけいをふくざつにしている。	資源をめぐる競争が国際関係を複雑にしている。	Key competition point	[sound:740352366b86.mp3]	module:12-beyond-n1 jlpt:beyond point:academic-jargon complexity:standard frequency:top10k source:dictionary-of-jp-grammar
Looking at data, the economy shows recovery.	～を見ると	でーたをみると、けいきはかいふくけいこうをしめしている。	データを見ると、景気は回復傾向を示している。	Drawing from evidence	[sound:7c03e9875b40.mp3]	module:12-beyond-n1 jlpt:beyond point:academic-jargon complexity:standard frequency:top10k source:dictionary-of-jp-grammar
Looking at history, similar patterns repeat.	～を見ると	れきしをみると、どうようのぱたーんがくりかえされている。	歴史を見ると、同様のパターンが繰り返されている。	Historical evidence reference	[sound:04bd4f8f5efd.mp3]	module:12-beyond-n1 jlpt:beyond point:academic-jargon complexity:standard frequency:low source:dictionary-of-jp-grammar
Many countries experienced economic crisis.	～に遭う	おおくのくにがけいざいききにあった。	多くの国が経済危機に遭った。	Experiencing adverse event	[sound:83870f5725f9.mp3]	module:12-beyond-n1 jlpt:beyond point:academic-jargon complexity:standard frequency:low source:dictionary-of-jp-grammar
He suffered a serious accident.	～に遭う	かれはじゅうだいなじこにあってしまった。	彼は重大な事故に遭ってしまった。	Unexpected negative event	[sound:467052a48bc7.mp3]	module:12-beyond-n1 jlpt:beyond point:academic-jargon complexity:standard frequency:top10k source:dictionary-of-jp-grammar
The economy fell into serious recession.	～に陥る	けいざいはしんこくなふきょうにおちった。	経済は深刻な不況に陥った。	Entering negative condition	[sound:6b652e275711.mp3]	module:12-beyond-n1 jlpt:beyond point:academic-jargon complexity:standard frequency:low source:dictionary-of-jp-grammar
When emotional, people easily fall into error.	～に陥る	かんじょうてきになると、にんはあやまりにおちいりやすい。	感情的になると、人は誤りに陥りやすい。	Tendency to enter bad state	[sound:b98bfa09ec2a.mp3]	module:12-beyond-n1 jlpt:beyond point:academic-jargon complexity:standard frequency:top10k source:dictionary-of-jp-grammar
The impact remained limited.	～にとどまる	えいきょうはげんていてきなれべるにとどまった。	影響は限定的なレベルにとどまった。	Restricted level	[sound:885fd8c89e16.mp3]	module:12-beyond-n1 jlpt:beyond point:academic-jargon complexity:standard frequency:low source:dictionary-of-jp-grammar
Reform results remain superficial.	～にとどまる	かいかくのせいかはひょうめんてきなへんかにとどまっている。	改革の成果は表面的な変化にとどまっている。	Staying at surface	[sound:e50f9aace2d9.mp3]	module:12-beyond-n1 jlpt:beyond point:academic-jargon complexity:standard frequency:low source:dictionary-of-jp-grammar
Many social problems stem from poverty.	～に起因する	おおくのしゃかいもんだいはひんこんにきいんする。	多くの社会問題は貧困に起因する。	Underlying cause identification	[sound:8d2a0e8e46d5.mp3]	module:12-beyond-n1 jlpt:beyond point:academic-jargon complexity:standard frequency:low source:dictionary-of-jp-grammar
Economic losses from war are enormous.	～に起因する	せんそうにきいんするけいざいてきそんしつはじんだいである。	戦争に起因する経済的損失は甚大である。	Formal causal attribution	[sound:a5820eb04890.mp3]	module:12-beyond-n1 jlpt:beyond point:academic-jargon complexity:standard frequency:low source:dictionary-of-jp-grammar
This report is based on latest data.	～に基づいている	このれぽーとはさいしんのでーたにもとづいている。	このレポートは最新のデータに基づいている。	Evidence foundation	[sound:348a6df7ea7b.mp3]	module:12-beyond-n1 jlpt:beyond point:academic-jargon complexity:standard frequency:top10k source:dictionary-of-jp-grammar
Law-based judgment is necessary.	～に基づいた	ほうりつにもとづいたはんだんがひつようである。	法律に基づいた判断が必要である。	Law-grounded decision	[sound:da8cfbf4f1b7.mp3]	module:12-beyond-n1 jlpt:beyond point:academic-jargon complexity:standard frequency:top10k source:dictionary-of-jp-grammar
High achievements are expected from society.	～によって期待される	しゃかいからたかいせいかがきたいされる。	社会から高い成果が期待される。	External passive expectation	[sound:ec5a4912e296.mp3]	module:12-beyond-n1 jlpt:beyond point:academic-jargon complexity:standard frequency:low source:dictionary-of-jp-grammar
