#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#
#deck:Japanese Grammar (Strict)::02 - N4 Grammar::Production

Say: 'I like reading'	私は読書が好きです。	わたしはどくしょがすきです。	私は読書が好きです。	好き + noun	[sound:8ba387efdf36.mp3]	module:02-n4 jlpt:n4 point:ことができる complexity:standard source:shin-kanzen frequency:top10k complexity:intro
Say: 'I want to eat'	私は食べたいです。	わたしはたべたいです。	私は食べたいです。	たい = want to	[sound:2f77e0a2107a.mp3]	module:02-n4 jlpt:n4 point:ことができる complexity:intro source:shin-kanzen frequency:top1k
Say: 'It is fun to play'	遊ぶことは楽しいです。	あそぶことはたのしいです。	遊ぶことは楽しいです。	こと nominalization	[sound:64c0a5ca726c.mp3]	module:02-n4 jlpt:n4 point:ことができる complexity:standard source:shin-kanzen frequency:top1k complexity:intro
Say: 'Please explain it'	それを説明してください。	それをせつめいしてください。	それを説明してください。	te-form + ください	[sound:d74af4b3ca0f.mp3]	module:02-n4 jlpt:n4 point:ことができる complexity:standard source:shin-kanzen frequency:top5k complexity:intro
Say: 'I have to go'	私は行かなければなりません。	わたしはいかなければなりません。	私は行かなければなりません。	なければならない	[sound:cc99cb2a1bf6.mp3]	module:02-n4 jlpt:n4 point:ことができる complexity:intro source:shin-kanzen frequency:top1k complexity:standard
Say: 'You can't do it'	あなたはそれができません。	あなたはそれができません。	あなたはそれができません。	できる negative	[sound:1b7a67c3eb44.mp3]	module:02-n4 jlpt:n4 point:ことができる complexity:standard source:shin-kanzen
Say: 'It will be sunny'	明日は晴れるでしょう。	あしたははれるでしょう。	明日は晴れるでしょう。	でしょう=probably	[sound:102e15384eff.mp3]	module:02-n4 jlpt:n4 point:ことができる complexity:standard source:shin-kanzen frequency:top1k complexity:intro
Say: 'Please come here'	ここに来てください。	ここにきてください。	ここに来てください。	来る + て + ください	[sound:4e90c072bd6f.mp3]	module:02-n4 jlpt:n4 point:ことができる complexity:standard source:shin-kanzen frequency:top10k complexity:intro
Say: 'I know'	私は知っています。	わたしはしっています。	私は知っています。	ている=knowledge state	[sound:3c17c8fff433.mp3]	module:02-n4 jlpt:n4 point:ことができる complexity:intro source:shin-kanzen frequency:top1k
Say: 'It started raining'	雨が降り始めました。	あめがふりはじめました。	雨が降り始めました。	始める=start	[sound:ad16a353665e.mp3]	module:02-n4 jlpt:n4 point:ことができる complexity:standard source:shin-kanzen frequency:top1k complexity:intro
Say: 'It stopped raining'	雨が降るのをやめました。	あめがふるのをやめました。	雨が降るのをやめました。	やめる=stop	[sound:ce332b3c9f49.mp3]	module:02-n4 jlpt:n4 point:ことができる complexity:standard source:shin-kanzen frequency:top1k complexity:intro
Say: 'I remember you'	私はあなたを覚えています。	わたしはあなたをおぼえています。	私はあなたを覚えています。	覚える=remember	[sound:2183d0a2bb1a.mp3]	module:02-n4 jlpt:n4 point:ことができる complexity:standard source:shin-kanzen frequency:low
