#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#deck:Japanese Grammar::03 - N3 Grammar::Production

PM announces new policy.	主語、述語を省略	しゅしょう、しんせいさくをひょうめい	首相、新政策を表明	あり: news headline ellipsis — verb-final, no copula; formal announcement	[sound:edbd77b793eb.mp3]	module:03-n3 jlpt:n3 point:あり complexity:intro frequency:low source:dictionary-of-jp-grammar source:shin-kanzen
Opposition intensifies resistance.	～する	やとう、はんぱつつよめる	野党、反発強める	あり: headline predicate inversion — topic implied, action stated bluntly	[sound:935d61bd60ac.mp3]	module:03-n3 jlpt:n3 point:あり complexity:intro frequency:low source:dictionary-of-jp-grammar source:shin-kanzen
Market reacts to positive news.	を/は省略	しじょう、こうざいりょうにはんのう	市場、好材料に反応	あり: market-headline structure — domain + response as nominal predicate	[sound:d8d5236793d0.mp3]	module:03-n3 jlpt:n3 point:あり complexity:intro frequency:low source:dictionary-of-jp-grammar source:shin-kanzen
An accident occurred in which one died.	あり	じこがあり、ひとりがなくなった	事故があり、一人が亡くなった	〜があり、: formal causal conjunction — event X happened, enabling/causing Y	[sound:28cb7f8f8bdf.mp3]	module:03-n3 jlpt:n3 point:あり complexity:standard frequency:top5k source:dictionary-of-jp-grammar source:shin-kanzen
Economy stagnates with no recovery signs.	～し、～ない	けいざいがていたいし、かいふくのきざしがみえない	経済が停滞し、回復の兆しが見えない	〜し、: coordinating formal conjunction — chain of factual developments	[sound:54e402e65544.mp3]	module:03-n3 jlpt:n3 point:あり complexity:standard frequency:low source:dictionary-of-jp-grammar source:shin-kanzen
While levels maintained, concerns remain.	とはいえ	すいじゅんはたもたれたとはいえ、けねんはのこる	水準は保たれたとはいえ、懸念は残る	〜とはいえ: concessive acknowledgment — grants truth of X while asserting Y	[sound:b039f426b43a.mp3]	module:03-n3 jlpt:n3 point:あり complexity:standard frequency:low source:dictionary-of-jp-grammar source:shin-kanzen
Infections continue; measures urgent.	～し続け、～	かんせんはかくだいしつづけ、たいさくがきゅうむである	感染は拡大し続け、対策が急務である	〜続け、〜: progressive consequence — ongoing trend drives urgent conclusion	[sound:69f683b9959f.mp3]	module:03-n3 jlpt:n3 point:あり complexity:standard frequency:low source:dictionary-of-jp-grammar source:shin-kanzen
With successive scandals, criticism mounting.	相次ぐ	あいつぐふしょうじに、ひはんがたかまっている	相次ぐ不祥事に、批判が高まっている	〜に、〜: trigger-response — external event causes scaling reaction	[sound:65f3f61a2508.mp3]	module:03-n3 jlpt:n3 point:あり complexity:standard frequency:top10k source:dictionary-of-jp-grammar source:shin-kanzen
Government is being forced to respond.	迫られている	せいふがたいおうをせまられているきょくめんである	政府が対応を迫られている局面である	〜が〜ている局面: current-situation frame — labels the present moment formally	[sound:c26935d7511f.mp3]	module:03-n3 jlpt:n3 point:あり complexity:standard frequency:low source:dictionary-of-jp-grammar source:shin-kanzen
Decision amid economic slowdown concerns.	懸念される中での	けいきげんそくがけねんされるなかでのけっていである	景気減速が懸念される中での決定である	〜が〜される中での: backdrop clause — contextualizes decision amid concerns	[sound:3fbc5971c379.mp3]	module:03-n3 jlpt:n3 point:あり complexity:standard frequency:low source:dictionary-of-jp-grammar source:shin-kanzen
Measures for regional economic recovery implemented.	～に向けた	ちいきけいざいのかいふくにむけたしさくがこうじられた	地域経済の回復に向けた施策が講じられた	〜に向けた施策が: goal-directed policy — action aimed at stated outcome	[sound:77feb4976f05.mp3]	module:03-n3 jlpt:n3 point:あり complexity:standard frequency:top10k source:dictionary-of-jp-grammar source:shin-kanzen
Report says negotiations are stalled.	との報道である	こうしょうはなんこうしているとのほうどうである	交渉は難航しているとの報道である	〜との報道: reported claim — source explicitly distanced; indirect evidence	[sound:0c60c60bbe99.mp3]	module:03-n3 jlpt:n3 point:あり complexity:standard frequency:low source:dictionary-of-jp-grammar source:shin-kanzen
To meet surging demand, production expanded.	～すべく	じゅようきゅうぞうにたいおうすべく、せいさんをかくだいする	需要急増に対応すべく、生産を拡大する	〜すべく: purpose clause — formal/literary 'in order to' with prescriptive force	[sound:a3c5c69d65f1.mp3]	module:03-n3 jlpt:n3 point:あり complexity:standard frequency:low source:dictionary-of-jp-grammar source:shin-kanzen
Oil prices briefly rose, but soon fell.	～ものの	せきゆかかくはいちじじょうしょうしたものの、やがてげらくした	石油価格は一時上昇したものの、やがて下落した。	〜ものの、: concessive though — grants prior state while introducing reversal	[sound:7ec002b02a8b.mp3]	module:03-n3 jlpt:n3 point:あり complexity:standard frequency:low source:dictionary-of-jp-grammar source:shin-kanzen
Sales announced to fall far short of target.	下回った	うりあげだかはもくひょうをおおきくげかいったとはっぴょうされた	売上高は目標を大きく下回ったと発表された。	〜を大きく下回ったと: negative comparison reported — formal announcement of shortfall	[sound:03be03462e00.mp3]	module:03-n3 jlpt:n3 point:あり complexity:standard frequency:low source:dictionary-of-jp-grammar source:shin-kanzen
Budget debate stalled; schedule postponed.	～が決まった	よさんしんぎはなんこうし、にっていえんきがきまった	予算審議は難航し、日程延期が決まった	〜は〜し、〜が決まった: causal chain announcement — event A caused decision B	[sound:5737e731f56e.mp3]	module:03-n3 jlpt:n3 point:あり complexity:standard frequency:low source:dictionary-of-jp-grammar source:shin-kanzen
Market shaken by major firm bankruptcy news.	～に～が揺れている	おおてきぎょうのはたんほうどうにしじょうがゆれている	大手企業の破綻報道に市場が揺れている	〜に〜が揺れている: impact framing — shock from X causes systemic instability	[sound:8bc7c553303a.mp3]	module:03-n3 jlpt:n3 point:あり complexity:standard frequency:low source:dictionary-of-jp-grammar source:shin-kanzen
As virus cases increase, countermeasures strengthened.	～に伴い	しんがたういるすのかんせんしゃすうがぞうかするのにともない、たいさくもきょうかされた	新型ウイルスの感染者数が増加するのに伴い、対策も強化された。	〜のに伴い: proportional co-occurrence — as X scales, Y scales in parallel	[sound:4c6b8f2bdb35.mp3]	module:03-n3 jlpt:n3 point:あり complexity:advanced frequency:low source:dictionary-of-jp-grammar source:shin-kanzen
Heavy rain caused successive flooding in regions.	～により	おおあめによりかくちでしんすいひがいがあいつぎいだ	大雨により各地で浸水被害が相次いだ	〜により〜が相次いだ: external-cause enumeration — cause X produced recurring Y	[sound:911cca730056.mp3]	module:03-n3 jlpt:n3 point:あり complexity:standard frequency:low source:dictionary-of-jp-grammar source:shin-kanzen
