#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::02 - N4 Grammar::Recognition
#
AV自動的に起こる	あぶあるびあぶあぶあぶ	If you heat water to 100°C, it boils.	General truth/automatic consequence	条件 + と + 結果	Natural consequence	Water heating physics	ば conditional (hypothetical)	[sound:a971a68f1a9d.mp3]	
水を100℃に熱すると沸きます。	みずをひゃくどしたいにあつすると、ふきます。	If you heat water to 100°C, it boils.	General truth/automatic consequence	条件 + と + 結果	Natural consequence	Water heating physics	ば conditional (hypothetical)	[sound:d33cb4c8194f.mp3]	
毎日運動すると健康になります。	まいにちうんどうするときれいになります。	If you exercise every day, you become healthy.	General truth/automatic consequence	条件 + と + 結果	Natural consequence	Exercise and health	ば conditional (hypothetical)	[sound:0075d36c69a3.mp3]	
このボタンを押すと、ライトがつきます。	このぼたんをおすと、らいとがつきます。	If you press this button, the light turns on.	Automatic chain/trigger-result	条件 + と + 結果	Mechanical consequence	Button → light	ば conditional (hypothetical)	[sound:a68823d66625.mp3]	
冬になると、雪が降ります。	ふゆになると、ゆきがふります。	When winter comes, it snows.	Automatic seasonal consequence	季節 + と + 現象	Seasonal pattern	Winter = snow	ば conditional (hypothetical)	[sound:ea0457c8a7ba.mp3]	
朝になると鳥が歌います。	あさになるとりがうたいます。	When morning comes, birds sing.	Automatic temporal consequence	時間 + と + 現象	Temporal pattern	Morning bird song	ば conditional (hypothetical)	[sound:ccfbb025fcf9.mp3]	
塩を水に入れると、塩が解けます。	しおをみずにいれると、しおがとけます。	If you put salt in water, it dissolves.	Scientific consequence	条件 + と + 結果	Natural consequence	Salt dissolving	ば conditional (hypothetical)	[sound:8b0a4bb5383c.mp3]	
車が来ると、犬が吠えます。	くるまがくるときぬが、いぬがほえます。	When a car comes, the dog barks.	Trigger-response sequence	刺激 + と + 反応	Automatic response	Car triggers bark	ば conditional (hypothetical)	[sound:99552a06e9a6.mp3]	
人が多いと、歩くのが難しいです。	ひとがおおいと、あるくのがむずかしいです。	If there are many people, it's hard to walk.	Consequence condition	条件 + と + 結果	Natural consequence	Crowds make walking difficult	ば conditional (hypothetical)	[sound:8b711f4a28ed.mp3]	
電話をかけると、彼が出ました。	でんわをかけると、かれがでました。	When I called, he answered.	Sequential historical consequence	行動 + と + 結果	What happened next	Called → he picked up	ば conditional (hypothetical)	[sound:c571cb8d58bc.mp3]	
疲れると、頭が痛くなります。	つかれると、あたまがいたくなります。	When I get tired, I get a headache.	Cause-effect state consequence	状態 + と + 結果	Natural consequence	Fatigue → headache	ば conditional (hypothetical)	[sound:49f5d3e9c888.mp3]	
この映画を見ると、必ず泣きます。	このえいがをみると、かならずなきます。	Whenever I watch this movie, I definitely cry.	Habitual consequence	毎回 + と + 結果	What always happens	Movie = tears (habitual)	ば conditional (hypothetical)	[sound:a7dfdbdaabe8.mp3]	
