#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#deck:Japanese Grammar::03 - N3 Grammar::Production

I went home before it got worse.	V-neg + うちに / Adj + うちに / N + うちに	あめのなかではないうちに、かえった。	雨の中ではないうちに、帰った。	うちに: absence-window urgency — act before rain starts; window defined by ない state	[sound:a3a3694e0116.mp3]	module:03-n3 jlpt:n3 point:うちに complexity:standard frequency:top1k source:shin-kanzen
I finished prep before he arrived.	V-neg + うちに / Adj + うちに / N + うちに	かれがこないうちに、じゅんびをおわらせた。	彼が来ないうちに、準備を終わらせた。	うちに: counterparty-absence window — complete task before person arrives	[sound:e5dddcea2815.mp3]	module:03-n3 jlpt:n3 point:うちに complexity:standard frequency:top10k source:shin-kanzen
I noted it before I forgot.	V-neg + うちに / Adj + うちに / N + うちに	わすれないうちに、めもした。	忘れないうちに、メモした。	うちに: memory-window urgency — write note before the state of remembering fades	[sound:f2da93568248.mp3]	module:03-n3 jlpt:n3 point:うちに complexity:intro frequency:top10k source:shin-kanzen
I bought it while it was cheap.	V-neg + うちに / Adj + うちに / N + うちに	やすいうちに、かっておいた。	安いうちに、買っておいた。	うちに: price-window opportunity — buy while cheapness lasts; economical timing	[sound:f959d2a75afb.mp3]	module:03-n3 jlpt:n3 point:うちに complexity:intro frequency:top1k source:shin-kanzen
Let's decide before I change my mind.	V-neg + うちに / Adj + うちに / N + うちに	きがかわらないうちに、きめよう。	気が変わらないうちに、決めよう。	うちに: resolve-window — decide before your own will changes; act on current impulse	[sound:ecebf2828474.mp3]	module:03-n3 jlpt:n3 point:うちに complexity:standard frequency:low source:shin-kanzen
Let's thank her while she's here.	V-neg + うちに / Adj + うちに / N + うちに	かのじょがいるうちに、かんしゃしよう。	彼女がいるうちに、感謝しよう。	うちに: presence-window — show gratitude while person is still here	[sound:5fb7845abcf8.mp3]	module:03-n3 jlpt:n3 point:うちに complexity:standard frequency:top10k source:shin-kanzen
I want to take risks while young.	V-neg + うちに / Adj + うちに / N + うちに	わかいうちに、ぼうけんをしたい。	若いうちに、冒険をしたい。	うちに: life-stage window — adventure during youth; a phase that will inevitably end	[sound:63b1becd26aa.mp3]	module:03-n3 jlpt:n3 point:うちに complexity:intro frequency:top10k source:shin-kanzen
Speak while I still remember.	V-neg + うちに / Adj + うちに / N + うちに	わすれられないうちに、はなす。	忘れられないうちに、話す。	うちに: emotional-window urgency — speak while the feeling is still vivid	[sound:e9cf972cb12f.mp3]	module:03-n3 jlpt:n3 point:うちに complexity:intro frequency:top1k source:shin-kanzen
Go on a trip while healthy.	V-neg + うちに / Adj + うちに / N + うちに	げんきなうちに、りょこうにいく。	元気なうちに、旅行に行く。	うちに: health-window opportunity — travel while you are still energetic	[sound:0c36347a8a77.mp3]	module:03-n3 jlpt:n3 point:うちに complexity:intro frequency:top1k source:shin-kanzen
Finish it while there's time.	V-neg + うちに / Adj + うちに / N + うちに	じかんがあるうちに、おわらせる。	時間があるうちに、終わらせる。	うちに: time-window urgency — finish the task before free time runs out	[sound:79948fdd4c53.mp3]	module:03-n3 jlpt:n3 point:うちに complexity:standard frequency:top1k source:shin-kanzen
Use it while it's new.	V-neg + うちに / Adj + うちに / N + うちに	あたらしいうちに、つかいたい。	新しいうちに、使いたい。	うちに: freshness-window — use the item while it is still new	[sound:2ca0f6b84c2d.mp3]	module:03-n3 jlpt:n3 point:うちに complexity:intro frequency:top1k source:shin-kanzen
Study while I have the chance.	V-neg + うちに / Adj + うちに / N + うちに	いまのうちに、べんきょうする。	今のうちに、勉強する。	うちに: present-moment seizing — act now while the current window is open	[sound:f47bb6644691.mp3]	module:03-n3 jlpt:n3 point:うちに complexity:intro frequency:top1k source:shin-kanzen
I want to achieve it while alive.	V-neg + うちに / Adj + うちに / N + うちに	いきているうちに、たっせいしたい。	生きているうちに、達成したい。	うちに: life-span window — achieve goal while alive; ultimate temporal constraint	[sound:8286981246b2.mp3]	module:03-n3 jlpt:n3 point:うちに complexity:standard frequency:low source:shin-kanzen
Let's do laundry while it's sunny.	V-neg + うちに / Adj + うちに / N + うちに	はれているうちに、せんたくしよう。	晴れているうちに、洗濯しよう。	うちに: weather-window opportunity — act while favourable conditions persist	[sound:f728d88b32ee.mp3]	module:03-n3 jlpt:n3 point:うちに complexity:standard frequency:top1k source:shin-kanzen
