#separator:tab
#html:true
#columns:JP	OptionA	OptionB	Answer	Why	Tip	Audio	Tags
#notetype:Contrast
#
#deck:Japanese Grammar (Strict)::01 - N5 Grammar::Contrast

今日は立ったまま待っています。	Progressive: standing and waiting now	Habitual: always waits standing	Progressive	ている = current action state	Standing position while waiting	[sound:dab0ab48a8b2.mp3]	module:01-n5 jlpt:n5 point:って complexity:standard frequency:top1k source:shin-kanzen
今食べています。	Progressive: eating right now	Resultative: currently full	Progressive	ている = action in progress at this moment	Progressive use: happening now	[sound:d1b802e590ad.mp3]	module:01-n5 jlpt:n5 point:って complexity:intro frequency:top1k source:shin-kanzen
公園で友達が遊んでいます。	Progressive: playing at this moment	Habitual: plays regularly	Progressive	ている = action ongoing	Active motion or state	[sound:47a55ed58baa.mp3]	module:01-n5 jlpt:n5 point:って complexity:standard frequency:top1k source:shin-kanzen
彼は今勉強しています。	Progressive: studying at this moment	Habitual: studies every day	Progressive	ている = right now (point in time)	Current ongoing action	[sound:a8301d4a67ca.mp3]	module:01-n5 jlpt:n5 point:って complexity:intro frequency:top5k source:shin-kanzen
目が開いています。	Resultative: eyes are open (state)	Progressive: opening eyes now	Resultative	ている = current visible state/result	State of completion	[sound:e4804d9acc92.mp3]	module:01-n5 jlpt:n5 point:って complexity:intro frequency:top1k source:shin-kanzen
姉は去年から結婚しています。	Resultative: he is married (state)	Progressive: getting married now	Resultative	ている = permanent or semi-permanent state	Result of prior action	[sound:6786ffcfbc9f.mp3]	module:01-n5 jlpt:n5 point:って complexity:standard frequency:top1k source:shin-kanzen
私は日本語を勉強しています。	Resultative: I speak/study Japanese (ongoing state)	Progressive: studying right now	Resultative	ている = acquired skill or status	Developed state/ability	[sound:afaa4a025e77.mp3]	module:01-n5 jlpt:n5 point:って complexity:standard frequency:top10k source:shin-kanzen
田中さんは会社で働いています。	Resultative: he works at a company (job)	Progressive: working at company now	Resultative	ている = employed/position	Current employment state	[sound:dde913bc2f54.mp3]	module:01-n5 jlpt:n5 point:って complexity:standard frequency:top10k source:shin-kanzen
子どもが眠っています。	Resultative: child is asleep (state)	Progressive: falling asleep now	Resultative	ている = sleeping state	Result of sleep action	[sound:7d26f41faab9.mp3]	module:01-n5 jlpt:n5 point:って complexity:intro frequency:top5k source:shin-kanzen
弟は毎朝公園を走っています。	Habitual: runs every day (routine)	Progressive: running right now	Habitual	ている = repeated/customary action	Regular habit	[sound:ed8da8a63de7.mp3]	module:01-n5 jlpt:n5 point:って complexity:standard frequency:top1k source:shin-kanzen
毎朝新聞を読んでいます。	Habitual: reads newspaper every morning	Progressive: reading now	Habitual	ている = daily practice/habit	Repeated pattern	[sound:1759ff5d519e.mp3]	module:01-n5 jlpt:n5 point:って complexity:intro frequency:top1k source:shin-kanzen
彼は毎日図書館に行っています。	Habitual: goes to library every day	Progressive: going to library now	Habitual	ている = customary action	Regular practice	[sound:ed5daa0f9c06.mp3]	module:01-n5 jlpt:n5 point:って complexity:standard frequency:top5k source:shin-kanzen
彼女は毎晩ドラマを見ています。	Habitual: watches TV every evening	Progressive: watching TV now	Habitual	ている = evening routine	Daily practice	[sound:53bfc35bb413.mp3]	module:01-n5 jlpt:n5 point:って complexity:standard frequency:top10k source:shin-kanzen
私は毎年京都に行っています。	Habitual: goes to Kyoto every year	Progressive: going to Kyoto now	Habitual	ている = annual pattern	Repeated yearly action	[sound:fef07a95b145.mp3]	module:01-n5 jlpt:n5 point:って complexity:standard frequency:top5k source:shin-kanzen
玄関のドアが開いています。	Resultative: window is open (state)	Progressive: someone opening it now	Resultative	Static state from prior opening	Window position state	[sound:868495d4e9ee.mp3]	module:01-n5 jlpt:n5 point:って complexity:standard frequency:top1k source:shin-kanzen
外は雨が強く降っています。	Progressive: it is raining (now)	Habitual: rains often here	Progressive	ている = weather occurring	Current rain event	[sound:60cb16256457.mp3]	module:01-n5 jlpt:n5 point:って complexity:standard frequency:low source:shin-kanzen
彼は本を持っています。	Resultative: he owns a book (state)	Progressive: holding book now	Resultative	ている = possession	Ownership/possession state	[sound:4ed2775e171d.mp3]	module:01-n5 jlpt:n5 point:って complexity:intro frequency:top5k source:shin-kanzen
田中さんは来ています。	Resultative: he has arrived (present)	Progressive: arriving right now	Resultative	ている = here/arrived state	Presence state	[sound:92cbfc8592bb.mp3]	module:01-n5 jlpt:n5 point:って complexity:intro frequency:top10k source:shin-kanzen
私はこの会社で働いています。	Resultative: I work at this company	Progressive: working at company now	Resultative	ている = job/position	Employment state	[sound:87b44d2f6825.mp3]	module:01-n5 jlpt:n5 point:って complexity:standard frequency:top1k source:shin-kanzen
毎週日曜日に映画を見ています。	Habitual: watches movies every Sunday	Progressive: watching movie now	Habitual	ている = weekly habit	Weekly routine	[sound:092f01d12846.mp3]	module:01-n5 jlpt:n5 point:って complexity:standard frequency:top1k source:shin-kanzen
