#separator:tab
#html:true
#columns:JP	OptionA	OptionB	Answer	Why	Tip	Audio	Tags
#notetype:Contrast
#deck:Japanese Grammar::04 - N2 Grammar::Contrast
#
仕事やら家事やら、忙しくて大変だ。	だの…だの	とか	やら…やら	やら…やら = a bunch of things (formal listing)	Work, housework, etc.—busy	[sound:2f684c53722c.mp3]	module:04-n2 jlpt:n2 register:formal point:listing-formal pos:expr frequency:top10k complexity:standard source:shin-kanzen
歌ったりやら、踊ったりやら、大騒ぎだ。	だの…だの	とか	やら…やら	やら…やら = things like X and Y	Singing, dancing, etc.—big fuss	[sound:2b0e9b7086cb.mp3]	module:04-n2 jlpt:n2 register:formal point:listing-formal pos:expr frequency:top10k complexity:standard source:shin-kanzen
父親だの、兄弟だの、男ばかりだ。	やら…やら	とか	だの…だの	だの…だの = and such things (dismissive)	Father, brothers, etc.—all men	[sound:06b07f7a2ba9.mp3]	module:04-n2 jlpt:n2 register:formal point:listing-formal pos:expr frequency:top10k complexity:standard source:shin-kanzen
文句だの、愚痴だの、聞きたくない。	やら…やら	とか	だの…だの	だの…だの = complaints and such	Complaints, gripes, etc.—don't want	[sound:8de86f60bd9c.mp3]	module:04-n2 jlpt:n2 register:formal point:listing-formal pos:expr frequency:low complexity:standard source:shin-kanzen
野菜とか肉とか、色々入っている。	やら…やら	だの…だの	とか	とか = and things like/or	Vegetables, meat, etc., lots in it	[sound:911fba61791e.mp3]	module:04-n2 jlpt:n2 register:formal point:listing-formal pos:expr frequency:top1k complexity:standard source:shin-kanzen
コーヒーとか紅茶とか、何でもいい。	やら…やら	だの…だの	とか	とか = or/and such	Coffee, tea, etc., anything's fine	[sound:e980162828b3.mp3]	module:04-n2 jlpt:n2 register:formal point:listing-formal pos:expr frequency:top10k complexity:standard source:shin-kanzen
朝から晩までやら、休みもない。	だの…だの	とか	やら…やら	やら…やら = from one thing to another	From morning to night—no breaks	[sound:1b705474f82f.mp3]	module:04-n2 jlpt:n2 register:formal point:listing-formal pos:expr frequency:top1k complexity:standard source:shin-kanzen
説教だの、罰だの、子どもには厳しい。	やら…やら	とか	だの…だの	だの…だの = scolding, punishment, etc.	Lectures, punishment, etc.—harsh on kids	[sound:f1a6c6ab26b6.mp3]	module:04-n2 jlpt:n2 register:formal point:listing-formal pos:expr frequency:low complexity:standard source:shin-kanzen
テレビとか映画とか、娯楽が多い。	やら…やら	だの…だの	とか	とか = TV, movies, and such	TV, movies, etc., lots of entertainment	[sound:dbf9718ba3ee.mp3]	module:04-n2 jlpt:n2 register:formal point:listing-formal pos:expr frequency:low complexity:standard source:shin-kanzen
読むやら、書くやら、疲れた。	だの…だの	とか	やら…やら	やら…やら = reading, writing, etc.	Reading, writing, etc., exhausted	[sound:4c1972e8b290.mp3]	module:04-n2 jlpt:n2 register:formal point:listing-formal pos:expr frequency:top10k complexity:intro source:shin-kanzen
