#separator:tab
#html:true
#columns:JP	OptionA	OptionB	Answer	Why	Tip	Audio	Tags
#notetype:Contrast
#deck:Japanese Grammar::10 - Onomatopoeia::Contrast

キラキラと輝く星	きらきら	ぴかぴか	きらきら	Both describe brightness but differ: きらきら = discrete bright flashes; ぴかぴか = polished shine.	Stars twinkle → (this form); polished object → ぴかぴか	[sound:93b27dec9f58.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro confusable-with:ぴかぴか frequency:top10k source:dictionary-of-jp-grammar
___と心臓が跳ねている	ドキドキ	チクタク	ドキドキ	Fast excited heartbeat (ドキドキ) vs steady regular ticking (チクタク); different tempos and emotions.	Excited/scared pulse → (this form); mechanical steady → チクタク	[sound:ca0c2ab58a1a.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:standard confusable-with:チクタク frequency:top10k source:dictionary-of-jp-grammar
___した動き	ぎくしゃく	チロチロ	ぎくしゃく	Stiff mechanical movement (ぎくしゃく) vs flickering light (チロチロ); different modalities.	Stiff jerky motion → (this form); flickering flames → チロチロ	[sound:1cc81ed4393f.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro confusable-with:チロチロ frequency:low source:dictionary-of-jp-grammar
本を___読める	スラスラ	ジャリジャリ	スラスラ	Smooth fluent reading (スラスラ) vs rough gritty texture (ジャリジャリ); opposite qualities.	Easy smooth flow → (this form); rough granular feel → ジャリジャリ	[sound:5053293c9594.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro confusable-with:ジャリジャリ frequency:top1k source:dictionary-of-jp-grammar
綿が___している	フワフワ	ずっしり	フワフワ	Light airy texture (フワフワ) vs heavy dense object (ずっしり); opposite weight perceptions.	Soft and light → (this form); heavy and solid → ずっしり	[sound:a568392e286a.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro confusable-with:ずっしり frequency:top10k source:dictionary-of-jp-grammar
顔が___している	しょんぼり	キラキラ	しょんぼり	Dejected drooping appearance (しょんぼり) vs bright sparkling (キラキラ); opposite moods.	Sad and droopy → (this form); bright and shiny → キラキラ	[sound:42637d7d8a19.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro confusable-with:キラキラ frequency:top1k source:dictionary-of-jp-grammar
クッキーが___	サクサク	ふにゃふにゃ	サクサク	Crispy crunchy texture (サクサク) vs soft mushy (ふにゃふにゃ); opposite food textures.	Crispy fresh cookie → (this form); soggy wet cookie → ふにゃふにゃ	[sound:7491671e59aa.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro confusable-with:ふにゃふにゃ source:dictionary-of-jp-grammar
絹が___だ	ツルツル	ざらざら	ツルツル	Smooth slippery surface (ツルツル) vs rough bumpy (ざらざら); tactile opposites.	Silky smooth fabric → (this form); rough sandpaper → ざらざら	[sound:04368f628f3c.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro confusable-with:ざらざら frequency:top5k source:dictionary-of-jp-grammar
雨が___と降る	ザーザー	しとしと	ザーザー	Heavy downpour (ザーザー) vs light gentle rain (しとしと); intensity difference.	Torrential rain → (this form); soft drizzle → しとしと	[sound:ebae4636f840.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro confusable-with:しとしと frequency:top1k source:dictionary-of-jp-grammar
心がワクワク	ワクワク	ハラハラ	ワクワク	Excited positive anticipation (ワクワク) vs nervous worried tension (ハラハラ); emotional tone.	Thrilled and happy → (this form); nervous and anxious → ハラハラ	[sound:98ac0c9adaa4.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro confusable-with:ハラハラ frequency:top5k source:dictionary-of-jp-grammar
