#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::04 - N2 Grammar::Recognition

この仕事をやり遂げることが目標だ。	このしごとをやりとげることがもくひょうだ。	Accomplishing this work is the goal.	Task completion	やり遂げる	Achievement	Work context	完成する	[sound:6f1a691586a6.mp3]	module:04-n2 jlpt:n2 point:かねる complexity:standard frequency:low source:shin-kanzen
計画を最後まで通し通した。	けいかくをさいごまでとおしとおした。	I carried the plan through to the end.	Sustained effort	通し通す	Perseverance	Commitment context	続ける	[sound:febe8e5759f9.mp3]	module:04-n2 jlpt:n2 point:かねる complexity:standard frequency:top5k source:shin-kanzen
困難な状況を乗り越えられた。	こんなんなじょうきょうをのりこえられた。	I managed to overcome a difficult situation.	Adversity overcome	乗り越える	Capability	Challenge context	克服する	[sound:8241e6da45dc.mp3]	module:04-n2 jlpt:n2 point:かねる complexity:standard frequency:top10k source:shin-kanzen
部下を育て上げることが管理職の役割だ。	ぶかをそだてあげることがかんりしょくのやくわりだ。	Raising subordinates is a manager's role.	Development	育て上げる	Nurturing	Management context	育成する	[sound:ba3df0697420.mp3]	module:04-n2 jlpt:n2 point:かねる complexity:standard frequency:low source:shin-kanzen
責任をなすべき行為だ。	せきにんをなすべきこういだ。	It is an appropriate action regarding responsibility.	Proper conduct	なす	Execute	Duty context	する	[sound:7489a15d7ab1.mp3]	module:04-n2 jlpt:n2 point:かねる complexity:intro frequency:low source:shin-kanzen
失敗しかねない危険が潜む。	しっぱいしかねないきけんがひそむ。	There lurks a risk of failure.	Potential failure	V-masu + しかねない (might well V; at risk of V-ing)	Risk marker	Caution context	かもしれない	[sound:66a2c0b857d8.mp3]	module:04-n2 jlpt:n2 point:かねる complexity:standard frequency:top5k source:shin-kanzen
承認しかねる状況だ。	しょうにんしかねるじょうきょうだ。	It is a situation I struggle to approve.	Reluctant negation	V-masu + かねる (find it difficult to V; can't bring oneself to V)	Unable	Difficulty context	難しい	[sound:0787e590e1f7.mp3]	module:04-n2 jlpt:n2 point:かねる complexity:intro frequency:top10k source:shin-kanzen
全力を尽くしました。	ぜんりょくをつくしました。	I exhausted my full effort.	Total effort	尽くす	Complete	Dedication context	使い切る	[sound:97e7e3fdc8e8.mp3]	module:04-n2 jlpt:n2 point:かねる complexity:intro frequency:low source:shin-kanzen
同じ失敗を何度も繰り返してしまった。	おなじしっぱいをなんどもくりかえしてしまった。	I repeated the same mistake over and over.	Repeated failure	繰り返す	Iteration	Mistake context	何度も	[sound:49bdde8c61c4.mp3]	module:04-n2 jlpt:n2 point:かねる complexity:standard frequency:top10k source:shin-kanzen
努力が実を結んだ。	どりょくがみをむすんだ。	The effort bore fruit.	Success result	実を結ぶ	Achievement	Success context	成功する	[sound:9f18f4601c7f.mp3]	module:04-n2 jlpt:n2 point:かねる complexity:intro frequency:top10k source:shin-kanzen
