#separator:tab
#html:true
#columns:Audio	Transcript	Reading	EN	Hint	Tags
#notetype:Listening
#deck:Japanese Grammar::07 - Casual::Listening
#
[sound:16977b5faa3e.mp3]	毎日走っている。	まいにちはしっている。	Run every day (current state).	Habitual or ongoing	module:07-casual point:aspectual-contractions complexity:intro frequency:top1k source:imabi point:module-listening_listening complexity:standard
[sound:c52bb8fe897a.mp3]	今、メール送ってる。	いま、めーるおくってる。	Sending email right now.	Contracted form	module:07-casual point:aspectual-contractions complexity:intro frequency:top1k source:imabi point:module-listening_listening complexity:standard
[sound:51ee6a1ba099.mp3]	そろそろ行ってく。	そろそろいってく。	I'm heading out soon.	Casual form	module:07-casual point:aspectual-contractions complexity:intro source:imabi point:module-listening_listening complexity:standard
[sound:7501810e7f5f.mp3]	話していくね。	はなしていくね。	I'll talk through this with you.	Polite casual	module:07-casual point:aspectual-contractions complexity:intro frequency:top1k source:imabi point:module-listening_listening complexity:standard
[sound:4ed323f7af0e.mp3]	資料置いときます。	しりょうおいときます。	I'll put the document here.	Contracted/casual	module:07-casual point:aspectual-contractions complexity:intro frequency:low source:imabi point:module-listening_listening complexity:standard
[sound:53ac629bc8b5.mp3]	先生に聞いといた。	せんせいにきいといた。	Asked the teacher beforehand.	Contracted/casual	module:07-casual point:aspectual-contractions complexity:intro frequency:top1k source:imabi point:module-listening_listening complexity:standard
[sound:364839a13e10.mp3]	それ、ほんまやん。	それ、ほんままたはそれ、ほんまや。	That's really true!	Kansai dialect	module:07-casual point:aspectual-contractions complexity:intro source:imabi point:module-listening_listening complexity:standard
[sound:1ce7f3242ced.mp3]	関西弁だからって言うてる。	かんさいべんだからっていうてる。	Saying it's Kansai dialect.	Kansai form	module:07-casual point:aspectual-contractions complexity:standard frequency:low source:imabi point:module-listening_listening
[sound:a31c1f30b3e2.mp3]	今日何やってる？	きょうなにやってる？	What are you doing today?	Conversational	module:07-casual point:casual-questions complexity:intro frequency:top1k source:imabi point:module-listening_listening complexity:standard
[sound:64bb01c54860.mp3]	誰が来た？	だれがきた？	Who came?	Natural speech	module:07-casual point:casual-questions complexity:intro frequency:top10k source:imabi point:module-listening_listening complexity:standard
[sound:0f886a9f1a04.mp3]	どこ行くの？	どこいくの？	Where are you going?	Soft question	module:07-casual point:casual-questions complexity:intro frequency:top1k source:imabi point:module-listening_listening complexity:standard
[sound:95038104f997.mp3]	何してんの？	なにしてんの？	What are you doing?	Conversational	module:07-casual point:casual-questions complexity:intro frequency:top1k source:imabi point:module-listening_listening complexity:standard
[sound:c40ce6f97c9e.mp3]	本当なん？	ほんとうなん？	Really?	Quick check	module:07-casual point:casual-questions complexity:intro frequency:top1k source:imabi point:module-listening_listening complexity:standard
[sound:5e8d077020b9.mp3]	大丈夫なん？	だいじょうぶなん？	Are you okay?	Casual concern	module:07-casual point:casual-questions complexity:intro frequency:top1k source:imabi point:module-listening_listening complexity:standard
[sound:452769db1db8.mp3]	来てくれたわ。	きてくれたわ。	You came for me!	Female tone	module:07-casual point:casual-questions complexity:intro frequency:top10k source:imabi point:module-listening_listening complexity:standard
[sound:e6c747308ea6.mp3]	楽しかったわ。	たのしかったわ。	It was fun!	Female tone	module:07-casual point:casual-questions complexity:intro frequency:top10k source:imabi point:module-listening_listening complexity:standard
[sound:63472d5b92b6.mp3]	関西人やん。	かんさいじんやん。	You're from Kansai.	Regional identity	module:07-casual point:kansai-basics complexity:intro frequency:low source:imabi point:module-listening_listening complexity:standard
[sound:5f4467e1d30f.mp3]	可愛いやん。	かわいいやん。	You're cute!	Emotional	module:07-casual point:kansai-basics complexity:intro frequency:top1k source:imabi point:module-listening_listening complexity:standard
[sound:302030cb581c.mp3]	そんなんやん。	そんなんやん。	It's like that.	Typical	module:07-casual point:kansai-basics complexity:intro source:imabi point:module-listening_listening complexity:standard
[sound:ad5033f9c58b.mp3]	違うやん。	ちがうやん。	It's different!	Correction	module:07-casual point:kansai-basics complexity:intro frequency:top1k source:imabi point:module-listening_listening complexity:standard
[sound:93f719c7f9bb.mp3]	好きやん。	すきやん。	You like it!	Assertion	module:07-casual point:kansai-basics complexity:intro frequency:top1k source:imabi point:module-listening_listening complexity:standard
[sound:035c8336cd2b.mp3]	それ、違うやねん。	それ、ちがうやねん。	That's wrong, you see.	Explanation	module:07-casual point:kansai-basics complexity:intro frequency:top1k source:imabi point:module-listening_listening complexity:standard
[sound:9715a6a7d329.mp3]	違うやねんて。	ちがうやねんて。	I'm telling you it's different.	Frustrated	module:07-casual point:kansai-basics complexity:intro frequency:top1k source:imabi point:module-listening_listening complexity:standard
[sound:f418948e6f09.mp3]	本当やん。	ほんまやん。	That's right.	Confirmation	module:07-casual point:kansai-basics complexity:intro frequency:top1k source:imabi point:module-listening_listening complexity:standard
