#separator:tab
#html:true
#columns:JP	OptionA	OptionB	Answer	Why	Tip	Audio	Tags
#notetype:Contrast
#deck:Japanese Grammar::04 - N2 Grammar::Contrast
#
彼だけきり知っている秘密がある。	ばかり	のみ	きり	きり = sole/only (archaic/formal)	Only he knows the secret	[sound:269a26d3c776.mp3]	module:04-n2 jlpt:n2 register:formal point:extremity-emphasis pos:expr frequency:top10k complexity:standard source:shin-kanzen
このきり会えないかもしれない。	ばかり	のみ	きり	きり = final/last time	This might be our last meeting	[sound:8d8076f86bc0.mp3]	module:04-n2 jlpt:n2 register:formal point:extremity-emphasis pos:expr complexity:standard source:shin-kanzen
失敗ばかりだ。	きり	のみ	ばかり	ばかり = only/nothing but (repeated)	Only failures	[sound:75ab0ef04809.mp3]	module:04-n2 jlpt:n2 register:formal point:extremity-emphasis pos:expr frequency:top5k complexity:intro source:shin-kanzen
彼はお金のことばかり考えている。	きり	のみ	ばかり	ばかり = exclusive obsession	He thinks of nothing but money	[sound:0925b27e873a.mp3]	module:04-n2 jlpt:n2 register:formal point:extremity-emphasis pos:expr frequency:top10k complexity:standard source:shin-kanzen
良いニュースばかり聞きたい。	きり	のみ	ばかり	ばかり = only/just (desired exclusive)	Want to hear only good news	[sound:2ef2cbe3a3cd.mp3]	module:04-n2 jlpt:n2 register:formal point:extremity-emphasis pos:expr frequency:top10k complexity:standard source:shin-kanzen
日本語のみで話してください。	きり	ばかり	のみ	のみ = only/exclusively (formal)	Speak in Japanese only	[sound:ecf18e381a7a.mp3]	module:04-n2 jlpt:n2 register:formal point:extremity-emphasis pos:expr frequency:top10k complexity:standard source:shin-kanzen
社員のみ入場可。	きり	ばかり	のみ	のみ = sole/exclusive (formal restriction)	Employees only admitted	[sound:72e5ab5ae335.mp3]	module:04-n2 jlpt:n2 register:formal point:extremity-emphasis pos:expr frequency:top10k complexity:intro source:shin-kanzen
親切心のみでやった。	きり	ばかり	のみ	のみ = purely/solely (formal)	Did it purely from kindness	[sound:f75d9bf306e6.mp3]	module:04-n2 jlpt:n2 register:formal point:extremity-emphasis pos:expr frequency:top5k complexity:intro source:shin-kanzen
この一度きり、許してほしい。	ばかり	のみ	きり	きり = sole/only occurrence	Just this once, please forgive	[sound:d7516f59afbc.mp3]	module:04-n2 jlpt:n2 register:formal point:extremity-emphasis pos:expr frequency:top5k complexity:standard source:shin-kanzen
事実のみを述べよ。	きり	ばかり	のみ	のみ = only/exclusively (formal)	State only the facts	[sound:4ab7d169ad00.mp3]	module:04-n2 jlpt:n2 register:formal point:extremity-emphasis pos:expr frequency:top10k complexity:intro source:shin-kanzen
