#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::10 - Onomatopoeia::Recognition

ワンワン	わんわん	Woof woof.	Dog bark	animal voice	giseigo: dog's sustained bark — alarm or greeting; repeated voiced vocalization	dog sound	meow (ニャー)	[sound:d089c6bae983.mp3]	module:10-onomatopoeia point:giseigo-voices complexity:intro source:dictionary-of-jp-grammar
ニャー	にゃー	Meow.	Cat cry	animal voice	giseigo: single cat meow — soft feline call; greeting, request, or complaint	cat sound	woof (ワン)	[sound:47d9e36d59dd.mp3]	module:10-onomatopoeia point:giseigo-voices complexity:intro source:dictionary-of-jp-grammar
コケコッコー	こけこっこー	Cock-a-doodle-doo.	Rooster crow	animal voice	giseigo: rooster's dawn crow — alternating pitch announces morning arrival	rooster dawn	quack (ガーガー)	[sound:93b6dedc98e1.mp3]	module:10-onomatopoeia point:giseigo-voices complexity:intro source:dictionary-of-jp-grammar
ケロケロ	けろけろ	Ribbit ribbit.	Frog croak	animal voice	giseigo: frog's ribbit — repeated nasal croak; wet environment vocalization	frog pond	chirp (チュン)	[sound:b88990383761.mp3]	module:10-onomatopoeia point:giseigo-voices complexity:intro source:dictionary-of-jp-grammar
モーモー	もーもー	Moo.	Cow lowing	animal voice	giseigo: cow's moo — rounded labials mimic deep bovine resonance	bovine sound	bleat (めーめー)	[sound:2014291e78d6.mp3]	module:10-onomatopoeia point:giseigo-voices complexity:intro source:dictionary-of-jp-grammar
ブーブー	ぶーぶー	Oink oink.	Pig grunt	animal voice	giseigo: pig's oink — nasal labial sounds; pig grunt and snuffle	porcine sound	baa (めーめー)	[sound:c290aa4fc780.mp3]	module:10-onomatopoeia point:giseigo-voices complexity:intro source:dictionary-of-jp-grammar
チュンチュン	ちゅんちゅん	Chirp chirp.	Small bird	animal voice	giseigo: sparrow's chirp — light staccato call; small garden bird	sparrow tweet	crow (カー)	[sound:98eeb9025bd8.mp3]	module:10-onomatopoeia point:giseigo-voices complexity:intro source:dictionary-of-jp-grammar
ヒーヒー	ひーひー	Neigh/whinny.	Horse sound	animal voice	giseigo: horse's high neigh — elongated front vowel; distress or excitement	equine call	bray (あーあー)	[sound:f66b1943c4da.mp3]	module:10-onomatopoeia point:giseigo-voices complexity:intro source:dictionary-of-jp-grammar
ガーガー	がーがー	Quack quack.	Duck sound	animal voice	giseigo: duck's quack — harsh nasal vowel; waterfowl alarm or feeding call	waterfowl call	honk (がんがん)	[sound:748f805710df.mp3]	module:10-onomatopoeia point:giseigo-voices complexity:intro source:dictionary-of-jp-grammar
ニャーニャー	にゃーにゃー	Meow meow.	Cat repetitive	animal voice	giseigo: cat's persistent meowing — repeated demand or prolonged expression	persistent cat	dog howl (ワオーン)	[sound:b52e76022102.mp3]	module:10-onomatopoeia point:giseigo-voices complexity:intro source:dictionary-of-jp-grammar
メーメー	めーめー	Bleat bleat.	Goat or sheep	animal voice	giseigo: sheep's bleat — nasal /m/ + elongated vowel; sheep or goat call	caprine sound	moo (モー)	[sound:9b20d222090b.mp3]	module:10-onomatopoeia point:giseigo-voices complexity:intro source:dictionary-of-jp-grammar
グーグー	ぐーぐー	Coo coo.	Pigeon sound	animal voice	giseigo: dove's soft coo — rounded back vowels; peaceful resting bird	dove cooing	chirp (チュン)	[sound:1685633fdc05.mp3]	module:10-onomatopoeia point:giseigo-voices complexity:intro source:dictionary-of-jp-grammar
ジージー	じーじー	Buzzing.	Insect sound	animal voice	giseigo: insect buzzing drone — continuous sibilant; cicadas or flies	cicada buzz	silence (しん)	[sound:831f2d9d5b46.mp3]	module:10-onomatopoeia point:giseigo-voices complexity:intro source:dictionary-of-jp-grammar
ミーミー	みーみー	Meow shrill.	Kitten cry	animal voice	giseigo: high-pitched shrill meow — small animal insistent call	young cat	adult meow (ニャー)	[sound:b37d98b1be5a.mp3]	module:10-onomatopoeia point:giseigo-voices complexity:intro source:dictionary-of-jp-grammar
