#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::10 - Onomatopoeia::Giseigo

ワンワン	わんわん	Woof woof.	Dog bark	animal voice	actual sound	dog sound	meow (ニャー)	[sound:d089c6bae983.mp3]	module:10-onomatopoeia point:giseigo-voices complexity:intro source:dictionary-of-jp-grammar
ニャー	にゃー	Meow.	Cat cry	animal voice	actual sound	cat sound	woof (ワン)	[sound:47d9e36d59dd.mp3]	module:10-onomatopoeia point:giseigo-voices complexity:intro source:dictionary-of-jp-grammar
コケコッコー	こけこっこー	Cock-a-doodle-doo.	Rooster crow	animal voice	actual sound	rooster dawn	quack (ガーガー)	[sound:93b6dedc98e1.mp3]	module:10-onomatopoeia point:giseigo-voices complexity:intro source:dictionary-of-jp-grammar
ケロケロ	けろけろ	Ribbit ribbit.	Frog croak	animal voice	actual sound	frog pond	chirp (チュン)	[sound:b88990383761.mp3]	module:10-onomatopoeia point:giseigo-voices complexity:intro source:dictionary-of-jp-grammar
モーモー	もーもー	Moo.	Cow lowing	animal voice	actual sound	bovine sound	bleat (めーめー)	[sound:2014291e78d6.mp3]	module:10-onomatopoeia point:giseigo-voices complexity:intro source:dictionary-of-jp-grammar
ブーブー	ぶーぶー	Oink oink.	Pig grunt	animal voice	actual sound	porcine sound	baa (めーめー)	[sound:c290aa4fc780.mp3]	module:10-onomatopoeia point:giseigo-voices complexity:intro source:dictionary-of-jp-grammar
チュンチュン	ちゅんちゅん	Chirp chirp.	Small bird	animal voice	actual sound	sparrow tweet	crow (カー)	[sound:98eeb9025bd8.mp3]	module:10-onomatopoeia point:giseigo-voices complexity:intro source:dictionary-of-jp-grammar
ヒーヒー	ひーひー	Neigh/whinny.	Horse sound	animal voice	actual sound	equine call	bray (あーあー)	[sound:f66b1943c4da.mp3]	module:10-onomatopoeia point:giseigo-voices complexity:intro source:dictionary-of-jp-grammar
ガーガー	がーがー	Quack quack.	Duck sound	animal voice	actual sound	waterfowl call	honk (がんがん)	[sound:748f805710df.mp3]	module:10-onomatopoeia point:giseigo-voices complexity:intro source:dictionary-of-jp-grammar
ニャーニャー	にゃーにゃー	Meow meow.	Cat repetitive	animal voice	actual sound	persistent cat	dog howl (ワオーン)	[sound:b52e76022102.mp3]	module:10-onomatopoeia point:giseigo-voices complexity:intro source:dictionary-of-jp-grammar
メーメー	めーめー	Bleat bleat.	Goat or sheep	animal voice	actual sound	caprine sound	moo (モー)	[sound:9b20d222090b.mp3]	module:10-onomatopoeia point:giseigo-voices complexity:intro source:dictionary-of-jp-grammar
グーグー	ぐーぐー	Coo coo.	Pigeon sound	animal voice	actual sound	dove cooing	chirp (チュン)	[sound:1685633fdc05.mp3]	module:10-onomatopoeia point:giseigo-voices complexity:intro source:dictionary-of-jp-grammar
ジージー	じーじー	Buzzing.	Insect sound	animal voice	actual sound	cicada buzz	silence (しん)	[sound:831f2d9d5b46.mp3]	module:10-onomatopoeia point:giseigo-voices complexity:intro source:dictionary-of-jp-grammar
