#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#
#deck:Japanese Grammar (Strict)::01 - N5 Grammar::Recognition

来たのだ。	きたのだ。	He/she came (with emphasis).	Explanatory mood	のだ	Strong assertion	Empathic	のです	[sound:2cea1cd8be71.mp3]	module:01-n5 point:でしょう complexity:intro frequency:top10k source:imabi jlpt:n5 source:shin-kanzen
来たんだ。	きたんだ。	He/she came, you see.	Casual explanation	んだ	Conversational assertion	Natural	のです	[sound:06ce9562c268.mp3]	module:01-n5 point:でしょう complexity:intro frequency:top10k source:imabi jlpt:n5 source:shin-kanzen
来たの？	きたの？	You came?	Gentle interrogation	の？	Questioning tone	Soft inquiry	のですか？	[sound:4c687e1d703d.mp3]	module:01-n5 point:でしょう complexity:intro frequency:top10k source:imabi jlpt:n5 source:shin-kanzen
来たんですか？	きたんですか？	Did you come?	Polite inquiry	んですか	Formal question	Polite	のですか	[sound:ad9542e99e21.mp3]	module:01-n5 point:でしょう complexity:intro frequency:top10k source:imabi jlpt:n5 source:shin-kanzen
来るでしょ。	くるでしょ。	You'll come, right?	Casual prediction	でしょ	Informal assumption	Conversational	でしょう	[sound:a27b93300282.mp3]	module:01-n5 point:でしょう complexity:intro frequency:top1k source:imabi jlpt:n5 source:shin-kanzen
来るだろ。	くるだろ。	He'll probably come.	Rough prediction	だろ	Masculine assumption	Casual	でしょう	[sound:c169d8442e53.mp3]	module:01-n5 point:でしょう complexity:intro frequency:top1k source:imabi jlpt:n5 source:shin-kanzen
来るでしょう。	くるでしょう。	You will come, won't you?	Polite assumption	でしょう	Formal prediction	Polite	でしょう	[sound:39dbb5fc1894.mp3]	module:01-n5 point:でしょう complexity:intro frequency:top1k source:imabi jlpt:n5 source:shin-kanzen
ねえ、そうですね。	ねえ、そうですね。	That's right, isn't it.	Agreement marker	ね	Seeking confirmation	Polite	ね	[sound:14ec842119a1.mp3]	module:01-n5 point:でしょう complexity:intro source:imabi jlpt:n5 source:shin-kanzen
そっか。	そっか。	I see.	Informal understanding	か	Quick realization	Casual	か	[sound:6c637ae4cef1.mp3]	module:01-n5 point:でしょう complexity:intro source:imabi jlpt:n5 source:shin-kanzen
そよな。	そよな。	That's how it is, huh.	Male acknowledgment	よな	Masculine agreement	Casual male	ね	[sound:7c5bcb95965c.mp3]	module:01-n5 point:でしょう complexity:intro source:imabi jlpt:n5 source:shin-kanzen
好きなんだ。	すきなんだ。	Oh, you like it.	Discovery announcement	んだ	Realization	Casual	のです	[sound:25cc60408a6d.mp3]	module:01-n5 point:でしょう complexity:intro frequency:top1k source:imabi jlpt:n5 source:shin-kanzen
好きなの。	すきなの。	I like it.	Explanation (female/soft)	の	Feminine assertion	Soft tone	のです	[sound:a727a5486ce3.mp3]	module:01-n5 point:でしょう complexity:intro frequency:top1k source:imabi jlpt:n5 source:shin-kanzen
好きなん。	すきなん。	I like it (Kansai-like).	Regional assertion	ん	Dialectal form	Casual	のです	[sound:00c5f20831e3.mp3]	module:01-n5 point:でしょう complexity:intro frequency:top1k source:imabi jlpt:n5 source:shin-kanzen
来ちゃったのね。	きちゃったのね。	Oh, you came already.	Surprised realization	のね	Emphasis + softness	Female tone	のですね	[sound:0084b4a0978c.mp3]	module:01-n5 point:でしょう complexity:intro frequency:top10k source:imabi jlpt:n5 source:shin-kanzen
来ちゃったんだ。	きちゃったんだ。	You ended up coming.	Casual observation	んだ	Natural comment	Conversational	のです	[sound:fd1c02b386fc.mp3]	module:01-n5 point:でしょう complexity:intro frequency:top10k source:imabi jlpt:n5 source:shin-kanzen
雨だから来ないんですよ。	あめだからこないんですよ。	Because it's raining, he's not coming.	Full explanation	んですよ	Polite reason	Explanatory	のですよ	[sound:28d1a2a3e1e2.mp3]	module:01-n5 point:でしょう complexity:intro frequency:top10k source:imabi jlpt:n5 source:shin-kanzen
