#separator:tab
#html:true
#columns:Text	Reading	Hint	Audio	Tags
#notetype:Cloze
#deck:Japanese Grammar::03 - N3 Grammar::Cloze
本当に{{c1::知りたくてたまらない}}	ほんとうにしりたくてたまらない	unbearably want to know	[sound:93e14a3e8628.mp3]	module:03-n3 jlpt:n3 point:n3-misc-modality
{{c1::眠くてたまらない}}ほど疲れた	ねむくてたまらないほどつかれた	tired enough to be unbearably sleepy	[sound:8f87efbe7617.mp3]	module:03-n3 jlpt:n3 point:n3-misc-modality
彼はいつも遅刻{{c1::がち}}である	かれはいつもちこくがちである	tend to be late habitually	[sound:2fc35a17a895.mp3]	module:03-n3 jlpt:n3 point:n3-misc-modality
気になって{{c1::たまらない}}状態だ	きになってたまらないじょうたいだ	state of unbearable concern	[sound:a9217d53d9a0.mp3]	module:03-n3 jlpt:n3 point:n3-misc-modality
このシステムは使い{{c1::やすい}}	このシステムはつかいやすい	this system is easy to use	[sound:1a1c877a8e60.mp3]	module:03-n3 jlpt:n3 point:n3-misc-modality
{{c1::悔しくてたまらない}}気持ちだった	くやしくてたまらないきもちだった	felt unbearably frustrated	[sound:ecc3e8518ffc.mp3]	module:03-n3 jlpt:n3 point:n3-misc-modality
病気{{c1::がち}}な体質	びょうきがちなたいしつ	constitution prone to illness	[sound:3efb2f564b9e.mp3]	module:03-n3 jlpt:n3 point:n3-misc-modality
{{c1::話しにくい}}話題を避ける	はなしにくいわだいをさける	avoid topics difficult to talk about	[sound:475caf1e2962.mp3]	module:03-n3 jlpt:n3 point:n3-misc-modality
好きで{{c1::たまらない}}	すきでたまらない	love unbearably	[sound:725535e8f098.mp3]	module:03-n3 jlpt:n3 point:n3-misc-modality
説明が{{c1::わかりやすい}}	せつめいがわかりやすい	the explanation is easy to understand	[sound:c98530a2ee27.mp3]	module:03-n3 jlpt:n3 point:n3-misc-modality
{{c1::黙っていられない}}状況	だまっていられないじょうきょう	situation where I can't stay silent	[sound:00d1dc2e789b.mp3]	module:03-n3 jlpt:n3 point:n3-misc-modality
彼は{{c1::遅刻がち}}な人だ	かれはちこくがちなひとだ	he is a person prone to lateness	[sound:8ce31c18b61f.mp3]	module:03-n3 jlpt:n3 point:n3-misc-modality
雨{{c1::がち}}な季節	あめがちなきせつ	season with rainy tendency	[sound:c1370230a846.mp3]	module:03-n3 jlpt:n3 point:n3-misc-modality
{{c1::言いたくてたまらない}}秘密を持つ	いいたくてたまらないひみつをもつ	have a secret I desperately want to tell	[sound:cdab29ab2579.mp3]	module:03-n3 jlpt:n3 point:n3-misc-modality
このボタンは{{c1::押しやすい}}設計	このボタンはおしやすいせっけい	this button has easy-to-press design	[sound:a31cea39d1f2.mp3]	module:03-n3 jlpt:n3 point:n3-misc-modality
{{c1::楽しくてたまらない}}イベント	たのしくてたまらないイベント	unbearably fun event	[sound:41ecdc9b8b2e.mp3]	module:03-n3 jlpt:n3 point:n3-misc-modality
使い{{c1::づらい}}インターフェース	つかいづらいインターフェース	awkward interface	[sound:d4e4b912e3a6.mp3]	module:03-n3 jlpt:n3 point:n3-misc-modality
{{c1::気になってたまらない}}状態	きになってたまらないじょうたい	state of unbearable concern	[sound:169308d4a864.mp3]	module:03-n3 jlpt:n3 point:n3-misc-modality
読み{{c1::やすい}}フォント	よみやすいフォント	easy-to-read font	[sound:02fe317910d0.mp3]	module:03-n3 jlpt:n3 point:n3-misc-modality
彼女がいなくて{{c1::帰りたくてたまらない}}	かのじょがいなくてかえりたくてたまらない	desperate to go home without girlfriend	[sound:0ea857398654.mp3]	module:03-n3 jlpt:n3 point:n3-misc-modality
{{c1::傍観していられない}}事件	ぼうかんしていられないじけん	incident where I can't just observe	[sound:29e7d4ed4994.mp3]	module:03-n3 jlpt:n3 point:n3-misc-modality
彼は{{c1::失敗がち}}である	かれはしっぱいがちである	he tends to fail	[sound:b15e5e050b38.mp3]	module:03-n3 jlpt:n3 point:n3-misc-modality
これは{{c1::言いにくい}}ことです	これはいいにくいことです	this is something difficult to say	[sound:52d0242ae848.mp3]	module:03-n3 jlpt:n3 point:n3-misc-modality
{{c1::痛くてたまらない}}歯痛	いたくてたまらないはつう	unbearable toothache	[sound:cb8c7275f791.mp3]	module:03-n3 jlpt:n3 point:n3-misc-modality
夜間の{{c1::忘れがち}}なタスク	やかんのわすれがちなタスク	nighttime tasks prone to being forgotten	[sound:18b0c02cd891.mp3]	module:03-n3 jlpt:n3 point:n3-misc-modality
