#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#deck:Japanese Grammar::04 - N2 Grammar::Production

Accomplishing this work is the goal.	やり遂げる	このしごとをやりとげることがもくひょうだ。	この仕事をやり遂げることが目標だ。	goal-oriented narrative: aiming to complete X requires sustained effort	[sound:6f1a691586a6.mp3]	module:04-n2 jlpt:n2 point:かねる complexity:standard frequency:low source:shin-kanzen
I carried the plan through to the end.	通し通す	けいかくをさいごまでとおしとおした。	計画を最後まで通し通した。	verb completion: persevere through to the end; complete fully	[sound:febe8e5759f9.mp3]	module:04-n2 jlpt:n2 point:かねる complexity:standard frequency:top5k source:shin-kanzen
I managed to overcome a difficult situation.	乗り越える	こんなんなじょうきょうをのりこえられた。	困難な状況を乗り越えられた。	obstacle-clearing: overcome difficulty; succeed despite challenges	[sound:8241e6da45dc.mp3]	module:04-n2 jlpt:n2 point:かねる complexity:standard frequency:top10k source:shin-kanzen
Raising subordinates is a manager's role.	育て上げる	ぶかをそだてあげることがかんりしょくのやくわりだ。	部下を育て上げることが管理職の役割だ。	nurture to completion: develop someone fully over time	[sound:ba3df0697420.mp3]	module:04-n2 jlpt:n2 point:かねる complexity:standard frequency:low source:shin-kanzen
It is an appropriate action regarding responsibility.	なす	せきにんをなすべきこういだ。	責任をなすべき行為だ。	なすべき: formal obligation — なす (do/perform, literary form of する) + べき = 'what must be done'; more formal than するべき	[sound:7489a15d7ab1.mp3]	module:04-n2 jlpt:n2 point:かねる complexity:intro frequency:low source:shin-kanzen
There lurks a risk of failure.	しかねない	しっぱいしかねないきけんがひそむ。	失敗しかねない危険が潜む。	しかねる: unable/reluctant to V — formal register; won't/can't bring self to	[sound:66a2c0b857d8.mp3]	module:04-n2 jlpt:n2 point:かねる complexity:standard frequency:top5k source:shin-kanzen
It is a situation I struggle to approve.	かねる	しょうにんしかねるじょうきょうだ。	承認しかねる状況だ。	かねる: formal reluctant inability — V-かねる: unable/unwilling to do X	[sound:0787e590e1f7.mp3]	module:04-n2 jlpt:n2 point:かねる complexity:intro frequency:top10k source:shin-kanzen
I exhausted my full effort.	尽くす	ぜんりょくをつくしました。	全力を尽くしました。	maximum effort expression: completely devoted to the task	[sound:97e7e3fdc8e8.mp3]	module:04-n2 jlpt:n2 point:かねる complexity:intro frequency:low source:shin-kanzen
I repeated the same mistake over and over.	繰り返す	おなじしっぱいをなんどもくりかえしてしまった。	同じ失敗を何度も繰り返してしまった。	てしまった: completed regrettable action — happened despite wanting otherwise	[sound:49bdde8c61c4.mp3]	module:04-n2 jlpt:n2 point:かねる complexity:standard frequency:top10k source:shin-kanzen
The effort bore fruit.	実を結ぶ	どりょくがみをむすんだ。	努力が実を結んだ。	かねる: inability from reluctance/difficulty — V-かねる = can't bring myself to	[sound:9f18f4601c7f.mp3]	module:04-n2 jlpt:n2 point:かねる complexity:intro frequency:top10k source:shin-kanzen
Passing difficult qualification is the goal.	やり遂げる	なんかんしかくをやりとげるのがもくひょうだ。	難関資格をやり遂げるのが目標だ。	goal-oriented narrative: aiming to complete X requires sustained effort	[sound:160c2e3c7e5f.mp3]	module:04-n2 jlpt:n2 point:かねる complexity:standard frequency:low source:shin-kanzen
I kept the promise through to the end.	通し通す	やくそくをさいごまでとうしとうした。	約束を最後まで通し通した。	verb completion: persevere through to the end; complete fully	[sound:d1be18706bf2.mp3]	module:04-n2 jlpt:n2 point:かねる complexity:standard frequency:top5k source:shin-kanzen
I have experience overcoming various difficulties.	乗り越える	さまざまなこんなんをのりこえたけいけんがある。	様々な困難を乗り越えた経験がある。	obstacle-clearing: overcome difficulty; succeed despite challenges	[sound:3e91d67104e4.mp3]	module:04-n2 jlpt:n2 point:かねる complexity:standard frequency:top10k source:shin-kanzen
Raising new employees to be independent is the senior's role.	育て上げる	しんにゅうしゃいんをいちにんまえにそだてあげるのがせんぱいのやくわりだ。	新入社員を一人前に育て上げるのが先輩の役割だ。	nurture to completion: develop someone fully over time	[sound:602ceeec4c22.mp3]	module:04-n2 jlpt:n2 point:かねる complexity:standard frequency:low source:shin-kanzen
There is no way to deal with this problem.	なす	このもんだいをなすじゅつがない。	この問題をなす術がない。	なす術がない: total helplessness idiom — no means of doing anything	[sound:ef0fec7745e2.mp3]	module:04-n2 jlpt:n2 point:かねる complexity:intro frequency:top1k source:shin-kanzen
There are many situations where serious failure could happen.	しかねない	じゅうだいなしっぱいしかねないばめんがおおい。	重大な失敗しかねない場面が多い。	しかねる: unable/reluctant to V — formal register; won't/can't bring self to	[sound:69a77f8bda72.mp3]	module:04-n2 jlpt:n2 point:かねる complexity:standard frequency:top10k source:shin-kanzen
I struggle to approve that proposal.	かねる	そのていあんはしょうにんしかねる。	その提案は承認しかねる。	かねる: formal reluctant inability — V-かねる: unable/unwilling to do X	[sound:918ad9621beb.mp3]	module:04-n2 jlpt:n2 point:かねる complexity:intro frequency:top10k source:shin-kanzen
I'm prepared to exhaust my full effort on my duty.	尽くす	せきむをぜんりょくでつくすこころがまえだ。	責務を全力で尽くす心構えだ。	maximum effort expression: completely devoted to the task	[sound:157a75721e06.mp3]	module:04-n2 jlpt:n2 point:かねる complexity:standard frequency:low source:shin-kanzen
One must not repeat the same mistake.	繰り返す	おなじまちがいをくりかえしてはならない。	同じ間違いを繰り返してはならない。	てはならない: strong prohibition — must absolutely not repeat this	[sound:dad1c4d27d47.mp3]	module:04-n2 jlpt:n2 point:かねる complexity:standard frequency:top10k source:shin-kanzen
Years of research bore fruit.	実を結ぶ	たねんのけんきゅうがみをむすんだ。	多年の研究が実を結んだ。	かねる: inability from reluctance/difficulty — V-かねる = can't bring myself to	[sound:82c5af43893f.mp3]	module:04-n2 jlpt:n2 point:かねる complexity:intro frequency:top10k source:shin-kanzen
There is a need to maintain the organization's principles.	貫き通す	そしきのりねんをつらぬきとうすひつようがある。	組織の理念を貫き通す必要がある。	Vき通す: thorough-completion verb — carry all the way through without stopping	[sound:49ad6b6500eb.mp3]	module:04-n2 jlpt:n2 point:かねる complexity:standard frequency:low source:shin-kanzen
I completed the mission flawlessly all the way through.	し抜く	にんむをかんぺきにすいこうしぬいた。	任務を完璧に遂行し抜いた。	し抜く: persist-to-completion — completed mission despite all obstacles	[sound:13458581dc06.mp3]	module:04-n2 jlpt:n2 point:かねる complexity:standard frequency:low source:shin-kanzen
It is difficult to fully convince the patient.	し切る	かんじゃにせっとくしきることはむずかしい。	患者に説得し切ることは難しい。	し切る: complete-fully verb — persuade entirely; bring to full completion	[sound:8a440b5494aa.mp3]	module:04-n2 jlpt:n2 point:かねる complexity:standard frequency:low source:shin-kanzen
We entered the stage of mastering new technology.	使い熟す	あらたなぎじゅつをつかいこなすだんかいにはいった。	新たな技術を使い熟す段階に入った。	使い熟す: master through use — 使う (use) + 熟す (ripen/master); to wield with complete proficiency after long practice	[sound:7bcd164d6740.mp3]	module:04-n2 jlpt:n2 point:かねる complexity:standard frequency:low source:shin-kanzen
I kept running toward the goal.	走り続ける	もくひょうにむかってはしりつづけた。	目標に向かって走り続けた。	goal-oriented narrative: aiming to complete X requires sustained effort	[sound:09a014216a6c.mp3]	module:04-n2 jlpt:n2 point:かねる complexity:standard frequency:top10k source:shin-kanzen
I wish to achieve my dreams.	叶え遂げる	ゆめをかなえとげることをねがっている。	夢を叶え遂げることを願っている。	叶え遂げる: realize to completion — 叶える (fulfill dream) + 遂げる (complete fully); compound achievement verb	[sound:5633f5a51ea1.mp3]	module:04-n2 jlpt:n2 point:かねる complexity:standard frequency:low source:shin-kanzen
I pushed that policy through.	押し通す	そのほうしんをおしとおした。	その方針を押し通した。	verb completion: persevere through to the end; complete fully	[sound:060230268430.mp3]	module:04-n2 jlpt:n2 point:かねる complexity:intro frequency:low source:shin-kanzen
I keep accepting new culture.	受け入れ続ける	あたらしいぶんかをうけいれつづけている。	新しい文化を受け入れ続けている。	Ongoing acceptance	[sound:ae49cb9230fd.mp3]	module:04-n2 jlpt:n2 point:かねる complexity:standard frequency:low source:shin-kanzen
I managed to get through a difficult situation.	切り抜ける	くるしいじょうきょうをきりぬけた。	苦しい状況を切り抜けた。	situational assessment: the circumstances make X not possible	[sound:29cb05b52f00.mp3]	module:04-n2 jlpt:n2 point:かねる complexity:intro frequency:top10k source:shin-kanzen
I surpassed last year's results significantly.	上回り遂げる	さくねんのせいせきをおおきくうわまわりとげた。	昨年の成績を大きく上回り遂げた。	上回り遂げる: surpass and accomplish — 上回る (exceed) + 遂げる (achieve); definitively exceeded a target	[sound:f42b7a74669b.mp3]	module:04-n2 jlpt:n2 point:かねる complexity:standard frequency:top10k source:shin-kanzen
