#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar (Strict)::00 - Foundation::Recognition

これは何ですか。	これはなんですか。	What is this?	これ (this thing)	これ / それ / あれ / どれ (noun-replacement)	refers to a thing; near speaker	near speaker	これ replaces a noun; この + noun refers to it	[sound:7770e30a4148.mp3]	module:00-foundation jlpt:n5 source:shin-kanzen source:authored point:demonstratives
それは私のかばんです。	それはわたしのかばんです。	That is my bag.	それ (that thing)	それ (near listener)	refers to a thing; near listener	near listener	それ = near listener; あれ = far from both	[sound:eea23c53f06a.mp3]	module:00-foundation jlpt:n5 source:shin-kanzen source:authored point:demonstratives
あれは富士山です。	あれはふじさんです。	That over there is Mt. Fuji.	あれ (that over there)	あれ (far from both)	refers to a thing far from both speaker and listener	far from both	あれ = away from both; それ = near listener	[sound:58a162164eb1.mp3]	module:00-foundation jlpt:n5 source:shin-kanzen source:authored point:demonstratives
どれがあなたの傘ですか。	どれがあなたのかさですか。	Which one is your umbrella?	どれ (which one)	どれ (question among options)	asks which among 3+ options	which one	どれ for 3+ choices; どちら for 2 choices (polite)	[sound:885d1b9e0d24.mp3]	module:00-foundation jlpt:n5 source:shin-kanzen source:authored point:demonstratives
この本は面白いです。	このほんはおもしろいです。	This book is interesting.	この (this ~)	この + Noun (near speaker)	modifies a noun; near speaker	this (modifying noun)	この・その・あの + Noun; これ・それ・あれ stand alone	[sound:f3e4f9a75b9b.mp3]	module:00-foundation jlpt:n5 source:shin-kanzen source:authored point:demonstratives
そのレストランはどこですか。	そのれすとらんはどこですか。	Where is that restaurant?	その (that ~)	その + Noun (near listener)	modifies a noun; near or known to listener	that (modifying noun)	その can also refer to something mentioned in context	[sound:e2952e7f9f89.mp3]	module:00-foundation jlpt:n5 source:shin-kanzen source:authored point:demonstratives
あの山の名前は何ですか。	あのやまのなまえはなんですか。	What is the name of that mountain over there?	あの (that ~ over there)	あの + Noun (far from both)	modifies a noun; far from both	that over there (modifying noun)	あの sometimes = "that (shared-memory) ~" in conversation	[sound:19d931456e85.mp3]	module:00-foundation jlpt:n5 source:shin-kanzen source:authored point:demonstratives
どの電車に乗りますか。	どのでんしゃにのりますか。	Which train will you take?	どの (which ~)	どの + Noun (question)	asks which one among options	which (modifying noun)	どの + noun for choosing among 3+; どちらの for 2 (polite)	[sound:6c0763f4efb6.mp3]	module:00-foundation jlpt:n5 source:shin-kanzen source:authored point:demonstratives
ここはどこですか。	ここはどこですか。	Where is this place?	ここ (here)	ここ / そこ / あそこ / どこ (place)	refers to a place; near speaker	near speaker	ここ=here; そこ=there; あそこ=over there; どこ=where	[sound:bbe79916765c.mp3]	module:00-foundation jlpt:n5 source:shin-kanzen source:authored point:demonstratives
トイレはどこですか。	といれはどこですか。	Where is the restroom?	どこ (where)	どこ (question location)	asks about location	where (question)	どこ = where; どちら = which direction (polite)	[sound:e498528b8ec3.mp3]	module:00-foundation jlpt:n5 source:shin-kanzen source:authored point:demonstratives
