#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#
#deck:Japanese Grammar (Strict)::01 - N5 Grammar::Production

He/she came (with emphasis).	のだ	きたのだ。	来たのだ。	Strong assertion	[sound:2cea1cd8be71.mp3]	module:01-n5 point:でしょう complexity:intro frequency:top10k source:imabi
He/she came, you see.	んだ	きたんだ。	来たんだ。	Conversational assertion	[sound:06ce9562c268.mp3]	module:01-n5 point:でしょう complexity:intro frequency:top10k source:imabi
You came?	の？	きたの？	来たの？	Questioning tone	[sound:4c687e1d703d.mp3]	module:01-n5 point:でしょう complexity:intro frequency:top10k source:imabi
Did you come?	んですか	きたんですか？	来たんですか？	Formal question	[sound:ad9542e99e21.mp3]	module:01-n5 point:でしょう complexity:intro frequency:top10k source:imabi
You'll come, right?	でしょ	くるでしょ。	来るでしょ。	Informal assumption	[sound:a27b93300282.mp3]	module:01-n5 point:でしょう complexity:intro frequency:top1k source:imabi
He'll probably come.	だろ	くるだろ。	来るだろ。	Masculine assumption	[sound:c169d8442e53.mp3]	module:01-n5 point:でしょう complexity:intro frequency:top1k source:imabi
You will come, won't you?	でしょう	くるでしょう。	来るでしょう。	Formal prediction	[sound:39dbb5fc1894.mp3]	module:01-n5 point:でしょう complexity:intro frequency:top1k source:imabi
That's right, isn't it.	ね	ねえ、そうですね。	ねえ、そうですね。	Seeking confirmation	[sound:14ec842119a1.mp3]	module:01-n5 point:でしょう complexity:intro source:imabi
I see.	か	そっか。	そっか。	Quick realization	[sound:6c637ae4cef1.mp3]	module:01-n5 point:でしょう complexity:intro source:imabi
That's how it is, huh.	よな	そよな。	そよな。	Masculine agreement	[sound:7c5bcb95965c.mp3]	module:01-n5 point:でしょう complexity:intro source:imabi
Oh, you like it.	んだ	すきなんだ。	好きなんだ。	Realization	[sound:25cc60408a6d.mp3]	module:01-n5 point:でしょう complexity:intro frequency:top1k source:imabi
I like it.	の	すきなの。	好きなの。	Feminine assertion	[sound:a727a5486ce3.mp3]	module:01-n5 point:でしょう complexity:intro frequency:top1k source:imabi
I like it (Kansai-like).	ん	すきなん。	好きなん。	Dialectal form	[sound:00c5f20831e3.mp3]	module:01-n5 point:でしょう complexity:intro frequency:top1k source:imabi
Oh, you came already.	のね	きちゃったのね。	来ちゃったのね。	Emphasis + softness	[sound:0084b4a0978c.mp3]	module:01-n5 point:でしょう complexity:intro frequency:top10k source:imabi
You ended up coming.	んだ	きちゃったんだ。	来ちゃったんだ。	Natural comment	[sound:fd1c02b386fc.mp3]	module:01-n5 point:でしょう complexity:intro frequency:top10k source:imabi
Because it's raining, he's not coming.	んですよ	あめだからこないんですよ。	雨だから来ないんですよ。	Polite reason	[sound:28d1a2a3e1e2.mp3]	module:01-n5 point:でしょう complexity:intro frequency:top10k source:imabi
Because it's raining, he's not coming.	んだよ	あめだからこないんだよ。	雨だから来ないんだよ。	Informal reason	[sound:c15883b118e0.mp3]	module:01-n5 point:でしょう complexity:intro frequency:top10k source:imabi
You came!	じゃない	きたじゃない。	来たじゃない。	Negation-based accusation	[sound:b0e0b0d1d983.mp3]	module:01-n5 point:でしょう complexity:intro frequency:top10k source:imabi
You came, didn't you!	じゃん	きたじゃん。	来たじゃん。	Casual contradiction	[sound:bf08ddc86ec5.mp3]	module:01-n5 point:でしょう complexity:intro frequency:top10k source:imabi
Ah, it's difficult.	のね	むずかしいのね。	難しいのね。	Realization + softness	[sound:4a8fde0cd360.mp3]	module:01-n5 point:でしょう complexity:intro frequency:top1k source:imabi
Oh, it's difficult.	んだ	むずかしいんだ。	難しいんだ。	Casual realization	[sound:b5c79fdab078.mp3]	module:01-n5 point:でしょう complexity:intro frequency:top1k source:imabi
It's difficult, isn't it.	んですね	むずかしいんですね。	難しいんですね。	Formal sympathy	[sound:2e4cdc4d5251.mp3]	module:01-n5 point:でしょう complexity:intro frequency:top1k source:imabi
Do you like it?	んですか	すきなんですか？	好きなんですか？	Formal question	[sound:224a8b2f0160.mp3]	module:01-n5 point:でしょう complexity:intro frequency:top1k source:imabi
You like it?	ん？	すきなん？	好きなん？	Quick question	[sound:414b8e7cb910.mp3]	module:01-n5 point:でしょう complexity:intro frequency:top1k source:imabi
The thing is, he does it.	んですよ	やるんですよ。	やるんですよ。	Polite emphasis	[sound:cff3f6348a19.mp3]	module:01-n5 point:でしょう complexity:intro source:imabi
He does it, you know.	んだよ	やるんだよ。	やるんだよ。	Friendly assertion	[sound:8ecb8b838009.mp3]	module:01-n5 point:でしょう complexity:intro source:imabi
Will he/she come, I wonder.	のだろうか	くるのだろうか。	来るのだろうか。	Literary speculation	[sound:0f9cb6c9d294.mp3]	module:01-n5 point:でしょう complexity:intro frequency:top1k source:imabi
Will he/she come, I wonder.	のかな	くるのかな。	来るのかな。	Informal speculation	[sound:c52164d3902f.mp3]	module:01-n5 point:でしょう complexity:intro frequency:top1k source:imabi
Oh, you did it!	のね	やったのね。	やったのね。	Feminine acknowledgment	[sound:61efc407f588.mp3]	module:01-n5 point:でしょう complexity:intro source:imabi
You did it!	んだ	やったんだ。	やったんだ。	Informal acknowledgment	[sound:7163d4c5a8a9.mp3]	module:01-n5 point:でしょう complexity:intro source:imabi
You're skilled, aren't you.	んですね	じょうずなんですね。	上手いんですね。	Formal praise	[sound:98b2f9e65680.mp3]	module:01-n5 point:でしょう complexity:intro frequency:top1k source:imabi
Oh, you're good.	んだ	じょうずなんだ。	上手いんだ。	Informal praise	[sound:4f734fd8a622.mp3]	module:01-n5 point:でしょう complexity:intro frequency:top1k source:imabi
Oh, it tastes bad.	のね	まずいのね。	不味いのね。	Feminine observation	[sound:5fd349a0ca06.mp3]	module:01-n5 point:でしょう complexity:intro frequency:top10k source:imabi
It tastes bad.	んだ	まずいんだ。	不味いんだ。	Informal comment	[sound:2f8f523cbb21.mp3]	module:01-n5 point:でしょう complexity:intro frequency:top10k source:imabi
