#separator:tab
#html:true
#columns:JP	OptionA	OptionB	Answer	Why	Tip	Audio	Tags
#notetype:Contrast
#deck:Japanese Grammar::02 - N4 Grammar::Contrast
#
毎日走ると、体が強くなります。	ると	れば	ると	と = automatic natural consequence	Daily running naturally strengthens body	[sound:2fbcbe2c8e48.mp3]	module:02-n4 jlpt:n4 point:conditional complexity:standard confusable-with:れば frequency:low source:shin-kanzen
毎日走れば、体が強くなります。	ると	れば	れば	ば = hypothetical generalization	If you run daily (generic), body would strengthen	[sound:fb797b78108c.mp3]	module:02-n4 jlpt:n4 point:conditional complexity:standard confusable-with:ると frequency:low source:shin-kanzen
お金があれば、旅行に行きたいです。	れば	たら	れば	ば = open-ended hypothetical	If money existed (situation), would want to travel	[sound:1d1fdfa7f894.mp3]	module:02-n4 jlpt:n4 point:conditional complexity:standard confusable-with:たら frequency:top10k source:shin-kanzen
お金があったら、旅行に行きたいです。	れば	たら	たら	たら = specific instance hypothetical	In one scenario: if had money, would travel	[sound:ab94e84d8748.mp3]	module:02-n4 jlpt:n4 point:conditional complexity:standard confusable-with:れば frequency:top10k source:shin-kanzen
朝起きたら、外は雨でした。	た	たら	たら	たら = narrative point in time discovery	When I woke, found rain (narrative shift)	[sound:b9cc3a627701.mp3]	module:02-n4 jlpt:n4 point:conditional complexity:intro confusable-with:た frequency:top1k source:shin-kanzen
朝起きて、外は雨でした。	たら	ると	たら	たら used in past narrative when discovery occurred	Waking up revealed: rain outside	[sound:b8405bb94c16.mp3]	module:02-n4 jlpt:n4 point:conditional complexity:intro confusable-with:ると frequency:top1k source:shin-kanzen
忙しければ、休んでください。	なら	ば	ば	ば = hypothetical generalization	Generic: if ever busy (hypothetical), should rest	[sound:b836fca32400.mp3]	module:02-n4 jlpt:n4 point:conditional complexity:standard confusable-with:なら source:shin-kanzen
忙しいなら、休んでください。	なら	ば	なら	なら = presupposition: you ARE busy → advice	Topic-conditional: given that you're busy, rest	[sound:fbecc48cf274.mp3]	module:02-n4 jlpt:n4 point:conditional complexity:standard confusable-with:ば frequency:top1k source:shin-kanzen
水を100℃に熱すと、沸きます。	す	すれば	す	と = automatic scientific result	Heating water to 100°C automatically boils it	[sound:853af10748d5.mp3]	module:02-n4 jlpt:n4 point:conditional complexity:standard confusable-with:すれば frequency:top5k source:shin-kanzen
毎日勉強すれば、上手になります。	すれば	したら	すれば	ば = generic hypothetical habit	If you habitually studied (hypothetical), would improve	[sound:64a9c0710749.mp3]	module:02-n4 jlpt:n4 point:conditional complexity:standard confusable-with:したら frequency:top1k source:shin-kanzen
薬を飲んだら、気分が良くなりました。	だら	だ	だら	たら = when-then discovery	When took medicine, felt better (narrative)	[sound:ec88c3cc5585.mp3]	module:02-n4 jlpt:n4 point:conditional complexity:standard confusable-with:だ frequency:top5k source:shin-kanzen
都会に住むなら、便利です。	なら	ば	なら	なら = topic-conditional: the premise is city living	Given city living (topic), convenient	[sound:b4cd2fcd3da1.mp3]	module:02-n4 jlpt:n4 point:conditional complexity:intro confusable-with:ば frequency:top10k source:shin-kanzen
実はこのボタンを押すと、ライトがつきます。	す	したら	す	と = automatic mechanical result	Pressing button automatically turns on light	[sound:052467a26fc7.mp3]	module:02-n4 jlpt:n4 point:conditional complexity:standard confusable-with:したら frequency:top10k source:shin-kanzen
このボタンを押したら、ライトがつきました。	したら	すると	したら	たら = narrative: when pressed, light turned on	When pressed (narrative past), light came on	[sound:72ea6d3a76bc.mp3]	module:02-n4 jlpt:n4 point:conditional complexity:standard confusable-with:すると frequency:top1k source:shin-kanzen
走れば、疲れます。	ば	なら	ば	ば = hypothetical generic consequence	If you run (generic hypothetical), get tired	[sound:8d98cf78ae16.mp3]	module:02-n4 jlpt:n4 point:conditional complexity:intro confusable-with:なら frequency:top10k source:shin-kanzen
