#separator:tab
#html:true
#columns:Text	Reading	Hint	Audio	Tags
#notetype:Cloze
#deck:Japanese Grammar::02 - N4 Grammar::Cloze

実は友達は明日来る{{c1::そうです}}。	じつはともだちはあしたくる{{c1::そうです}}。	hearsay: plain + そう	[sound:b12d92633cc3.mp3]	module:02-n4 jlpt:n4 point:evidentials complexity:intro frequency:top10k
実は空は雨が降り{{c1::そうです}}。	じつはそらはあめがおり{{c1::そうです}}。	appearance: stem + そう	[sound:e443f50a1d1b.mp3]	module:02-n4 jlpt:n4 point:evidentials complexity:intro frequency:top10k
実は彼女は怒っている{{c1::ようです}}。	じつはかのじょはいかっている{{c1::ようです}}。	ようだ: visual inference	[sound:d4c9bcc67432.mp3]	module:02-n4 jlpt:n4 point:evidentials complexity:intro frequency:top10k
その話は本当{{c1::らしいです}}。	そのはなしはほんとう{{c1::らしいです}}。	らしい: report-based	[sound:a3baa8e0bfd1.mp3]	module:02-n4 jlpt:n4 point:evidentials complexity:intro frequency:top1k
実は子供たちが何か隠している{{c1::みたいです}}。	じつはこどもたちがなにかかくしている{{c1::みたいです}}。	みたい: informal	[sound:5b71dd12e1af.mp3]	module:02-n4 jlpt:n4 point:evidentials complexity:standard frequency:top10k
実は彼はいつも元気{{c1::っぽいです}}。	じつはかれはいつもげんき{{c1::っぽいです}}。	っぽい: tendency	[sound:3b6b52afe493.mp3]	module:02-n4 jlpt:n4 point:evidentials complexity:intro frequency:top10k
この食事は美味しい{{c1::そうです}}。	このしょくじはおいしい{{c1::そうです}}。	appearance: stem + そう	[sound:fa41df48d483.mp3]	module:02-n4 jlpt:n4 point:evidentials complexity:intro frequency:top5k
その映画は面白い{{c1::らしいですよ}}。	そのえいがはおもしろい{{c1::らしいですよ}}。	らしい: hearsay	[sound:28a07a480415.mp3]	module:02-n4 jlpt:n4 point:evidentials complexity:intro frequency:top1k
病院に行く{{c1::みたいです}}。	びょういんにいく{{c1::みたいです}}。	みたい: casual	[sound:d5849c9b4a4f.mp3]	module:02-n4 jlpt:n4 point:evidentials complexity:intro frequency:top1k
部屋が汚い{{c1::っぽくなりました}}。	へやがきたない{{c1::っぽくなりました}}。	っぽい: slight quality	[sound:a2f64bd71056.mp3]	module:02-n4 jlpt:n4 point:evidentials complexity:intro frequency:top1k
実は最近、若い人の間で流行っている{{c1::らしいです}}。	じつはさいきん、わかいにんのかんではやっている{{c1::らしいです}}。	らしい: trend	[sound:9293747273a9.mp3]	module:02-n4 jlpt:n4 point:evidentials complexity:standard frequency:top10k
彼の意見では、それは危険{{c1::ようです}}。	かのいけんでは、それはきけん{{c1::ようです}}。	ようだ: inference	[sound:0f5a9d4cd20e.mp3]	module:02-n4 jlpt:n4 point:evidentials complexity:standard frequency:top5k
天気予報では雨が降る{{c1::そうです}}。	てんきよほうではあめがふる{{c1::そうです}}。	hearsay: plain + そう	[sound:0b6fa96d0870.mp3]	module:02-n4 jlpt:n4 point:evidentials complexity:intro frequency:top5k
実はあの会社は経営難{{c1::らしいです}}。	じつはあのかいしゃはけいえいなん{{c1::らしいです}}。	らしい: report	[sound:429aa0880fe9.mp3]	module:02-n4 jlpt:n4 point:evidentials complexity:intro frequency:top10k
この子は良い子{{c1::っぽいですね}}。	このこはよいこ{{c1::っぽいですね}}。	っぽい: bearing	[sound:a124ee3d40b5.mp3]	module:02-n4 jlpt:n4 point:evidentials complexity:intro frequency:top10k
