#separator:tab
#html:true
#columns:JP	OptionA	OptionB	Answer	Why	Tip	Audio	Tags
#notetype:Contrast
#deck:Japanese Grammar::02 - N4 Grammar::Contrast

子供に野菜を食べさせる。	させる	させたら	させる	present causative	させる = plain form	[sound:d19fc27cb66a.mp3]	module:02-n4 jlpt:n4 point:causative frequency:top1k complexity:intro confusable-with:させたら source:shin-kanzen
学生に宿題をさせているvsさせた。	させている	させた	させている	ongoing imposition	させている = habitual	[sound:87ba4ea5f6f6.mp3]	module:02-n4 jlpt:n4 point:causative frequency:top1k complexity:intro confusable-with:させた source:shin-kanzen complexity:standard
子供に好きなことをさせている。	forcing	permitting	permitting	context = allowing	同じ形: context matters	[sound:82fb2e7342ff.mp3]	module:02-n4 jlpt:n4 point:causative frequency:top1k complexity:standard confusable-with:forcing source:shin-kanzen
親が子供をねかせた。	ねかせた	ねさせた	ねかせた	correct causative	寝る → 寝かせる	[sound:0445d80c3cfa.mp3]	module:02-n4 jlpt:n4 point:causative frequency:top5k complexity:intro confusable-with:ねさせた source:shin-kanzen
彼に選ばせたvs彼を選ばせた。	に	を	に	に = agent	に = who performs	[sound:5e104eaa91e8.mp3]	module:02-n4 jlpt:n4 point:causative frequency:top5k complexity:standard confusable-with:を source:shin-kanzen
親が子供をねかせたvs親が子供にねかせた。	を	に	を	を = affected	を = object affected	[sound:f98787325948.mp3]	module:02-n4 jlpt:n4 point:causative frequency:top5k complexity:standard confusable-with:に source:shin-kanzen
説明させてくださいvs説明してください。	させて	して	させて	ask permission	させてください = let me	[sound:3328595df677.mp3]	module:02-n4 jlpt:n4 point:causative frequency:top5k complexity:standard confusable-with:して source:shin-kanzen
質問させていただけますか。	いただく	もらう	いただく	formal request	いただく = keigo	[sound:c7e0822d62f8.mp3]	module:02-n4 jlpt:n4 point:causative frequency:top1k complexity:standard confusable-with:もらう source:shin-kanzen
子供に泣かさせてしまった。	causative+regret	simple	causative+regret	accidentally made cry	てしまった = accident	[sound:c9930ff79b29.mp3]	module:02-n4 jlpt:n4 point:causative frequency:top1k complexity:standard confusable-with:simple source:shin-kanzen
馬を走らせる。	intransitive	transitive	intransitive	intransitive+させる	走る → 走らせる	[sound:efd123aaec95.mp3]	module:02-n4 jlpt:n4 point:causative frequency:top10k complexity:intro confusable-with:transitive source:shin-kanzen
雨が止むまで待たせた。	待つ	待たせる	待たせる	intransitive causative	待つ + object	[sound:0bfb713ad1d3.mp3]	module:02-n4 jlpt:n4 point:causative frequency:top5k complexity:intro confusable-with:待つ source:shin-kanzen
選手を行かせる。	permissive	forcing	permissive	context = allowing	context = permissive	[sound:efb34016babb.mp3]	module:02-n4 jlpt:n4 point:causative frequency:top10k complexity:intro confusable-with:forcing source:shin-kanzen
子供に掃除をさせるなvs掃除をしなさい。	させるな	しなさい	させるな	prohibition	させるな = don't force	[sound:0bd313306f17.mp3]	module:02-n4 jlpt:n4 point:causative frequency:top1k complexity:standard confusable-with:しなさい source:shin-kanzen
医者は患者に薬を飲ませた。	に	を	に	professional authority	に = agent	[sound:d24755a1841d.mp3]	module:02-n4 jlpt:n4 point:causative frequency:top10k complexity:standard confusable-with:を source:shin-kanzen
学生に質問させてください。	ask permission	imperative	ask permission	polite permission	ください = request	[sound:981db8f94da4.mp3]	module:02-n4 jlpt:n4 point:causative frequency:top1k complexity:standard confusable-with:imperative source:shin-kanzen
