#separator:tab
#html:true
#columns:JP	OptionA	OptionB	Answer	Why	Tip	Audio	Tags
#notetype:Contrast
#
#deck:Japanese Grammar (Strict)::05 - N1 Grammar::Contrast

指導者たる者は倫理が大切。	ごとき	もしくは	たる	たる = one who is/should be	One who leads must have ethics	[sound:d553a33628a7.mp3]	module:05-n1 jlpt:n1 register:literary point:たる pos:expr frequency:top10k complexity:standard source:shin-kanzen
親たる者は責任を持つべき。	ごとき	もしくは	たる	たる = being/should be	Parent should bear responsibility	[sound:6b731213cded.mp3]	module:05-n1 jlpt:n1 register:literary point:たる pos:expr frequency:top10k complexity:standard source:shin-kanzen
愚者ごとき扱いを受けた。	たる	もしくは	ごとき	ごとき = like/as if (comparison)	Treated like a fool	[sound:bdc032a3f667.mp3]	module:05-n1 jlpt:n1 register:literary point:たる pos:expr frequency:low complexity:intro source:shin-kanzen
死神ごときものが現れた。	たる	もしくは	ごとき	ごとき = like/resembling	Something like death god appeared	[sound:2af6ab1af22e.mp3]	module:05-n1 jlpt:n1 register:literary point:たる pos:expr frequency:top10k complexity:intro source:shin-kanzen
英語もしくはフランス語で対応。	たる	ごとき	もしくは	もしくは = or/perhaps	English or perhaps French	[sound:5f2b8f1c9bdc.mp3]	module:05-n1 jlpt:n1 register:literary point:たる pos:expr frequency:low complexity:standard source:shin-kanzen
月曜もしくは火曜にお越しください。	たる	ごとき	もしくは	もしくは = or/either	Come Monday or Tuesday	[sound:5a80d5e84015.mp3]	module:05-n1 jlpt:n1 register:literary point:たる pos:expr frequency:top5k complexity:standard source:shin-kanzen
医者ないし薬剤師が対応します。	ごとき	もしくは	ないし	ないし = or/and/also	Doctor or pharmacist will handle	[sound:73aa9a6eac0f.mp3]	module:05-n1 jlpt:n1 register:literary point:たる pos:expr frequency:low complexity:standard source:shin-kanzen
午前ないし午後に来てください。	ごとき	もしくは	ないし	ないし = or/between	Come morning or afternoon	[sound:2dc1cd63a049.mp3]	module:05-n1 jlpt:n1 register:literary point:たる pos:expr frequency:top10k complexity:standard source:shin-kanzen
学者たる者は誠実でなければ。	ごとき	もしくは	たる	たる = scholar should be	Scholar should be honest	[sound:7623adff6da1.mp3]	module:05-n1 jlpt:n1 register:literary point:たる pos:expr frequency:low complexity:standard source:shin-kanzen
魔女ごとき者に従った。	もしくは	ないし	ごとき	ごとき = witch-like person	Followed a witch-like creature	[sound:977a68f054ab.mp3]	module:05-n1 jlpt:n1 register:literary point:たる pos:expr frequency:top10k complexity:intro source:shin-kanzen
医者たる資格	医者である資格	医者たる資格	たる	Formal role marker	〜たる more formal/literary	[sound:0976869dceff.mp3]	module:05-n1 jlpt:n1 point:たる complexity:intro frequency:top10k source:shin-kanzen
勇士たる者	勇士である者	勇士たる者	たる	Formal identification	〜たる emphasizes identity	[sound:1324de1ea0c4.mp3]	module:05-n1 jlpt:n1 point:たる complexity:intro frequency:top10k source:shin-kanzen
月のごとし	月のようだ	月のごとし	ごとし	Formal comparison	〜ごとし is literary form	[sound:4f0b46b15a59.mp3]	module:05-n1 jlpt:n1 point:たる complexity:intro frequency:top5k source:shin-kanzen
太陽のごとき輝き	太陽のような輝き	太陽のごとき輝き	ごとき	Literary simile	〜ごとき marks formal likeness	[sound:ec46bcbaac80.mp3]	module:05-n1 jlpt:n1 point:たる complexity:intro frequency:top10k source:shin-kanzen
行けばよかったのに	行けばよかったのに	行けばよかったのに	ものを	Regret/contrast	〜ものを emphasizes regret	[sound:f84f6a2747ef.mp3]	module:05-n1 jlpt:n1 point:たる complexity:intro source:shin-kanzen
来ていれば	来ていれば	来ていれば	ものを	Counterfactual	〜ものを marks wish	[sound:21e15adb665f.mp3]	module:05-n1 jlpt:n1 point:たる complexity:intro frequency:top10k source:shin-kanzen
